"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"846",6.715,-57.203127861,3.515,41.3828163147,740,3.1,-47.0781288147,577.82,-74.9765644073,4.3466939965,98.5859441757,"Ctgf-T2A-dgCre"
"855",5.4983333,-49.4947923024,3.2816667,30.7395849228,1060,2.8791667,-36.6093762716,583.2325,-80.0416679382,3.3892240663,80.2343772252,"Scnn1a-Tg2-Cre"
"863",5.402,-60.7875022888,3.53,36.8125022888,790,3.094,-55.5437522888,297.435,-81.2625,3.4252847224,97.6000045776,"Rorb-IRES2-Cre"
"866",6.432,-53.3687538147,3.62,40.4625022888,0,3.144,-48.0125015259,806.864,-76.9875030518,4.0335379486,93.8312561035,"Rorb-IRES2-Cre"
"887",4.4666667,-52.2083358765,3.2283333,31.2812519073,440,2.89,-43.96875,754.205,-69.1875050863,2.2294494128,83.4895877838,"Ntsr1-Cre_GN220"
"906",5.127,-44.9187530518,3.526,20.9062511444,0,3.164,-31.0687511444,413.224,-75.7437530518,2.2013278628,65.8250041962,"Rorb-IRES2-Cre"
"908",5.409,-46.1187530518,3.544,31.7187511444,0,3.08,-44.7812522888,83.314,-77.0125045776,3.2141080881,77.8375041962,"Rbp4-Cre_KL100"
"915",5.801,-54.4500022888,3.41,36.2312507629,610,2.932,-41.6812507629,307.289,-74.74375,3.3846832252,90.6812530517,"Scnn1a-Tg3-Cre"
"926",4.871,-52.1687522888,3.327,51.2000038147,630,3.002,-46.4937522888,358.858,-74.9125030518,4.6282097544,103.368756104,"Rorb-IRES2-Cre"
"931",5.374,-51.2062507629,3.154,38.58125,840,2.722,-42.9062507629,415.666,-72.8875,3.7949986076,89.7875007629,"Scnn1a-Tg2-Cre"
"932",4.952,-53.5000038147,3.46,40.1750015259,380,3.092,-44.0687522888,763.352,-71.8062515259,3.4140915405,93.6750053406,"Cux2-CreERT2"
"940",4.815,-53.4843769073,3.43,42.7343756358,670,3.055,-51.9322948456,669.315,-77.4843775431,3.868559353,96.2187525431,"Rorb-IRES2-Cre"
"942",5.0066667,-49.8020846049,3.365,30.1770846049,700,2.9483333,-42.6458358765,689.9633333,-74.2916717529,2.9893910612,79.9791692098,"Rorb-IRES2-Cre"
"966",5.36,-52.8875022888,3.576,41.5125007629,939.999938965,3.132,-46.6312522888,711.604,-82.0312545776,3.5309010468,94.4000030517,"Scnn1a-Tg3-Cre"
