"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"172",6.156,-58.1500030518,3.328,47.0187515259,499.999969482,2.98,-52.8437530518,532.472,-80.1062530518,5.1097069864,105.168754578,"Ctgf-T2A-dgCre"
"178",5.369,-51.5937538147,3.435,43.1187515259,1040,3.089,-47.6250015259,259.397,-75.2312561035,3.781571703,94.7125053406,"Cux2-CreERT2"
"179",5.618,-52.4000030518,3.623,43.7125015259,1180,3.198,-48.0125030518,131.585,-77.7000015259,3.5305166621,96.1125045777,"Rorb-IRES2-Cre"
"180",5.46,-51.53125,3.46,39.4375038147,650,3.04,-47.6562538147,970.28,-77.0312576294,4.5445647554,90.9687538147,"Rorb-IRES2-Cre"
"182",4.9616667,-40.8229179382,3.3875,42.2864583333,310,3.0091667,-27.5104173024,559.1466667,-70.4583333333,2.7353519153,83.1093762715,"Scnn1a-Tg2-Cre"
"184",5.76375,-61.054690361,3.52625,36.2890663147,630,3.0775,-49.1093788147,94.405,-77.8515644073,3.3934873688,97.3437566757,"Rbp4-Cre_KL100"
"190",5.2383333,-50.1093769073,3.3891667,45.4114615122,1170,3.0391667,-48.3177108765,77.4441667,-72.505212148,4.0583191134,95.5208384195,"Rbp4-Cre_KL100"
"191",6.608,-54.2937515259,3.364,38.2375030518,840,2.944,-48.2250030518,551.06,-75.0062530518,4.5212569131,92.5312545777,"Ctgf-T2A-dgCre"
"195",5.128,-53.6500030518,3.336,44.9875015259,680,3.016,-47.2750038147,616.216,-75.5937530518,4.2548350493,98.6375045777,"Cux2-CreERT2"
"200",7.125,-49.3541679382,3.5883333,28.7708346049,393.333333333,3.0883333,-40.9270858765,475.545,-72.0520858765,4.1765617318,78.1250025431,"Rorb-IRES2-Cre"
"206",5.54,-49.2343769073,3.435,33.0000009537,340,3.03,-40.0625009537,54.68,-59.8906288147,3.4130185833,82.234377861,"Rbp4-Cre_KL100"
"208",4.975,-51.9250030518,3.232,37.6125022888,910.000061035,2.883,-46.2562522888,592.56,-82.0750015259,3.8717045389,89.5375053406,"Scnn1a-Tg3-Cre"
"209",5.1891667,-53.0572942098,3.3658333,47.8177102407,770,2.9491667,-45.0312519073,303.4666667,-72.786462148,2.7526139564,100.875004451,"Ntsr1-Cre_GN220"
"210",4.896,-54.6250015259,3.352,43.9187507629,489.999969482,2.988,-45.0062522888,782.28,-78.2437515259,4.0198665794,98.5437522888,"Scnn1a-Tg3-Cre"
"211",4.894,-49.9187515259,3.337,43.5437522888,1080,3.014,-48.2937522888,437.82,-79.9187515259,4.0894512735,93.4625038147,"Rorb-IRES2-Cre"
"215",4.465,-46.5000030518,3.173,43.0500022888,820,2.869,-46.8187530518,781.213,-75.1250045776,3.7423886449,89.5500053406,"Cux2-CreERT2"
"219",4.9241667,-56.119793574,3.4508333,36.1458358765,61.6666666667,3.0116667,-51.1614608765,713.9441667,-71.0572942098,2.4531328674,92.2656294505,"Rbp4-Cre_KL100"
"221",6.058,-51.7500015259,3.562,35.5375022888,1150,3.09,-50.7562522888,76.808,-67.20625,3.1522009983,87.2875038147,"Rorb-IRES2-Cre"
"224",4.356,-55.2500022888,2.852,37.1937515259,700,2.52,-51.0125030518,418.652,-74.5625030518,4.0681641286,92.4437538147,"Rorb-IRES2-Cre"
"229",5.501,-51.3312522888,3.336,47.6000015259,296,2.992,-44.6125022888,460.013,-66.9625045776,3.8455638604,98.9312538147,"Rorb-IRES2-Cre"
"231",4.589,-52.0750038147,3.051,44.0187515259,930,2.738,-49.2312530518,661.236,-79.8937530518,4.4803039856,96.0937553406,"Rorb-IRES2-Cre"
"234",5.4,-46.8750038147,3.23,35.25,509.999969482,2.695,-42.1875,161.17,-61.0000038147,3.1219336556,82.1250038147,"Rorb-IRES2-Cre"
"236",5.89,-59.24375,3.405,44.2687522888,730,2.982,-45.8937507629,784.796,-76.9250030518,4.044890222,103.512502289,"Ntsr1-Cre_GN220"
"239",5.063,-55.8312522888,3.403,32.49375,224,3.033,-45.9500007629,250.807,-77.0937545776,2.8832394481,88.3250022888,"Scnn1a-Tg2-Cre"
"240",4.9791667,-47.5260429382,3.435,35.5677108765,989.999938965,3.0466667,-42.9062519073,559.935,-77.8750025431,3.3109276703,83.0937538147,"Rbp4-Cre_KL100"
"244",5.344,-51.4375022888,3.356,46.4687538147,949.999938965,2.98,-47.9625007629,565.836,-74.9875030518,4.327547015,97.9062561035,"Rorb-IRES2-Cre"
"245",6.05,-52.7062522888,3.487,33.1375007629,208,3.063,-38.7000007629,72.234,-65.66875,3.3868766248,85.8437530517,"Scnn1a-Tg3-Cre"
"247",4.975,-51.7708358765,3.4683333,31.7708326976,343.333333333,3.0816667,-44.5416692098,654.8683333,-81.4479166667,2.9656314084,83.5416685741,"Nr5a1-Cre"
"251",5.195,-52.8250030518,3.45,24.7562515259,144,3.049,-39.7375007629,83.703,-73.5625045776,2.2198588568,77.5812545777,"Ntsr1-Cre_GN220"
"255",8.772,-59.1562530518,3.58,30.4062519073,1220,3.123,-50.2687530518,429.385,-78.2750015259,4.4389401827,89.5625049591,"Rorb-IRES2-Cre"
"256",4.8425,-56.8593769073,3.3875,35.4375019073,350,2.9775,-48.3593769073,929.9175,-69.9062538147,2.8866537996,92.2968788146,"Nr5a1-Cre"
"257",4.8666667,-51.6718775431,3.35,45.8958346049,850,3.02,-46.5729192098,567.54,-81.8697967529,4.3004140358,97.567712148,"Cux2-CreERT2"
"258",5.12,-54.3984394073,3.475,35.2343769073,810,3.085,-50.101565361,225.045,-75.007818222,3.1756041249,89.6328163146,"Rbp4-Cre_KL100"
"260",5.059,-53.0062515259,3.485,43.7250015259,0,3.11,-44.8125022888,97.463,-76.8750030518,2.6278680181,96.7312530518,"Ntsr1-Cre_GN220"
"264",5.479,-54.9687515259,2.873,43.5937515259,680,2.551,-49.7437530518,776.269,-77.9875045776,5.2284780196,98.5625030518,"Rorb-IRES2-Cre"
"266",5.9,-55.1718769073,3.505,43.4765644073,680,3.09,-46.1562519073,553.485,-72.101568222,4.1312349352,98.6484413146,"Cux2-CreERT2"
"267",4.8825,-52.46875,3.42,40.8125,890,3.0541667,-50.2864596049,589.0766667,-82.3072942098,3.4469744644,93.28125,"Rorb-IRES2-Cre"
"270",5.561,-52.4875022888,3.59,33.3000007629,770,3.101,-49.6375030518,88.791,-79.1250045776,2.6259948464,85.7875030517,"Ntsr1-Cre_GN220"
"272",5.631,-51.1312507629,3.497,33.4750007629,790,3.054,-38.7062507629,729.405,-74.9062561035,3.1928307839,84.6062515258,"Rorb-IRES2-Cre"
"273",4.668,-50.7500022888,3.317,48.9562515259,750,3.01,-49.19375,398.655,-79.0000030518,4.2541368565,99.7062538147,"Nr5a1-Cre"
"275",5.385,-49.5937519073,3.4475,31.2187519073,860.000061035,3.055,-42.59375,611.9925,-74.8593826294,3.2526835775,80.8125038146,"Cux2-CreERT2"
"276",5.028,-56.0875038147,3.276,45.6437515259,370,2.86,-46.3875007629,62.14,-63.9625030518,3.0954155647,101.731255341,"Ntsr1-Cre_GN220"
"283",5.115,-49.0208352407,3.4791667,30.3541682561,790,3.0808333,-41.0885423024,723.3808333,-73.3072942098,2.5678839432,79.3750034968,"Rorb-IRES2-Cre"
"284",4.8683333,-47.1979204814,3.465,31.0312512716,1050,3.1216667,-35.4791692098,468.845,-76.9895858765,2.8014473212,78.229171753,"Nr5a1-Cre"
"287",4.292,-56.8375022888,3.364,16.3187517166,600,3.084,-45.0625030518,571.08,-73.8437515259,1.6573357391,73.1562540054,"Cux2-CreERT2"
"290",4.904,-52.8312522888,3.148,47.1812522888,800,2.788,-48.15,266.644,-73.7937515259,3.8722161102,100.012504578,"Cux2-CreERT2"
"292",4.9175,-54.8359384537,3.4975,27.3515639305,410,3.1025,-49.0468759537,614.7375,-76.4375,3.0507754647,82.1875023842,"Cux2-CreERT2"
"294",5.545,-57.5729179382,3.5066667,30.1354166667,0,3.0783333,-42.6979179382,479.82,-76.9270909627,2.8102099039,87.7083346049,"Rorb-IRES2-Cre"
"297",4.61,-50.7937515259,3.346,48.8500022888,880,3.045,-44.1312515259,732.269,-78.3312545776,3.3505486959,99.6437538147,"Nr5a1-Cre"
"298",5.31,-53.5750030518,3.494,43.9000022888,560,3.132,-48.7187515259,328.882,-69.2812515259,4.0738187974,97.4750053406,"Nr5a1-Cre"
"299",4.796,-52.2750015259,3.356,32.0875011444,440,2.989,-47.0937522888,720.169,-74.8562545776,3.0884879472,84.3625026703,"Rorb-IRES2-Cre"
"300",5.258,-49.2250022888,3.49,40.7812507629,1100,3.063,-48.9250022888,339.876,-77.7687545776,3.0502340375,90.0062530517,"Rbp4-Cre_KL100"
"307",5.7933333,-55.2083358765,3.5833333,35.6562512716,900,3.1133333,-40.2656275431,245.3666667,-78.1562525431,3.0053163542,90.8645871481,"Ntsr1-Cre_GN220"
"308",5.42,-52.6250030518,3.54,42.5812530518,600,3.092,-47.6375022888,381.14,-76.0687561035,3.1644086346,95.2062561036,"Ntsr1-Cre_GN220"
"309",4.9125,-49.703125,3.3575,32.6875019073,770,2.96,-45.4531269073,686.205,-78.6718788147,3.0547821769,82.3906269073,"Nr5a1-Cre"
"310",5.865,-51.9479198456,3.4983333,40.4739608765,1120,3.0425,-46.8489596049,624.205,-82.4791704814,4.1697917707,92.4218807221,"Rbp4-Cre_KL100"
"312",4.48625,-50.5546894073,3.155,36.3437509537,300,2.85375,-41.9453134537,649.525,-69.8125019073,2.8947141601,86.898440361,"Scnn1a-Tg3-Cre"
"315",5.4008333,-53.3333352407,3.4875,42.7031256358,380,3.1175,-46.8697923024,263.9791667,-62.140625,3.9288939487,96.0364608765,"Scnn1a-Tg3-Cre"
"317",4.645,-51.8671913147,3.39,43.3359375,670,3.0875,-45.2968759537,744.76875,-82.0312538147,3.4504710406,95.2031288147,"Nr5a1-Cre"
"319",5.436,-53.0812515259,3.546,37.6250030518,1410,3.088,-57.1187522888,72.129,-81.1375015259,3.4331320314,90.7062545777,"Rbp4-Cre_KL100"
"320",6.684,-56.2625022888,3.48,40.2062522888,101.999993897,3.076,-48.4937522888,755.76,-77.5187515259,5.0409544335,96.4687545776,"Ctgf-T2A-dgCre"
"321",5.5241667,-57.8125006358,3.4566667,33.8229173024,91.6666666667,3.0533333,-45.2552089691,623.8308333,-78.6354179382,2.7757154035,91.6354179382,"Nr5a1-Cre"
"323",5.03,-52.7500019073,3.515,38.3203144073,1240,3.135,-51.9062538147,100.65,-76.210943222,3.5082795427,91.0703163146,"Ctgf-T2A-dgCre"
"326",10.105,-60.2500006358,3.38,31.9062503179,616.666666667,2.9191667,-34.9479179382,364.9883333,-76.1510442098,3.5981387078,92.1562509537,"Scnn1a-Tg3-Cre"
"333",4.691,-48.2250030518,3.379,39.0437522888,670,3.029,-45.3250030518,601.794,-78.2437561035,3.4080740251,87.2687553406,"Nr5a1-Cre"
"334",7.2133333,-53.9375025431,3.4066667,29.6354173024,800,2.8866667,-43.3125025431,83.6933333,-68.2291717529,3.774782498,83.5729198455,"Scnn1a-Tg3-Cre"
