"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"443",0.0017615895,10.33,1.0059499419,21.675,5.663205,4.3091667,-64.40625,-62.5937525431,-65.4375,0.007635,20.865,5.66235,3.5216667,26.5,24.9166673024,31.4843762716,148.749992251,0.0565289408,110,141.541666667,350,20.505,5.6619533333,3.1958333,-42.125,-35.2187512716,-47.2239596049,21.765,5.6632466667,303.8541667,-64.5000076294,-62.7083358765,-71.2187512716,1.3789210568,1.2044291094,1.4056354635,-70.4658660889,"Pvalb-IRES-Cre",10.5300635351,96.8054211036,96.9218762716,90.90625,87.5104198455
"466",1,7.42,0.0178977273,46.34,5.8959133333,4.2133333,-55.8750038147,-51.8958358765,-57.4062538147,0.01816,45.58,5.89498,3.4866667,27.2500019073,27.4270846049,37.5833346049,180.823802948,0.3747349977,90,147.375,410,45.28,5.8946133333,3.2066667,-38.6562538147,-36.7395833333,-45.770837148,46.4,5.89594,101.78,-55.9687538147,-51.9270858765,-75.1354166667,2.0524478579,2.1571196224,2.4317571719,-74.2144546509,"Htr3a-Cre_NO152",11.8917002384,134.770889488,94.9895884196,83.125005722,79.3229204814
"469",0.0113342969,25.5419736842,0.4910447761,64.11,3.3487016667,4.218,-55.5000038147,-54.2187525431,-56.6812538147,0.020925,63.3,3.34782,3.416,35,33.9583333333,40.5625030518,230.624958873,0.2173592597,70,83.7083333333,560,62.94,3.3474116667,3.071,-35.03125,-34.2187512716,-38.8125015259,64.13,3.348755,194.087,-55.59375,-54.3541692098,-73.6062561035,1.6158982892,1.5274199398,1.7497159267,-72.4381256104,"Sst-IRES-Cre",16.5674139226,39.1512422792,97.2437568665,90.5000038147,88.1770858764
"471",1,503.8,0.0234144549,21.02,5.09786,5.3733333,-51.3437538147,-43.6041679382,-55.3437525431,0.00862,19.44,5.0959666667,3.6533333,32.6562538147,23.2500012716,33.7500038147,222.343817353,0.0606219023,130,127.375,320,19.02,5.0953066667,3.2733333,-37.875,-32.6354204814,-45.5208358765,21.24,5.0981666667,520.0133333,-51.4687538147,-43.7812512716,-71.8020833333,3.0499440005,2.3500359513,3.2072981183,-71.31275177,"Chat-IRES-Cre-neo",14.5050398577,1.98491464867,89.0937563578,84.0000076294,66.8541692098
"478",-0.0214219493,56.68875,0.2287090559,807.08,3.47406,4.8533333,-51.6250038147,-51.2812512716,-54.1510429382,0.07998,803.18,3.4705866667,3.2966667,31.0625,30.78125,35.5833352407,207.656249404,0.006749962,90,86.75,370,802.68,3.47006,2.91,-34.9687538147,-36.0625025431,-43.7812525431,813.62,3.48182,25.7166667,-54.875,-55.8541704814,-64.9843800863,3.6049763686,3.7565153033,2.8991824128,-64.1587371826,"Nkx2-1-CreERT2",13.7374103783,17.6401843399,89.7343781789,82.6875038147,82.0625012716
"486",0.0019681329,12.229047619,0.3312238551,14.18,2.6649,4.0416667,-57.34375,-56.0937538147,-61.708337148,0.008675,13.27,2.66387,3.245,7.6875,13,20.1250006358,291.406184435,0.0525948405,120.000007629,66.625,350,12.945,2.66341,2.9533333,-36.9375,-32.53125,-42.1354179382,14.22,2.66499,434.635,-57.4687538147,-56.2187538147,-70.0520858765,1.3850149928,1.0273465643,1.400042733,-68.7102890015,"Sst-IRES-Cre",19.6572018417,81.7725166469,81.8333377838,65.03125,69.0937538147
"492",0.0015293281,15.985,0.7942425044,218.58,11.33958,4.232,-54.6562538147,-55.020837148,-59.4875015259,0.03448,217.68,11.33868,3.46,13.9375,16.0416669846,22.1750003815,84.6873819828,0.0045601833,330,283.458333333,780,217.3,11.3382933333,3.136,-32.0312538147,-31.947918574,-44.6062515259,218.62,11.3396666667,420.972,-54.7500038147,-55.114587148,-73.7500045776,1.2821490672,1.2916697843,1.4521160134,-72.5855331421,"Nkx2-1-CreERT2",8.39470754288,62.5586487332,81.6625019074,68.5937538147,71.0625041326
"493",0.0687944492,121.9,0.2524647887,83.46,1.67528,5.32,-45.0312538147,-43.4166692098,-51.7343781789,0.02302,80.62,1.67332,3.4333333,25.25,33.3229179382,26.9270852407,320.468693972,0.0631639063,50,41.7916666667,370,80.02,1.6727333333,2.9766667,-32.9687538147,-34.0000012716,-37.213543574,104.86,1.7034066667,320.1133333,-49.7500038147,-50.958337148,-62.6979211171,2.6689114269,2.7131035335,2.703663968,-61.775352478,"Chrna2-Cre_OE25",29.3872915644,8.20344544709,78.6614634196,70.2812538147,76.739587148
"498",0.3214729646,32.18,0.08039773,71.49,6.3065683333,4.285,-57.7812538147,-55.6145846049,-60.2125030518,0.02869,70.47,6.3054683333,3.368,37,32.0833352407,36.8187507629,197.343677282,0.0626886636,130,157.625,600,70.07,6.3050066667,3.022,-40.4062538147,-33.9791679382,-42.8687522888,71.615,6.306645,634.33,-57.90625,-55.7708358765,-74.5375061035,1.9689104141,1.6040711532,1.8377684621,-74.2608337402,"Sst-IRES-Cre",19.0116926295,31.0752019888,97.0312538147,94.7812538147,87.6979198456
"511",0.1071103008,10.97,0.9769041818,16.345,10.9373316667,3.9366667,-64.03125,-55.5625038147,-64.3437525431,0.0081,15.485,10.9360283333,3.0266667,19.1250019073,8.7500004768,22.0312506358,135.156214237,0.0549155772,170,273.375,469.999969482,15.165,10.9354983333,2.74,-39.65625,-32.104168574,-43.2916704814,16.395,10.9374533333,606.9166667,-64.0625076294,-55.6666704814,-76.8333384196,1.4716980682,1.1458653359,1.6005724485,-76.0302276611,"Sst-IRES-Cre",7.39733520576,91.1577028259,86.3750031789,83.1562519073,64.3125042915
