"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"272",2.6372483333,-46.1666666667,2.6342233333,39.6770833333,65.8333320618,2.633705,-35.1979166667,2.6770083333,-53.9687512716,3.4983100855,85.84375,"Rorb-IRES2-Cre"
"273",3.3115516667,-50.375,3.3100516667,47.1979179382,82.7083333333,3.3097016667,-37.9479179382,3.3318266667,-54.59375,3.592296106,97.5729179382,"Nr5a1-Cre"
"275",3.98073,-43.6250025431,3.97862,36.3333346049,99.4583333333,3.9781666667,-36.8958346049,4.0267966667,-51.6770858765,3.5683947221,79.958337148,"Cux2-CreERT2"
"276",1.4754466667,-51.9166692098,1.4727866667,48.9895858765,36.8333320618,1.4722666667,-41.2187512716,1.5014133333,-56.6250025431,3.3433931086,100.906255086,"Ntsr1-Cre_GN220"
"283",4.932615,-40.1041666667,4.9305066667,29.8645846049,123.208328247,4.92994,-26.1145852407,4.9574583333,-48.0416692098,2.2397378104,69.9687512716,"Rorb-IRES2-Cre"
"284",3.5029733333,-44.5104166667,3.5012833333,42.5520846049,87.5416666667,3.5009033333,-34.4375025431,3.536065,-52.2708358765,3.5673839385,87.0625012716,"Nr5a1-Cre"
"287",7.6652533333,-52.7916704814,7.6643,8.7708338102,191.624994914,7.6638933333,-38.2812506358,7.66942,-53.9375038147,1.3574585984,61.5625042916,"Cux2-CreERT2"
"290",3.2562,-47.9375025431,3.2540133333,46.1458346049,81.3333333333,3.2535733333,-35.6770833333,3.29484,-57.5729179382,3.5698365038,94.083337148,"Cux2-CreERT2"
"292",1.8399783333,-50.364587148,1.8381633333,31.5104179382,45.9583333333,1.8376833333,-38.645837148,1.869705,-56.1354192098,2.9297766418,81.8750050862,"Cux2-CreERT2"
"294",2.67945,-48.7604179382,2.67623,38.5833333333,66.9166666667,2.6757216667,-34.8333333333,2.715025,-56.5625,3.3957013858,87.3437512715,"Rorb-IRES2-Cre"
"297",3.9258433333,-48.5312538147,3.92418,45.0729166667,98.0833333333,3.92384,-29.4895846049,3.94848,-54.2604192098,2.8119085445,93.6041704814,"Nr5a1-Cre"
"298",4.5984425,-50.3593759537,4.59575875,34.8203144073,114.874992371,4.5952725,-33.929690361,4.6116025,-55.5546894073,2.9593594045,85.179690361,"Nr5a1-Cre"
"299",2.3402,-51.0208358765,2.33851,32.1458339691,58.4166666667,2.3380233333,-34.1875,2.36436,-52.7500025431,2.431802747,83.1666698456,"Rorb-IRES2-Cre"
"300",6.4769116667,-43.1041679382,6.474415,28.2708339691,161.875,6.4737683333,-29.3645852407,6.5006233333,-49.8229192098,1.9978389998,71.3750019073,"Rbp4-Cre_KL100"
"307",7.1621266667,-45.2812525431,7.1594466667,36.34375,179,7.1587733333,-29.8333352407,7.18524,-50.0937512716,2.6087823632,81.6250025431,"Ntsr1-Cre_GN220"
"308",6.1848,-43.239587148,6.1829066667,38.6666679382,154.54166158,6.1822,-32.2083346049,6.2250533333,-45.8437512716,2.3177126048,81.9062550862,"Ntsr1-Cre_GN220"
"309",2.812715,-49.708337148,2.8107183333,34.8854179382,70.2916666667,2.810265,-34.9479192098,2.8335183333,-56.3750025431,2.7482605765,84.5937550862,"Nr5a1-Cre"
"310",4.30817,-48.1770858765,4.3055433333,37.8645833333,107.625,4.30502,-35.0208358765,4.352525,-54.9375038147,3.8072699393,86.0416692098,"Rbp4-Cre_KL100"
"312",1.78304,-45.7812525431,1.7813066667,36.4791692098,44.5416641235,1.7809433333,-31.6250012716,1.8124316667,-52.8020858765,2.8161601681,82.2604217529,"Scnn1a-Tg3-Cre"
"315",3.1915783333,-47.03125,3.1886516667,36.1458333333,79.7083333333,3.1881433333,-33.625,3.20866,-52.5937512716,3.0679998546,83.1770833333,"Scnn1a-Tg3-Cre"
"317",2.2695983333,-48.8750012716,2.26803,42.770837148,56.7083307902,2.26767,-33.2083358765,2.2922333333,-54.9895858765,2.9281581955,91.6458384196,"Nr5a1-Cre"
"319",7.9421333333,-47.9583358765,7.939535,36.8750025431,198.500005086,7.9390516667,-41.3854179382,7.990915,-56.5000025431,3.2851636292,84.8333384196,"Rbp4-Cre_KL100"
"320",2.1233933333,-53.8958346049,2.1202666667,46.1666679382,52.9999987284,2.1198066667,-48.0104192098,2.1631466667,-60.7604192098,5.6142889851,100.062502543,"Ctgf-T2A-dgCre"
"321",2.1977416667,-50.5416692098,2.1954833333,41.0520833333,54.875,2.19503,-38.3437512716,2.2280333333,-61.6458346049,2.9734735384,91.5937525431,"Nr5a1-Cre"
"323",6.2978933333,-49.8541704814,6.29612,42.6354179382,157.416666667,6.2957066667,-43.5729192098,6.35012,-55.3125038147,3.8167609837,92.4895884196,"Ctgf-T2A-dgCre"
"326",2.5901783333,-48.0937512716,2.5871733333,44.9791679382,64.6666666667,2.586715,-33.8645846049,2.6067566667,-52.7187512716,4.260809817,93.0729192098,"Scnn1a-Tg3-Cre"
"333",4.3103975,-46.8593769073,4.308885,37.640625,107.687496185,4.308435,-32.187502861,4.3271125,-52.6093769073,2.4588152073,84.5000019073,"Nr5a1-Cre"
"334",5.41888,-49.3854192098,5.4124466667,30.3125019073,135.25,5.4117666667,-33.0208339691,5.4365133333,-54.1562525431,3.9379978109,79.6979211171,"Scnn1a-Tg3-Cre"
"337",19.22113,-36.1093769073,19.21971,6.062500596,480.437484741,19.21778,-25.84375,19.24075,-40.8593769073,0.9075582695,42.1718775033,"Ntsr1-Cre_GN220"
"338",3.765905,-48.8541679382,3.7638633333,47.3125012716,94.0416692098,3.76349,-39.0625025431,3.8122566667,-58.6250038147,3.9680734132,96.1666692098,"Rbp4-Cre_KL100"
"341",3.38076,-48.9270846049,3.378015,42.75,84.4583333333,3.37757,-36.2916666667,3.4296983333,-58.2604179382,3.9138066313,91.6770846049,"Scnn1a-Tg2-Cre"
"345",1.255845,-48.4062525431,1.2529433333,44.3645846049,31.2916666667,1.2524816667,-30.8958346049,1.2782966667,-55.7812525431,3.1854421568,92.770837148,"Rorb-IRES2-Cre"
"350",2.6255,-50.0208346049,2.623945,48.9791666667,65.5833333333,2.623575,-34.4687512716,2.649125,-56.7812512716,3.7186721319,99.0000012716,"Nr5a1-Cre"
