"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"125",0.0739083083,84.3431818182,0.1222350312,0.03987,250.468790531,0.154492259,31.2870282241,-66.1167221069,11.8563229231,125.775,-44.8125,123.875,47.125,80,123.395,-35.3125,170.79,-50.25,2.9269439263,91.9375,"Scnn1a-Tg3-Cre"
"126",0.0795338249,110.256,0.1124999898,0.058305,160.000115633,0.0200274847,26.7912492393,-77.0050354004,9.06980118996,103.885,-46.4375,99.275,24.53125,209.999984741,98.755,-33.6250038147,120.605,-51.7812538147,4.1556621666,70.96875,"Cux2-CreERT2"
"129",0.0027568738,12.5740384615,0.8245761459,0.00759,103.90625149,0.0919351429,4.88846495921,-72.3729629517,79.5289439476,9.555,-60.5,8.66,13.03125,249.999984741,8.32,-42.09375,9.59,-60.53125,1.55732838,73.53125,"Nr5a1-Cre"
"131",0.0233020465,56.7364705882,0.1868292785,0.029705,136.718794704,0.0877228975,15.9611719901,-61.491153717,17.625347323,136.78,-47.2812538147,134.755,46.03125,70,134.35,-37.3750038147,167.77,-53.7812538147,3.5390984523,93.3125038147,"Rorb-IRES2-Cre"
"134",1,353.06,0.0828719487,0.02304,80.6249976158,0.0433410928,10.696395056,-76.6868133545,2.83237976548,39.38,-45.15625,37.42,33.3750038147,469.999969482,36.82,-33.3125038147,39.56,-45.4375038147,2.3885619228,78.5312538147,"Ntsr1-Cre_GN220"
"136",0.0237073068,51.0925,0.3485211407,0.0266,147.499918938,0.1379958093,14.9430428134,-74.173248291,19.5723442775,86.795,-55.8125038147,85.13,45.9687538147,90,84.665,-47.0937538147,121.42,-58.0312538147,2.6555707356,101.781257629,"Ntsr1-Cre_GN220"
"137",0.0450018072,90.26,0.1723214377,0.04582,123.281359673,0.0316939764,12.7026528309,-85.1570739746,11.0791048083,109.69,-53.03125,107.78,33.15625,110,107.27,-45.28125,155.875,-59.09375,3.5244247946,86.1875,"Nr5a1-Cre"
"140",0.0557216459,99.9033333333,0.1570340607,0.05736,170.312494039,0.0473887436,23.0778482023,-78.7213439941,10.0096760202,171.825,-47.75,169.375,40.25,110,168.97,-34.4062538147,199.855,-54.9062538147,2.8745506029,88,"Nr5a1-Cre"
"143",1,47.555,0.0405063291,0.03439,234.687611461,0.0607179217,23.6110219254,-76.8264770508,21.0282830407,60.785,-47.6562538147,58.795,29.8437519073,150,58.335,-32.84375,78.805,-51.0312538147,2.2906380048,77.500005722,"Rbp4-Cre_KL100"
"146",0.0176063191,61.5173333333,0.1975795253,0.05122,191.093742847,0.1313373893,29.7536142466,-76.037902832,16.2555810828,309.58,-54.3125,305.76,28.3125,50,305.2,-45.4062538147,366.32,-62.5625038147,4.0739823915,82.625,"Rorb-IRES2-Cre"
"147",0.0171561136,53.4020588235,0.2444881979,0.035225,144.062504172,0.2682667673,15.339010287,-68.8367080688,18.7258697891,754.925,-49.0312538147,753.02,44.6250038147,80,752.59,-40.28125,807.815,-56.0625,3.4879629387,93.6562576294,"Rbp4-Cre_KL100"
"151",1,1000,-3.86004028867e-19,0.0136,89.5832106471,0.1518599391,9.7215596407,-76.8494796753,1,22.4,-48.34375,20.985,34.78125,290,20.53,-40.53125,29.805,-49.1875038147,2.4712835169,83.125,"Ntsr1-Cre_GN220"
