"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"72",99.352144,153.437390924,0.0158438868821,-94.4375,-78.2422027588,93.8875053406,"Excitatory",5.278715,-49.1354204814,5.27692166667,44.8854192098,106.416666667,5.276585,-35.7916679382,5.29696166667,-53.8229204814,3.39834230497
"73",220.59136,98.9955067635,0.0657196864486,-88.90625,-74.5770797729,85.5750038147,"Inhibitory",5.29267,-65.09375,5.29197,13.2656259537,106.75,5.29164,-41.4687519073,5.29272,-65.1875019073,1.28540712481
"74",272.130624,270.312130451,0.0580473504961,-101.4375,-78.7274246216,87.4937530518,"Inhibitory",3.86281,-44.8437519073,3.86047,36.9843769073,71,3.8599,-35.2656288147,3.89221,-54.2187519073,2.99139360018
"75",210.982144,189.374998212,0.113283351064,-92.78125,-72.2372360229,100.453129768,"Excitatory",3.50182,-50.0833333333,3.49835666667,47.3750038147,61.9166666667,3.497945,-36.4375012716,3.53797833333,-57.239587148,4.68504896062
"76",259.181008,202.812537551,0.0622826330364,-98.4687576294,-77.232673645,94.5781326294,"Excitatory",4.59284,-44.7395833333,4.59008666667,38.7291666667,89.25,4.58958666667,-32.4479198456,4.6233,-54.4166704814,3.79555047832
"77",182.50048,124.062463641,0.0150359999388,-94.7187576294,-80.3704452515,97.7312553406,"Excitatory",4.66026833333,-47.9583346049,4.65592,33.8541692098,90.875,4.65539166667,-35.7916679382,4.69577666667,-55.020837148,3.99815449895
"78",116.209488,84.3750014901,0.0581761337817,-85.1250076294,-75.4689025879,96.9062538147,"Inhibitory",10.91632,-53.8125025431,10.9127266667,32.9375,247.33333842,10.91234,-33.6666679382,10.9206533333,-56.895837148,4.27547002822
"79",218.646752,135.312616825,0.0169601105154,-83.96875,-68.6992721558,80.1822945277,"Inhibitory",7.71638666667,-54.2604166667,7.71532166667,17.4270833333,167.375,7.71492833333,-30.1562512716,7.71648333333,-54.3541666667,1.37539434839
"83",138.529536,82.8124955297,0.0359153226018,-93.03125,-83.3805465698,85.4531265895,"Inhibitory",14.1031516667,-60.6666679382,14.1022583333,17.3854173024,327.041666667,14.10191,-32.5625,14.1032066667,-60.8333358765,1.29597354453
"84",109.64168,122.812502086,0.0203067641705,-93.90625,-80.4940795898,94.6718759537,"Excitatory",4.69984166667,-51.6562512716,4.69554666667,38.78125,91.9166666667,4.69505666667,-41.0625,4.735435,-59.1666666667,4.55697277297
"86",267.333216,244.37507987,0.148372203112,-99.7187576294,-72.7958526611,81.9000030518,"Inhibitory",3.612355,-56.6250025431,3.611305,30.7916679382,64.7500025431,3.61083,-35.03125,3.612415,-56.7291679382,1.42842989944
"88",160.389952,186.875000596,0.0202918145806,-95.6875,-75.2422332764,87.9140644073,"Excitatory",3.46798,-48.65625,3.46545,37.53125,61.125,3.46498,-33.6875038147,3.49128,-55,3.03067999475
"89",116.282496,109.218865633,0.0487773641944,-82.3437576294,-69.3731918335,97.1354192098,"Excitatory",5.29671833333,-49.9062525431,5.29489833333,44.1666692098,106.916671753,5.29447,-37.1145833333,5.33585166667,-56.6354192098,3.33744899629
"90",81.808176,82.5000405312,0.0312513895333,-86.0625076294,-69.6435470581,74.0104211171,"Inhibitory",15.75947,-50.0729204814,15.7576,3.79166698456,368.416666667,15.7571916667,-26.1354179382,15.7609983333,-51.270837148,1.12830995678
"92",105.004096,106.25000298,0.0707838535309,-85.4375076294,-73.8230819702,86.1500019073,"Inhibitory",7.152035,-58.5104179382,7.14704,25.2187512716,153.166666667,7.14668333333,-36.28125,7.15906,-62.1562525431,3.51677224265
"93",182.719216,233.281329274,0.118305526674,-94.2812576294,-73.0314865112,94.2437545776,"Excitatory",3.22784666667,-47.2291692098,3.22557333333,47.7812525431,55.125,3.22509666667,-37.7916679382,3.27282166667,-56.145837148,3.51354013502
"95",124.2884,121.562540531,0.192191585898,-84.34375,-70.8589324951,100.725003052,"Excitatory",5.80178,-47.2916704814,5.80018666667,50.1562538147,119.499992371,5.7998,-39.2916679382,5.84510333333,-54.1250025431,3.84139547676
"96",137.701248,85.9374776483,0.108218982816,-78.21875,-70.4233016968,93.2656294505,"Excitatory",4.39875,-51.3593769073,4.3970425,41.875,84.375,4.396665,-42.7187519073,4.435555,-58.3906288147,3.22682225612
"97",197.458272,148.437619209,0.0588746517897,-95.5000076294,-78.7241210938,89.7916704814,"Excitatory",4.35376,-51.8437525431,4.35069333333,35.3750012716,83.25,4.35011333333,-40.2083333333,4.39866666667,-56.9479192098,3.60735600395
"98",188.39744,248.125046492,0.178474470973,-99.8437576294,-72.4742507935,91.1937538147,"Excitatory",4.54376666667,-45.78125,4.54139166667,37.8854192098,88.0416666667,4.540735,-36.5520846049,4.57209666667,-50.5104192098,2.61333439963
"99",272.356064,195.937529206,0.0292322263122,-100.8125,-78.8551330566,94.2604173024,"Excitatory",2.98699,-49.0937512716,2.98497166667,45.3229179382,49.125,2.98453833333,-36.3854179382,3.02461666667,-52.4062512716,3.78829663431
"100",191.749056,134.843826294,0.0294129494578,-88.5312576294,-72.8857345581,84.5437541962,"Excitatory",7.64292666667,-46.3958358765,7.6399,23.3125006358,165.5,7.63940666667,-33.03125,7.64702666667,-48.1041679382,3.08943045862
"101",148.17216,154.218822718,0.174613907933,-83.53125,-66.1993484497,87.3500061035,"Excitatory",3.78468333333,-43.5729192098,3.78313,41.9270858765,69.0833333333,3.78272,-41.0000025431,3.78475666667,-43.7083346049,3.34627397567
"106",107.266272,91.2500023842,0.0420052446425,-88.5,-78.7921066284,83.3515663147,"Excitatory",8.673895,-43.6770858765,8.66971166667,41.4166704814,191.25,8.66929,-38.7604192098,8.717475,-52.4687538147,4.18496553773
"107",282.708064,215.000107884,0.068071834743,-96.5,-72.8924713135,94.5125038147,"Excitatory",2.82328666667,-51.302087148,2.82024,40.3645858765,45,2.8198,-41.864587148,2.85941333333,-58.4270846049,4.41792288743
"108",197.70776,183.750033379,0.0408375635743,-98.96875,-78.2534942627,78.6484379768,"Excitatory",3.73406833333,-47.5625025431,3.73038833333,37.5208346049,67.7916666667,3.72990666667,-36.1979192098,3.76155333333,-56.4687512716,3.63734001793
"109",211.051296,211.874991655,0.259266614914,-94.9062576294,-70.3972854614,91.2239602407,"Inhibitory",4.73448333333,-51.0416679382,4.73341666667,38.0729179382,92.8333333333,4.73305833333,-41.2083346049,4.75296166667,-54.4062525431,2.14800327235
"110",130.90852,101.250037551,0.017625246197,-86.2812576294,-75.108543396,80.2083350817,"Inhibitory",12.2790783333,-61.7812525431,12.2783,15.0625009537,281.458333333,12.2780133333,-32.7291692098,12.2791366667,-61.9166704814,1.21995656261
"113",110.029904,99.06257689,0.0279425401241,-86.1562576294,-75.1433410645,89.6041717529,"Excitatory",7.76234666667,-51.1250025431,7.75888666667,49.6666679382,168.458333333,7.75840666667,-40.5104179382,7.78842,-56.427087148,4.61450186447
"114",117.547536,150.468826294,0.0630087703466,-90.3125,-74.7002639771,84.312505722,"Excitatory",4.92011333333,-49.2291692098,4.91628666667,43.5937538147,97.375,4.91582666667,-42.6250012716,4.95978666667,-56.6250025431,5.42735702582
"115",112.069712,58.2812875509,0.0498790591955,-70.90625,-63.5755844116,97.78125,"Excitatory",3.580725,-47.8125038147,3.57477,42.40625,63.8750038147,3.57418,-34.59375,3.593095,-51.1562538147,5.38643998235
"116",184.10248,189.107134938,0.0259323790669,-96,-77.3416595459,85.9375022888,"Excitatory",3.34422833333,-47.8854179382,3.34222833333,30.322918574,58.0416666667,3.34175666667,-36.53125,3.375925,-53.4479166667,2.76804495766
"117",220.36152,181.874960661,0.124726444483,-100.53125,-79.635635376,67.4375025431,"Inhibitory",6.30432666667,-58.5104179382,6.30261166667,4.12500015895,132.083333333,6.30219833333,-34.9375,6.308035,-59.0625025431,1.59407082207
"118",199.901376,210.624992847,0.283523201942,-91.1875,-68.5026245117,91.7937507629,"Excitatory",3.26185833333,-50.0520846049,3.25907833333,38.2604166667,55.9583320618,3.258485,-38.2083346049,3.30029333333,-53.625,3.28457330183
"120",343.51312,174.374997616,0.0474362894893,-93.09375,-73.5498428345,94.382815361,"Inhibitory",3.24909,-43.984375,3.2471,32.53125,55.6875,3.24661,-36.015625,33.91256,-70.7343788147,3.17796042852
"123",202.347344,212.031289935,0.0468316674232,-97.84375,-73.9191589355,84.6666730245,"Excitatory",3.158835,-47.90625,3.1567025,36.125,53.3749980927,3.1563,-36.3125019073,3.1806825,-54.4687538147,3.09564000605
"125",153.991008,250.468790531,0.154492259026,-89.28125,-66.1167221069,103.156253815,"Excitatory",4.269355,-43.0312538147,4.26749833333,46.5937512716,81.1666666667,4.26698166667,-28.7500019073,4.30083666667,-47.1875038147,2.73549533553
"126",147.576528,160.000115633,0.0200274847448,-91.96875,-77.0050354004,82.4500045776,"Excitatory",4.83492666667,-48.6666692098,4.83095833333,33.3020846049,95.2499974569,4.830475,-36.1979179382,4.86961,-57.2916692098,4.01972245422
"129",146.92272,103.90625149,0.0919351428747,-84.6875,-72.3729629517,78.8437523842,"Excitatory",11.07332,-52.2916666667,11.0720533333,7.89583412806,251.291656494,11.0716,-31.0833333333,11.0734933333,-52.4791679382,1.37480924155
"130",152.78832,122.187457979,0.0110582625493,-99.59375,-75.7397460938,101.088542302,"Inhibitory",10.6196233333,-62.2708346049,10.6187833333,17.84375,239.958333333,10.6184116667,-34.71875,10.6197033333,-62.4583333333,1.21147214175
"131",141.152544,136.718794703,0.0877228975296,-75.9687576294,-61.491153717,99.7187561035,"Excitatory",3.62646166667,-47.8541692098,3.624465,46.6875025431,65.1250012716,3.62405333333,-37.5104204814,3.660065,-52.9166679382,3.59375301749
"132",159.014672,180.625006557,0.0429490320385,-100.968757629,-78.7545089722,72.2000022888,"Excitatory",4.02086166667,-50.3437512716,4.01928666667,29.3645846049,74.9583333333,4.01883833333,-37.9166679382,4.05570833333,-54.2916666667,2.57531783933
"133",155.591856,92.3437848687,0.054768987,-84.78125,-74.0444335938,86.7437534332,"Inhibitory",13.6153533333,-58.0937525431,13.6143733333,17.5416673024,314.833333333,13.61399,-32.5104173024,13.6154233333,-58.1770846049,1.35671305388
"135",148.943296,81.2499970198,0.00915148854256,-85.03125,-74.6396560669,90.0000038147,"Inhibitory",16.60688,-61.2812538147,16.60613,14.75,389.625,16.605785,-32.9687538147,16.606875,-61.2812538147,1.14400571401
"136",100.70636,147.499918938,0.137995809317,-90.9062576294,-74.173248291,99.3062545776,"Excitatory",5.10423333333,-53.3854192098,5.10269,47.6458346049,102.041664124,5.10220333333,-45.4375025431,5.139565,-56.4791704814,2.69949189775
"137",176.9292,123.281359673,0.0316939763725,-99.6562576294,-85.1570739746,88.890627861,"Excitatory",6.261465,-52.0625012716,6.25953666667,41.9583358765,130.958333333,6.25906,-40.1458333333,6.29017,-58.1354179382,3.70285736191
"138",200.678192,148.43736589,0.0466642975807,-96.375,-76.7660217285,90.0781288147,"Excitatory",7.506305,-46.5104166667,7.50380166667,44.4583346049,162.125,7.50336333333,-32.1145846049,7.51918666667,-51.7708346049,3.69068134078
"140",293.105056,170.31249404,0.0473887436092,-97.21875,-78.7213439941,95.8854166667,"Excitatory",4.42412166667,-47.28125,4.42239166667,44.2291679382,85.0416666667,4.42199166667,-34.8125,4.44969833333,-54.9375,2.98429560523
"141",159.685184,137.656286359,0.0748733133078,-92.28125,-76.361656189,79.156252861,"Inhibitory",9.77657833333,-56.3229192098,9.77571166667,6.9791671435,218.875005086,9.77534666667,-31.3229179382,9.77663833333,-56.4270846049,0.940113400345
"144",443.305856,491.874992847,0.0494608357549,-94.46875,-58.3895721436,74.0750009537,"Inhibitory",1.772655,-53.7812512716,1.77125833333,16.6875,18.75,1.77073333333,-38.7604166667,1.77773833333,-54.0833333333,1.57320120179
"145",262.940592,197.968780994,0.121957555413,-100.90625,-72.2550735474,65.7291679382,"Inhibitory",8.84465333333,-54.1354166667,8.843625,0.999999990066,195.583333333,8.84322166667,-28.3750012716,8.844685,-54.1875,0.970260422398
"146",198.265632,191.093742847,0.13133738935,-96.59375,-76.037902832,82.6937534332,"Excitatory",3.64563333333,-53.5833346049,3.64226,29.1979179382,65.5,3.64167333333,-44.6250025431,3.68686666667,-60.395837148,3.95421498542
"147",190.287488,144.062504172,0.268266767263,-84.96875,-68.8367080688,97.7500066757,"Excitatory",3.98277666667,-49.1458346049,3.98097333333,48.1250038147,74.0416641235,3.98056333333,-38.9895846049,4.03179,-52.833337148,3.66351348037
