"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","binary_neuron"
"98",0.59575851654,293.97,0.203861264416,1.0839,4.54376666667,1.025698,-46.6875038147,-45.78125,-52.0937522888,188.39744,0.02812,1.08137,4.54139166667,1.02352,37.25,37.8854192098,39.1000015259,248.125046492,0.178474470973,1.576521,-72.9187515259,90,88.0416666667,530,1.080745,4.540735,1.023013,-37,-36.5520846049,-48.7562522888,1.093475,4.57209666667,1.576521,-48.4687538147,-50.5104192098,-72.9187561035,2.75426103202,2.61333439963,3.19242655648,-99.8437576294,-72.4742507935,"Rorb-IRES2-Cre",91.1937538147,"Excitatory"
"99",0.0187310267332,49.4557894737,0.245974814527,1.419255,2.98699,1.02527666667,-54.3125,-49.0937512716,-54.4010416667,272.356064,0.03755,1.417325,2.98497166667,1.02343833333,39.625,45.3229179382,39.8593756358,195.937529206,0.0292322263122,1.47204,-80.1718762716,50,49.125,105,1.41683,2.98453833333,1.0230325,-41.5000038147,-36.3854179382,-42.651043574,1.460715,3.02461666667,1.47204,-61.1875038147,-52.4062512716,-80.1718762716,3.34823501509,3.78829663431,3.48244378937,-100.8125,-78.8551330566,"Scnn1a-Tg3-Cre",94.2604173024,"Excitatory"
"100",0.00843448985921,36.0992592593,0.480000012677,1.04764,7.64292666667,1.027312,-47.4375038147,-46.3958358765,-56.9812530518,191.749056,0.01428,1.04602,7.6399,1.02294,25,23.3125006358,27.5625011444,134.843826294,0.0294129494578,1.340548,-73.2375,190,165.5,700,1.04564,7.63940666667,1.022612,-31.5937519073,-33.03125,-35.4812522888,1.04916,7.64702666667,1.340548,-48.0625038147,-48.1041679382,-73.2375,2.7806876741,3.08943045862,2.60104616618,-88.5312576294,-72.8857345581,"Ndnf-IRES2-dgCre",84.5437541962,"Excitatory"
"101",0.186436397421,133.743333333,0.118261920504,1.116105,3.78468333333,1.024762,-42.0937538147,-43.5729192098,-47.3062530518,148.17216,0.04158,1.11444,3.78313,1.02328,37.8125,41.9270858765,40.0437530518,154.218822718,0.174613907933,1.190634,-67.4312515259,70,69.0833333333,568,1.114035,3.78272,1.02293,-40.1562538147,-41.0000025431,-43.2062507629,1.116235,3.78475666667,1.190634,-42.28125,-43.7083346049,-67.4312515259,3.34548206295,3.34627397567,3.44253349275,-83.53125,-66.1993484497,"Rbp4-Cre_KL100",87.3500061035,"Excitatory"
"106",0.0152264710262,85.318,0.159429313503,1.21119,8.673895,1.025255,-43.1250038147,-43.6770858765,-45.0937519073,107.266272,0.06217,1.207475,8.66971166667,1.0233925,35.6875038147,41.4166704814,38.2578144073,91.2500023842,0.0420052446425,1.55397875,-78.8359413147,209.999984741,191.25,1330,1.207025,8.66929,1.0230275,-39.71875,-38.7604192098,-47.0000019073,1.252915,8.717475,1.55397875,-52.5312538147,-52.4687538147,-78.8359413147,3.9278155439,4.18496553773,3.88184989072,-88.5,-78.7921066284,"Rbp4-Cre_KL100",83.3515663147,"Excitatory"
"107",0.0202565351683,53.3344444444,0.227808988764,1.28144,2.82328666667,1.026236,-49.6562538147,-51.302087148,-54.3562522888,282.708064,0.0383,1.27822,2.82024,1.023512,38.3125038147,40.3645858765,40.1562515259,215.000107884,0.068071834743,1.520652,-73.3500045776,40,45,479.999969482,1.27778,2.8198,1.023132,-40.53125,-41.864587148,-45.3687522888,1.31686,2.85941333333,1.520652,-57.9375038147,-58.4270846049,-73.3500045776,4.59012616183,4.41792288743,4.30908829996,-96.5,-72.8924713135,"Ctgf-T2A-dgCre",94.5125038147,"Excitatory"
"108",0.0506358445445,94.6985,0.194509345794,1.11824,3.73406833333,1.02536125,-46.46875,-47.5625025431,-47.515625,197.70776,0.03979,1.115335,3.73038833333,1.0235225,35.4375038147,37.5208346049,31.1328129768,183.750033379,0.0408375635743,1.58389,-79.5234394073,70,67.7916666667,860,1.11488,3.72990666667,1.02309875,-36.7187538147,-36.1979192098,-42.5234375,1.14744,3.76155333333,1.58389,-56.8125038147,-56.4687512716,-79.5234394073,3.79673689847,3.63734001793,3.48663141429,-98.96875,-78.2534942627,"Nr5a1-Cre",78.6484379768,"Excitatory"
"111",0.0297156416156,49.5855263158,0.205737704918,1.07379,2.4759375,1.02533166667,-50.7500038147,-47.203125,-53.5000012716,285.755872,0.021885,1.071875,2.4735425,1.023495,26.84375,34.03125,30.0729173024,267.96874404,0.162377104163,1.27025666667,-73.71875,50,36.3125,410,1.07138,2.473055,1.02308666667,-41.6562538147,-34.921875,-46.9270846049,1.080365,2.508675,1.27025666667,-51.6875,-54.5625,-73.71875,2.6286820771,2.86694433648,2.86289173495,-103.59375,-73.1547622681,"Scnn1a-Tg3-Cre",83.572918574,"Excitatory"
"113",0.0278465493189,151.652,0.10744520285,1.2812,7.76234666667,1.02605333333,-49.4062538147,-51.1250025431,-48.3541704814,110.029904,0.08578,1.27704,7.75888666667,1.02361333333,40.03125,49.6666679382,41.2500012716,99.06257689,0.0279425401241,1.64114666667,-75.7083384196,130,168.458333333,1190,1.27648,7.75840666667,1.02315333333,-39.7500038147,-40.5104179382,-42.0416692098,1.327,7.78842,1.64114666667,-57.59375,-56.427087148,-75.7083384196,4.06153700281,4.61450186447,4.034912342,-86.1562576294,-75.1433410645,"Ctgf-T2A-dgCre",89.6041717529,"Excitatory"
"114",0.0246543952305,73.405,0.173333345317,1.42986,4.92011333333,1.02652,-50.71875,-49.2291692098,-53.6562538147,117.547536,0.07042,1.42574,4.91628666667,1.02348,35.34375,43.5937538147,30.6562519073,150.468826294,0.0630087703466,1.53612,-75.2500076294,110,97.375,830,1.42524,4.91582666667,1.02306,-43.9062538147,-42.6250012716,-41.71875,1.46778,4.95978666667,1.53612,-58.4062538147,-56.6250025431,-75.2500076294,4.76141683234,5.42735702582,3.90644355858,-90.3125,-74.7002639771,"Ctgf-T2A-dgCre",84.312505722,"Excitatory"
