"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"698",117.860512,118.281327188,0.00426001707092,-83.4062576294,-72.6110458374,"Cux2-CreERT2",11.7335836498,7.24186,-44.5208358765,7.23828,49.3750012716,155.416666667,7.23774666667,-41.4583346049,7.26715333333,-51.9687538147,4.02438369038
"703",192.555408,190.156295896,0.0252655018121,-95.4062576294,-75.3656616211,"Rorb-IRES2-Cre",19.0574200065,3.56598333333,-51.4791704814,3.56403,37.1770846049,63.5833295186,3.563605,-37.3541666667,3.59310666667,-58.833337148,2.72159005089
"732",216.237088,178.571432829,0.130529895425,-88.4062576294,-70.2577819824,"Scnn1a-Tg3-Cre",10.5798336615,4.32854833333,-41.2708358765,4.32712333333,41.8333346049,82.625,4.32671,-31.8958352407,4.37412666667,-51.0937525431,2.73333537545
"748",182.628896,118.906252086,0.00681353360415,-94.84375,-81.7420120239,"Nr5a1-Cre",22.1618926256,4.807935,-49.2916692098,4.80586166667,41.0416692098,94.5833282471,4.80542333333,-36.2812512716,4.83681833333,-54.895837148,3.16026111673
"759",134.100376,186.406299472,0.116252496839,-85.7812576294,-68.4197998047,"Nr5a1-Cre",11.6383950653,3.88839333333,-49.1562538147,3.88690666667,50.1041692098,71.6666641235,3.88650833333,-36.4166692098,3.93104333333,-54.6666692098,3.28016381722
"762",140.119056,158.203125,0.0266639310867,-92.59375,-74.8717956543,"Nr5a1-Cre",13.9576269708,3.0684725,-48.0781269073,3.0665925,47.3437538147,51.1249980927,3.0661925,-36.2968769073,3.0978725,-54.6093788147,3.07150555115
"764",185.442624,142.187535763,0.0362740457058,-95.46875,-79.633972168,"Cux2-CreERT2",17.8058714861,4.84312,-49.2916692098,4.84132,32.4583346049,95.5416666667,4.8408,-36.1354192098,4.86668,-55.1875012716,2.55340376148
"782",152.729088,159.37499702,0.0594470798969,-89.6562576294,-72.3198471069,"Cux2-CreERT2",10.1041286592,4.65415833333,-49.833337148,4.65210333333,49.8333346049,90.75,4.65159166667,-41.8750012716,4.69953833333,-54.1770858765,3.67016155308
"793",119.94748,148.749962449,0.018988551572,-100.218757629,-83.5632095337,"Nr5a1-Cre",14.2881806979,4.02917333333,-51.0520858765,4.02732833333,47.8541692098,75.2083307902,4.026995,-38.7812525431,4.06467166667,-59.8958358765,4.33075763581
"795",240.612736,301.562488079,0.0205476954579,-100.03125,-66.1851959229,"Rorb-IRES2-Cre",24.5144354274,2.49117666667,-49.2187512716,2.489345,35.4791679382,36.7083333333,2.48887166667,-35.4583346049,2.50645833333,-54.2604179382,2.74545380841
