"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","adaptation","avg_isi","f_i_curve_slope","latency","height","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"626",139.463376,172.343745828,0.166858181357,-92.4375076294,-72.852104187,"Ntsr1-Cre_GN220",10.7033148166,0.02590650925,93.429,0.162266361849,0.051735,89.8046913147,1.12877,-49.4375,1.12646,30.375,130,1.12592,-33.9375,1.1596,-53.40625,2.45581435056
"666",462.096832,413.437455893,0.0900622904301,-103.000007629,-68.5833206177,"Ctgf-T2A-dgCre",38.4383635646,0.00852896340518,26.0156756757,0.269980314384,0.01402,99.5562530518,1.14772,-52.15625,1.14548,38.2500038147,20,1.14498,-42.9375038147,1.17122,-54.9375038147,3.2085565206
"703",192.555408,190.156295896,0.0252655018121,-95.4062576294,-75.3656616211,"Rorb-IRES2-Cre",19.0574200065,0.0596814015802,52.473,0.0792683029927,0.03283,85.1062541962,1.09621,-48.65625,1.094005,30.7187519073,130,1.093565,-39.0312538147,1.109705,-53.5625038147,2.94862077005
"752",201.991712,176.339313388,0.131825149059,-86.84375,-69.7545013428,"Rbp4-Cre_KL100",9.45023271198,0.0339354608645,105.8175,0.149813432836,0.05054,98.179693222,1.12402,-43.875,1.12206,38.8750038147,90,1.12164,-31.0000019073,1.15058,-54.5000038147,3.180070432
"753",98.462824,237.6562953,0.113893173635,-96.9375076294,-75.7492904663,"Rbp4-Cre_KL100",21.7844752937,0.05003935968,45.90425,0.282712785763,0.046195,89.2760454814,1.32582,-47.5000038147,1.324045,27.5312519073,60.0000038147,1.32352,-42.28125,1.38385,-54.3437538147,2.4694016135
"757",221.250032,154.68749404,0.0473360866308,-96,-78.1916351318,"Rorb-IRES2-Cre",9.82961992136,0.0483952062204,101.733333333,0.119021745413,0.0481,98.3750038147,1.10932,-50.96875,1.10634,33.5625,130,1.10582,-38.78125,1.12934,-55.9687538147,4.52003667599
"759",134.100376,186.406299472,0.116252496839,-85.7812576294,-68.4197998047,"Nr5a1-Cre",11.6383950653,0.0296126532572,85.9225,0.0940899273513,0.046245,100.006254578,1.28113,-50.6875038147,1.279575,49.3125038147,70,1.27919,-38.6875,1.323905,-57.2812538147,3.07484804642
"773",218.161152,133.616149426,0.0384177193046,-85.03125,-69.9344177246,"Rorb-IRES2-Cre",15.9058374423,0.0203495168144,62.87,0.193181818182,0.04736,95.8046875,1.36837,-47.5,1.3644,42.25,50,1.36398,-36.28125,1.426805,-57.5312538147,3.98920783498
"822",113.807184,117.968633771,0.0710932537913,-91.0625,-78.1322631836,"Cux2-CreERT2",11.2804430958,0.0228542237975,88.649,0.127967100872,0.05405,98.0500038147,1.16396,-45.15625,1.161625,47.53125,150,1.16123,-34.78125,1.195805,-53.9687538147,4.06783285977
"825",206.452464,195.3125,0.0442003123462,-101.593757629,-79.6588592529,"Nr5a1-Cre",28.4798860805,0.272196511214,35.1125,0.140144236395,0.01915,102.036461512,1.07389,-55.4687538147,1.07235,41.0312538147,130,1.071965,-40.8750038147,1.881865,-58.0937538147,3.62366785185
"828",227.135744,130.31257689,0.00892730802298,-85.6562576294,-71.0000686646,"Rorb-IRES2-Cre",16.4981498503,0.135492200732,60.6128571429,0.12797618634,0.014835,98.2437538147,1.061195,-51.9375,1.05888,42.75,210,1.058485,-39.21875,1.066395,-54.5937538147,3.7668851033
"850",155.321072,156.093791127,0.0351201109588,-95.8125076294,-78.3591156006,"Rorb-IRES2-Cre",10.1752402487,0.0771844224327,98.2777777778,0.130130357304,0.03926,102.406253815,1.096755,-49.0000038147,1.094075,46.5625038147,110,1.09369,-39.0312538147,1.11664,-52.1875038147,4.40104738116
"854",269.900832,299.196541309,0.0677318796515,-99.3125076294,-72.3506011963,"Cux2-CreERT2",31.2690545801,0.0110782776136,31.9805,0.32,0.01688,95.578130722,1.095435,-47.0625,1.093835,39.1250038147,70,1.09346,-35.8437538147,1.11032,-51.9687538147,2.93198915638
"863",145.749248,125.669509172,0.110391393304,-93.71875,-80.1582565308,"Rorb-IRES2-Cre",11.0290062865,0.366383588839,90.67,0.110156239886,0.04177,97.6000045776,1.12283,-53.5625038147,1.12084,32.125,290,1.120305,-39.15625,1.13938,-53.90625,2.99895275122
"870",200.624128,149.519309402,0.0320296883583,-93.1562576294,-76.7724685669,"Rorb-IRES2-Cre",17.5187916413,0.0146677684976,57.0815625,0.290214390278,0.064105,91.2750030518,1.192635,-44.5312538147,1.19082,39.7500038147,50,1.19044,-32.0625,1.23585,-53.9375038147,3.53888140586
"872",91.85272,124.955430627,0.0801045447588,-88.90625,-75.4485092163,"Nr5a1-Cre",10.8098759026,0.0431775031049,92.508,0.147222229905,0.073575,85.8187545776,1.281135,-45.3125,1.278155,42,100,1.277745,-38.4687538147,1.36132,-58.84375,3.93466110766
"875",309.563808,174.99999702,0.0597991719842,-102.500007629,-77.4748916626,"Nr5a1-Cre",16.1051343168,0.0312285178579,62.092,0.0404191616766,0.03548,94.6937553406,1.14146,-54.40625,1.13876,41.8437538147,70,1.13834,-36.9375,1.15554,-59.3125038147,4.14023731153
"892",183.4248,134.53117013,0.0435074232519,-89.3750076294,-74.5060882568,"Ndnf-IRES2-dgCre",39.5633825678,-0.0119699722162,25.2758974359,0.44053420806,0.01062,90.7437538147,1.04206,-51.28125,1.04064,28,280,1.04028,-34.15625,1.0424,-51.5000038147,2.87783337733
"925",189.283568,163.59385848,0.0291495863348,-97.2500076294,-79.1894683838,"Nr5a1-Cre",15.1119362708,0.0122443751468,66.1728571429,0.24998507017,0.03964,97.2083365122,1.08936,-50.40625,1.08686,39.7500038147,170,1.08644,-36.9375,1.0987,-54,3.91666800578
"928",144.937296,206.718668342,0.215651631355,-86.4687576294,-61.2651138306,"Ntsr1-Cre_GN220",23.9617483363,0.00830902058591,41.7331818182,0.269510582011,0.042005,88.0703172684,1.175595,-45.1250038147,1.17349,28.2812519073,50,1.172935,-31.96875,1.201125,-48.25,2.31831811183
"931",142.759456,122.343711555,0.0597714334726,-88,-71.6550292969,"Scnn1a-Tg2-Cre",7.5668006621,0.104571190413,132.15625,0.099348534202,0.069205,89.7875007629,1.217805,-47,1.215375,38.1875,110,1.214805,-40.03125,1.258855,-55.03125,3.4543557908
"944",93.896816,131.406247616,0.0534133799374,-90.5000076294,-75.3521347046,"Scnn1a-Tg2-Cre",11.474271814,0.0219884409981,87.1515,0.168465924214,0.07715,98.7968788147,1.331955,-39,1.32885,32.0312538147,110,1.328305,-25.3750019073,1.37118,-50.15625,2.59377667135
"955",227.410944,167.343750596,0.0222554951906,-98.03125,-78.7549057007,"Scnn1a-Tg3-Cre",11.2363057524,0.05342741945,88.9972222222,0.111111111111,0.06294,91.3705384391,1.15808,-46.65625,1.154115,37.65625,90,1.15347,-36.4375,1.195375,-53.125,4.37520683742
