"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","firing_rate"
"317",0.040493415282,47.7113888889,0.318281277695,1.09664,3.28959833333,1.024645,-50.4687538147,-48.8750012716,-51.8671913147,296.119104,0.02121,1.09507,3.28803,1.02339,37,42.770837148,43.3359375,240.624904633,0.0472334884107,1.76476875,-82.0312538147,110,56.7083307902,670,1.09471,3.28767,1.0230875,-34.875,-33.2083358765,-45.2968759537,1.113255,3.31223333333,1.76476875,-55.7812538147,-54.9895858765,-82.0312538147,2.86478458616,2.92815819548,3.45047104063,-99.9062576294,-81.4488296509,"Nr5a1-Cre",95.2031288147,20.9593563149
"358",0.0120808066678,56.1767647059,0.315151524292,1.3541,2.9236175,1.02483166667,-53.90625,-52.8593788147,-55.4375012716,144.356976,0.04458,1.352535,2.9220125,1.02345166667,47.9062538147,51.2343769073,48.25,215.468749404,0.0110207870603,1.77270333333,-70.46875,50,47.5624980927,0,1.352175,2.92166,1.02314166667,-44.34375,-41.859375,-48.625,1.385405,2.9522175,1.77270333333,-56.4062538147,-54.8281288147,-70.46875,3.55147563648,3.96880189995,3.81661259655,-93.4375076294,-69.870262146,"Rorb-IRES2-Cre",103.687501272,17.8009539217
"364",0.0223981014994,85.0245454545,0.102976195628,1.136185,6.09721916667,1.026762,-48.875,-49.1979173024,-53.6250015259,164.929792,0.058865,1.131975,6.09243833333,1.023393,31.6875019073,32.1562519073,33.1312507629,139.687538147,0.0298760719597,1.08744,-65.3187530518,130,126.791666667,568,1.131395,6.09185416667,1.022911,-38.28125,-37.6614589691,-45.4500007629,1.148295,6.12212416667,1.08744,-52.15625,-55.4114583333,-65.3187530518,3.98766840898,3.94225672557,4.05564164294,-79.625,-63.8380661011,"Scnn1a-Tg3-Cre",86.7562522888,11.7613095684
"373",0.0112589502032,95.0088888889,0.152747249209,1.25092,3.48384666667,1.02594,-51.1875038147,-52.7604192098,-55.2291679382,249.948128,0.05462,1.24742,3.48072,1.02361333333,46.5,47.0729179382,44.7708358765,203.906327486,0.0947432816029,1.78088666667,-71.8750025431,90,61.5000025431,0,1.24698,3.48028666667,1.02323333333,-42.9375038147,-43.2500012716,-47.375,1.28714,3.52321333333,1.78088666667,-56.9062538147,-58.7604204814,-71.8750025431,4.98288455755,4.82387475876,4.41016020534,-93.625,-71.2786102295,"Ctgf-T2A-dgCre",100.000003815,10.5253309632
"399",0.0307136335296,75.905,0.214566475869,1.1403,2.42207166667,1.024683,-46.5312538147,-48.6250012716,-52.7375030518,189.376096,0.03189,1.138445,2.42017666667,1.023213,47.125,48.7604192098,48.8750030518,232.81249404,0.100696012378,1.5582,-65.2875030518,50,35,251.999981689,1.138035,2.419785,1.022883,-36.4062538147,-35.5625,-44.1812515259,1.173395,2.44637666667,1.5582,-55.7187538147,-55.96875,-65.2875030518,3.27865883714,3.36306624654,3.53498059523,-91.2812576294,-64.3289031982,"Cux2-CreERT2",101.612506104,13.1743626902
"400",0.0388683455117,65.3307142857,0.194337144461,1.11074,3.93675,1.025042,-48.96875,-51.1145858765,-53.2437530518,195.639696,0.0392,1.108965,3.934915,1.023263,43.625,45.4583358765,42.6875030518,186.562463641,0.0307361148298,1.680027,-78.4312530518,90,72.875,509.999969482,1.10856,3.934515,1.022914,-39.8437538147,-41.84375,-46.8125,1.12663,3.972325,1.680027,-52.40625,-55.5625025431,-78.4312530518,3.78191791273,4.18354542687,4.05441270954,-98.2812576294,-77.5233535767,"Cux2-CreERT2",95.9312561035,15.3067360572
"414",0.0206066107217,72.2323076923,0.191949152542,1.36464,4.42197333333,1.02495333333,-49.9687538147,-50.8854192098,-52.6250038147,157.871936,0.05544,1.3625,4.42005333333,1.02324666667,43.7500038147,40.4479179382,41.8958358765,152.499973774,0.0793471187353,1.68605333333,-76.0833384196,70,85,870,1.36212,4.41962666667,1.02288666667,-39.8125,-39.5312525431,-47.052087148,1.43472,4.46170666667,1.68605333333,-61.9375038147,-59.6979192098,-76.0833384196,3.80743809071,3.64295670571,4.09151184691,-91.78125,-75.5931091309,"Scnn1a-Tg3-Cre",94.5208396912,13.8442205704
"419",0.0292641028905,73.74,0.189501915709,1.22254,3.32364,1.0249,-44.96875,-51.9687512716,-51.2916679382,281.314944,0.05546,1.22026,3.32169333333,1.02344666667,37.90625,40.8125025431,42.9687512716,123.906247318,0.119535215199,1.14363333333,-79.8541717529,80,57.5833307902,860,1.2198,3.32126666667,1.02306666667,-33.40625,-41.3958358765,-47.2083346049,1.27346,3.37398,1.14363333333,-59.0000038147,-59.2812512716,-79.8541717529,3.38478026592,3.91536868527,3.89081309141,-95.0312576294,-79.6576766968,"Scnn1a-Tg3-Cre",94.2604192098,13.5611608354
"426",0.0416870724956,92.3094444444,0.108257151119,1.31686,3.73547833333,1.0256625,-45.5625038147,-47.3541692098,-48.578125,154.913792,0.070805,1.31299,3.73273166667,1.023415,49.6562538147,52.4583358765,53.5312519073,173.593640327,0.0580313242972,2.0085225,-72.4843788147,60.0000038147,67.7916653951,999.999938965,1.31253,3.73227166667,1.0230025,-35.3750038147,-36.6354166667,-44.9687519073,1.37533,3.78376,2.0085225,-56.625,-57.1562512716,-72.4843826294,4.22662043511,4.35983918432,4.23801979951,-90.53125,-71.9915924072,"Scnn1a-Tg3-Cre",102.109376907,10.8331277045
"432",0.0197264239888,101.615,0.154432635251,1.266075,5.97453166667,1.024872,-47.0000038147,-48.6354179382,-51.5750015259,83.012416,0.071565,1.264235,5.97286166667,1.023363,30.7187519073,42.6354192098,37.3562522888,118.750080466,0.094195432961,1.438612,-71.8687530518,100,123.833333333,969.999938965,1.263745,5.97243666667,1.022972,-39.3750038147,-40.9270846049,-44.5000015259,1.31915,6.025045,1.438612,-57.90625,-57.3854204814,-71.8687530518,2.81146175176,3.23722126264,3.03701490131,-83.5937576294,-70.9766464233,"Rbp4-Cre_KL100",88.9312538147,9.84106677164
"441",0.0653829046954,88.2835,0.171405456029,1.1521,4.20871166667,1.02503333333,-49.8750038147,-49.2187525431,-51.7656275431,217.930304,0.03633,1.149805,4.20657833333,1.02339333333,40.34375,43.2083358765,43.2083352407,177.031293511,0.0687024816871,1.700825,-74.3854230245,80,79.6666666667,690,1.14939,4.20616,1.0230325,-40.4687538147,-36.4375012716,-47.5677096049,1.540055,4.22854333333,1.700825,-59.1250038147,-55.6875025431,-74.3854230245,4.02099086371,3.77237813281,4.09388337584,-93,-73.6229324341,"Cux2-CreERT2",94.9739627838,11.3271449365
"479",0.201385811602,149.07,0.196666649667,1.08622,8.17106,1.025244,-52.0312538147,-53.3125025431,-55.3187522888,165.120592,0.03052,1.0836,8.16806,1.023396,37.71875,39.0729179382,40.7750022888,142.968714237,0.00469936151057,1.69178,-78.9937545776,230,178.708328247,989.999938965,1.08314,8.16758,1.022992,-38.5625038147,-36.4166679382,-49.1812515259,1.0958,8.18033333333,1.69178,-55.0000038147,-57.6145833333,-78.9937545776,3.99149406383,3.6613043182,4.16069890847,-93.5625076294,-78.8050384521,"Nr5a1-Cre",96.0937545776,6.70825786543
