"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","binary_neuron"
"496",0.00637119649264,22.67625,0.74521603055,1.22804,10.9939566667,1.02462125,-54,-53.9479166667,-59.890625,156.860064,0.047525,1.226705,10.9928183333,1.0233125,5.43750047684,14.5000003179,11.3906254768,114.06250298,0.0661664158106,1.68389625,-74.5468769073,230,249.29166158,360,1.22631,10.9924416667,1.0230125,-30.1875,-30.5833339691,-39.9609384537,1.228275,10.99418,1.68389625,-54.1875038147,-54.1666679382,-74.5468769073,1.31803046547,1.40874271477,1.55362870958,-97.3125,-73.1888122559,"Pvalb-IRES-Cre",71.2812504768,"Inhibitory"
"506",0.011954782636,61.5613333333,0.204330703223,1.093635,9.23269666667,1.02502583333,-48.7812538147,-50.5104166667,-50.8802108765,112.529064,0.023205,1.09105,9.22806,1.02333416667,26.875,28.1145852407,32.4062512716,102.812580764,0.00731829274446,1.36715,-71.2395846049,200,205.166666667,690,1.09066,9.22763166667,1.02301666667,-34.5625038147,-34.2500012716,-39.3281262716,1.099485,9.23895,1.36715,-51.7812538147,-53.3958346049,-71.2395846049,3.9003909039,4.11771057307,2.84151608121,-82.4375,-70.6090240479,"Htr3a-Cre_NO152",83.286462148,"Inhibitory"
"518",0.559148264984,101.44,0.0493168697468,1.06568,5.44311333333,1.02532285714,-45,-46.6458358765,-54.8437532697,191.230304,0.01586,1.064,5.44136666667,1.02358,29.8125019073,32.5937512716,35.875,162.343710661,0.055655926466,1.65303142857,-68.102684021,150,110.499997457,489.999969482,1.0635,5.44079333333,1.02316571429,-33.28125,-35.2395846049,-43.0892868042,1.0658,5.44644,1.65303142857,-45.0625,-46.895837148,-68.102684021,2.63884314496,2.52618654349,2.8740254997,-86.09375,-67.3401947021,"Vip-IRES-Cre",90.7187532697,"Inhibitory"
"523",-0.013156078393,88.5375,0.165401765844,1.83377,8.10564833333,1.029211,-49,-52.1145846049,-62.5125007629,162.217536,0.089955,1.828575,8.10002666667,1.023508,25.6875,30.5625012716,23.9375019073,119.374960661,0.0418769866228,1.204638,-77.13125,209.999984741,177,810.000061035,1.828145,8.099615,1.023184,-31.6250019073,-32.3541692098,-34.5687515259,1.84062,8.11407,1.204638,-52.3750038147,-55.8229204814,-77.1312515259,3.34689069866,3.52906717871,2.06182097197,-89.71875,-76.1159591675,"Htr3a-Cre_NO152",86.4500026703,"Inhibitory"
"529",0.192964373215,20.51,0.0500000039431,1.08434,3.137055,1.02412625,-59.9375038147,-58.8541704814,-59.898440361,253.042464,0.032695,1.08356,3.13618333333,1.02337625,37.8125,32.135418574,35.7265644073,324.218779802,0.185133472085,1.66241625,-72.0546894073,70,52.8749987284,270,1.083195,3.135785,1.0230425,-42.5,-39.2291679382,-45.0468769073,1.08435,3.13708166667,1.66241625,-60.0312538147,-58.927087148,-72.0546894073,1.65190662896,1.51888513566,1.59439545297,-98.84375,-71.4000549316,"Sst-IRES-Cre",95.6250047684,"Inhibitory"
"562",0.00319815885478,17.3557142857,0.716402056968,1.056425,11.89613,1.024289,-59.4062538147,-59.1250038147,-61.7312530518,86.9816,0.013485,1.05543,11.8951633333,1.023375,11.625,16.6041676203,24.1625011444,67.1876892447,0.0677195191383,1.531172,-78.7812530518,310,271.875,780,1.05508,11.8947966667,1.023066,-35.40625,-40.9687512716,-49.1750022888,1.05652,11.8962883333,1.531172,-59.5312538147,-59.3541679382,-78.7812530518,1.39366292814,1.40211622652,1.60945155336,-95.34375,-78.4479141235,"Pvalb-IRES-Cre",85.8937541962,"Inhibitory"
"566",0.0184007740691,46.27575,0.563392880304,1.097425,5.871155,1.02426833333,-60.9687538147,-56.8020846049,-61.848962148,249.251248,0.031335,1.096555,5.87001166667,1.02338,25.5000019073,19.3229173024,26.3072923024,207.65632391,0.146811291575,1.20969416667,-74.3750063578,70,121.208323161,610,1.096185,5.86955333333,1.02302166667,-36.28125,-25.3125012716,-42.8333346049,1.09751,5.87134166667,1.20969416667,-61.0625038147,-56.9791692098,-74.3750063578,1.30555077148,1.06142659347,1.38996744372,-96.9687576294,-73.3074264526,"Sst-IRES-Cre",88.1562544505,"Inhibitory"
"595",0.0312061619278,28.595,0.452789706329,1.12888,2.34681166667,1.024235,-58.0000038147,-59.4687538147,-60.1750038147,301.899872,0.018165,1.127945,2.34594,1.023373,24.5000019073,35.46875,27.8937511444,328.125,0.0192732177675,1.758652,-66.4187545776,30.0000019073,33.1249993642,330,1.12756,2.345535,1.023021,-42.2500038147,-42.9583358765,-42.5062522888,1.1289,2.34687333333,1.758652,-58.1250038147,-59.5833358765,-66.4187545776,1.5586868492,1.51993088621,1.49143985031,-102.65625,-64.7194137573,"Htr3a-Cre_NO152",88.0687549591,"Inhibitory"
"603",0.00657853415843,8.68453488372,0.768996210348,1.033245,15.38881,1.023659,-66.40625,-60.7083358765,-65.8500045776,112.589552,0.007045,1.0327,15.3881466667,1.023142,12.9375009537,9.85416698456,18.6625007629,81.6517844796,0.0469314455986,1.303387,-76.8500015259,350,359.208333333,608,1.03245,15.3878,1.022906,-44.3750038147,-33.8333346049,-50.6562522888,1.033255,15.388845,1.303387,-66.5625,-60.802087148,-76.8500030518,1.1868201442,0.987123767656,1.24495370149,-85.2187576294,-76.7064819336,"Pvalb-IRES-Cre",84.5125053406,"Inhibitory"
"635",0.0270556197493,79.5216666667,0.161611374408,1.03442,6.55337333333,1.024664,-53.28125,-49.7604179382,-53.0500030518,220.72056,0.00616,1.03324,6.55216666667,1.023536,43.3437538147,49.0416679382,50.8687515259,147.343829274,0.0674173012376,1.629752,-76.9375030518,130,138.291666667,260,1.03282,6.55172666667,1.02316,-49.84375,-42.9791679382,-53.4625038147,1.03444,6.55338,1.629752,-53.3125038147,-49.7708333333,-76.9375045776,2.90765609183,2.56267427576,2.86411858329,-93.1562576294,-76.0901794434,"Chat-IRES-Cre-neo",103.918754578,"Inhibitory"
