"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"109",211.051296,211.87499165535,0.25926661491394,-94.9062576293945,-70.3972854614258,"Sst-IRES-Cre",91.223960240682,4.73448333333333,-51.0416679382324,4.73341666666667,38.0729179382324,92.8333333333333,4.73305833333333,-41.2083346048991,4.75296166666667,-54.4062525431315,2.14800327235213
"110",130.90852,101.250037550926,0.0176252461969852,-86.2812576293945,-75.1085433959961,"Pvalb-IRES-Cre",80.2083350817362,12.2790783333333,-61.7812525431315,12.2783,15.0625009536743,281.458333333333,12.2780133333333,-32.7291692097982,12.2791366666667,-61.9166704813639,1.2199565626146
"112",177.17712,132.656246423721,0.184340372681618,-89.4687576293945,-73.6015090942383,"Sst-IRES-Cre",96.2968788146973,6.19772,-59.2604192097982,6.19683333333333,34.8229166666667,129.416666666667,6.19648666666667,-39.8229204813639,6.19777333333333,-59.3437538146973,1.9883128946512
"120",343.51312,174.374997615814,0.0474362894892693,-93.09375,-73.5498428344727,"Chat-IRES-Cre-neo",94.3828153610229,3.24909,-43.984375,3.2471,32.53125,55.6875,3.24661,-36.015625,33.91256,-70.7343788146973,3.17796042851529
"122",140.350912,132.812693715096,0.0285200737416744,-88.5625,-75.2428283691406,"Htr3a-Cre_NO152",86.5208361943563,10.0932683333333,-53.6979192097982,10.08838,17.4375,226.70832824707,10.0879066666667,-34.9479192097982,10.097475,-55.8229204813639,3.20696347572133
"130",152.78832,122.187457978725,0.0110582625493407,-99.59375,-75.73974609375,"Pvalb-IRES-Cre",101.08854230245,10.6196233333333,-62.2708346048991,10.6187833333333,17.84375,239.958333333333,10.6184116666667,-34.71875,10.6197033333333,-62.4583333333333,1.21147214174712
"135",148.943296,81.2499970197678,0.00915148854255676,-85.03125,-74.6396560668945,"Pvalb-IRES-Cre",90.0000038146973,16.60688,-61.2812538146973,16.60613,14.75,389.625,16.605785,-32.9687538146973,16.606875,-61.2812538146973,1.14400571400627
"141",159.685184,137.656286358833,0.0748733133077621,-92.28125,-76.3616561889648,"Htr3a-Cre_NO152",79.1562528610229,9.77657833333333,-56.3229192097982,9.77571166666667,6.97916714350383,218.875005086263,9.77534666666667,-31.3229179382324,9.77663833333333,-56.4270846048991,0.94011340034461
"144",443.305856,491.874992847443,0.0494608357548714,-94.46875,-58.3895721435547,"Sst-IRES-Cre",74.0750009536744,1.772655,-53.7812512715658,1.77125833333333,16.6875,18.75,1.77073333333333,-38.7604166666667,1.77773833333333,-54.0833333333333,1.57320120179035
"145",262.940592,197.968780994415,0.121957555413246,-100.90625,-72.2550735473633,"Pvalb-IRES-Cre",65.7291679382324,8.84465333333334,-54.1354166666667,8.843625,0.999999990065893,195.583333333333,8.84322166666667,-28.3750012715658,8.844685,-54.1875,0.97026042239838
"148",332.561728,217.187389731407,0.0512986890971661,-96.9375076293945,-72.9392852783203,"Vip-IRES-Cre",90.166670481364,3.64323333333333,-48.5729204813639,3.6411,34.75,65.5,3.64052,-40.0520846048991,3.64354,-48.7812525431315,2.72675643975816
"149",138.222464,90.4687494039536,0.0623507685959339,-89,-78.6321334838867,"Htr3a-Cre_NO152",102.525006103516,10.039045,-56.9375025431315,10.0352316666667,35.65625,225.374989827474,10.034915,-34.9895833333333,10.042925,-59.7604192097982,3.79808314674991
"150",338.230464,214.843794703484,0.0324125289916992,-88.3437576293945,-65.2329788208008,"Htr3a-Cre_NO152",93.4312545776368,4.59096,-52.0625038146973,4.58795166666667,27.9270846048991,89.1666641235352,4.58738666666667,-32.8750012715658,4.59320333333333,-53.0833346048991,2.49505567584291
"154",104.088008,56.7187517881393,0.0936134979128838,-90.4687576293945,-83.2276611328125,"Pvalb-IRES-Cre",84.8812520980835,19.1118633333333,-62.0312525431315,19.1110766666667,9.71875031789144,452.249979654948,19.110735,-38.4687525431315,19.1118983333333,-62.1354204813639,1.1876326833887
"157",202.380544,190.937533974648,0.131219401955605,-98.25,-76.5436096191406,"Chrna2-Cre_OE25",92.2968807220459,4.63536,-44.9270846048991,4.633,44.6666666666667,90.2916641235352,4.63253333333333,-37.5312538146973,4.6739,-55.7083371480306,3.99300178272562
"160",235.689568,189.531251788139,0.0383005104959011,-96.59375,-75.6874694824219,"Gad2-IRES-Cre",68.2937519073486,10.145285,-48.46875,10.14418,7.06250047683716,228.125,10.14368,-25.0625019073486,10.14537,-48.625,0.961897252244322
"162",160.333904,148.75003695488,0.129600584506989,-88.46875,-71.9916076660156,"Htr3a-Cre_NO152",93.3437553405762,6.69832333333333,-50.8333371480306,6.69680166666667,28.3437519073486,141.916661580404,6.69641333333333,-36.8229179382324,6.70035833333333,-51.2083371480306,2.87746479614209
"165",86.305232,72.1874982118607,0.0210853274911642,-83.7812576293945,-76.1771469116211,"Htr3a-Cre_NO152",95.2437553405762,14.490275,-52.3125038146973,14.48495,28.3958346048991,336.625,14.4845016666667,-34.7916666666667,14.4951933333333,-54.6770858764648,4.08968804304455
"171",191.084912,113.749966025352,0.0562722645699978,-100.71875,-79.1717681884766,"Pvalb-IRES-Cre",74.9062523841858,8.93861666666667,-54.1145846048991,8.93747166666667,9.40625063578288,197.958333333333,8.93704833333333,-30.0625006357829,8.9389,-54.3854179382324,1.33701295802008
"173",294.03296,192.455351352692,0.047018401324749,-96.28125,-75.0899429321289,"Htr3a-Cre_NO152",87.681254196167,4.47104666666667,-53.0937538146973,4.46743333333333,26.7604179382324,86.1666666666667,4.4669,-34.7708358764648,4.47865333333333,-57.2812538146973,4.22485123751265
"176",491.303328,249.218866229057,0.0663887560367584,-99.25,-72.1371765136719,"Vip-IRES-Cre",84.487504196167,2.79136,-50.9791679382324,2.78965333333333,31.1041673024495,44.25,2.78922,-35.7083346048991,2.79634666666667,-52.5000012715658,2.77332225985072
"185",254.424752,276.875048875809,0.166442587971687,-100.437507629395,-70.8718795776367,"Chrna2-Cre_OE25",100.070316314697,2.98673,-61.5312538146973,2.9851,41.0000019073486,49.1249980926514,2.98466,-43.3125038146973,2.98724,-61.8281269073486,2.83844648917923
"192",253.779808,153.28124165535,0.032016895711422,-88.2187576293945,-70.6198348999023,"Sst-IRES-Cre",99.9437530517578,5.22153333333333,-61.7812538146973,5.2207,37.3333358764648,105,5.22033333333333,-46.6041692097982,5.22156,-61.8125,1.75990990068659
"196",204.242384,121.874995529652,0.0165599696338177,-88.0312576293945,-73.5458374023438,"Pvalb-IRES-Cre",80.4921913146972,9.73396,-54.4843769073486,9.73326,12.5937509536743,217.8125,9.73294,-35.015625,9.73403,-54.5625038146973,1.29314377256342
"199",139.47488,213.125109672546,0.0492967180907726,-91.375,-67.7098922729492,"Chrna2-Cre_OE25",90.0375030517579,4.63894,-44.4791666666667,4.63495,37.6562512715658,90.3333333333333,4.634375,-34.3541679382324,4.668195,-54.4270858764648,3.49542499273956
"201",389.1112,271.406292915344,0.06634571403265,-101.281257629395,-69.2375411987305,"Vip-IRES-Cre",76.4479207992553,3.24691333333333,-46.5104204813639,3.24442,31.6354185740153,55.5833333333333,3.24400666666667,-33.8958358764648,3.25724666666667,-49.8541679382324,4.11628063248439
"202",93.91992,52.3437894880772,0.0390145964920521,-81.8437576293945,-75.7674789428711,"Pvalb-IRES-Cre",79.9531291325887,15.1403283333333,-60.7812538146973,15.13984,19.4583346048991,353,15.1396,-34.9895833333333,15.1403516666667,-60.9166704813639,1.10471645021618
"204",217.243296,194.37500834465,0.0493998341262341,-90.125,-68.5249328613281,"Nkx2-1-CreERT2",94.4062538146972,4.45879333333333,-50.7291666666667,4.45732,35.0104192097982,85.9166641235352,4.45692666666667,-31.5,4.4661,-54.9895858764648,2.38481206112184
"207",178.153936,150.625005364418,0.0208734646439552,-90.1562576293945,-73.6513824462891,"Nkx2-1-CreERT2",78.3437550067902,6.24154,-51.1979192097982,6.23770666666667,16.5104166666667,130.416666666667,6.23717333333333,-35.4687512715658,6.24780666666667,-54.8333371480306,3.08689870657113
"212",253.627056,202.72321999073,0.0289534665644169,-92.9375076293945,-71.8275680541992,"Nkx2-1-CreERT2",80.4187530517578,5.06384666666667,-52.7916704813639,5.05978666666667,21.7708339691162,100.958333333333,5.05931333333333,-30.708335240682,5.07193333333333,-57.7500025431315,2.73866042436147
"213",205.585184,165.80356657505,0.114712543785572,-90.9062576293945,-73.2946472167969,"Sst-IRES-Cre",98.8625045776368,6.425225,-56.5104204813639,6.42386833333333,26.8854179382324,135.083330790202,6.423395,-24.7812512715658,6.42539833333333,-56.6875025431315,1.36657875756058
"214",81.538488,58.593787252903,0.054281510412693,-92.1250076293945,-77.0154571533203,"Pvalb-IRES-Cre",75.5125057220459,22.7258783333333,-57.6250025431315,22.7249833333333,12.0729173024495,542.625,22.724655,-32.5625012715658,22.7260116666667,-57.8229192097982,1.24531958079888
"220",172.50256,144.999846816063,0.103174313902855,-94.6875076293945,-67.8475646972656,"Pvalb-IRES-Cre",92.7031297683715,7.79039833333333,-55.8750025431315,7.78959,28.8750012715658,169.25,7.789245,-30.2500006357829,7.79040833333333,-55.9479192097982,1.37074527449518
"222",172.376336,118.906289339066,0.0781399831175804,-77.7187576293945,-63.9528121948242,"Htr3a-Cre_NO152",77.0312519073486,4.271255,-53.2187538146973,4.267035,31.5,81.125,4.26659,-38.28125,4.28027,-59.4375038146973,2.9690248500699
"223",191.82192,138.794541358948,0.0800789520144463,-101.125,-75.6486053466797,"Pvalb-IRES-Cre",87.7812519073487,10.9059033333333,-58.0937538146973,10.9050516666667,10.2500003178914,247.124994913737,10.9046816666667,-30.4791685740153,10.9059266666667,-58.1770846048991,1.05481921011328
"225",123.666592,93.3592766523361,0.0421907342970371,-84.09375,-75.7731857299805,"Pvalb-IRES-Cre",75.3177092870076,15.8707716666667,-56.3229166666667,15.8700666666667,9.48958333333333,371.25,15.86973,-32.2500006357829,15.8708083333333,-56.4062525431315,1.0870592944353
"228",97.848864,59.0626150369644,0.0487442165613174,-81.5,-73.6921920776367,"Htr3a-Cre_NO152",90.575004196167,16.308985,-56.7916704813639,16.30838,26.2500019073486,382.208333333333,16.3081033333333,-33.1354204813639,16.30904,-56.8854204813639,1.34099975017446
"230",267.645056,230.15633225441,0.27087190747261,-99.0625,-73.4133911132812,"Htr3a-Cre_NO152",95.3541717529297,3.63121333333333,-55.3958346048991,3.63023,32.7291692097982,65.25,3.629745,-41.9166704813639,3.63124833333333,-55.4791704813639,1.65593903082549
"232",167.413408,103.750072419643,0.0313009656965733,-90.1875076293945,-81.0082778930664,"Pvalb-IRES-Cre",76.1458341280619,14.1225525,-54.6875019073486,14.121235,3.484375,327.5,14.12075,-29.7968759536743,14.12267,-54.859375,1.09312576676993
"233",110.729696,67.9086819291115,0.0338015183806419,-93.71875,-76.3146133422852,"Pvalb-IRES-Cre",97.4375030517579,13.74519,-59.8958371480306,13.7445,27.9062512715658,318.125,13.744195,-32.59375,13.7452733333333,-60.0520858764648,1.22230936769154
"235",99.442536,67.3439055681229,0.0821302458643913,-90,-72.9205703735352,"Pvalb-IRES-Cre",81.3541700045268,14.65401,-57.1666692097982,14.6534,23.0625012715658,340.875,14.653135,-33.9166679382324,14.6540533333333,-57.2500025431315,1.26558679392397
"237",164.403856,218.281373381615,0.065653033554554,-91.34375,-67.5254211425781,"Sst-IRES-Cre",78.8250034332276,4.45271333333333,-55.7812525431315,4.45146666666667,27.9791685740153,85.7916641235352,4.45102,-33.9375012715658,4.45274333333333,-55.8645846048991,1.7462005482631
"241",288.786368,235.625118017197,0.0235721748322248,-93.09375,-69.0758590698242,"Nkx2-1-CreERT2",82.4843797683716,4.34460666666667,-56.0208358764648,4.34332666666667,9.76041698455811,83.0416666666667,4.34292,-34.7291692097982,4.34502,-56.2812525431315,1.43839122823446
"246",219.979024,186.718642711639,0.127457618713379,-96.9375076293945,-76.3768463134766,"Sst-IRES-Cre",87.2890663146972,5.33528166666667,-60.6666704813639,5.33430333333333,26.3437512715658,107.833330790202,5.33394833333333,-44.9791692097982,5.335415,-60.8437512715658,1.78926610088576
"248",144.4344,93.5937836766243,0.0973421111702919,-83.59375,-72.8668365478516,"Gad2-IRES-Cre",98.2500007629395,12.2612966666667,-62.7187525431315,12.26076,25.4895846048991,281,12.260485,-33.8229179382324,12.2613366666667,-62.8333371480306,1.12846119733216
"249",237.59472,178.593754768372,0.0985553190112114,-99.3125076293945,-71.8591003417969,"Pvalb-IRES-Cre",79.7375022888184,10.8416166666667,-51.28125,10.8403983333333,-6.82291728258133,245.499994913737,10.8399166666667,-27.0937519073486,10.8416333333333,-51.3020858764648,0.777141833019018
"252",209.048544,210.781291127205,0.039730466902256,-91.96875,-68.2111053466797,"Sst-IRES-Cre",92.4375030517579,3.85574,-56.7916692097982,3.85493333333333,32.8229179382324,70.875,3.85461,-41.5104204813639,3.855775,-56.8750025431315,1.74698600329506
"253",419.959072,273.906260728836,0.127086594700813,-99.09375,-72.972297668457,"Htr3a-Cre_NO152",89.4625022888184,3.72733333333333,-54.2916679382324,3.72512666666667,29.8750012715658,67.5833333333333,3.72465333333333,-31.7708333333333,3.72858333333333,-55.0000012715658,2.70062601696708
"261",213.415776,164.687544107437,0.00490313256159425,-87.5625,-68.8334197998047,"Htr3a-Cre_NO152",67.2968777020773,7.11974166666667,-46.7812512715658,7.11534833333333,12.8854169845581,152.374994913737,7.11478666666667,-30.8229179382324,7.12435833333333,-48.21875,2.9573749788759
"262",200.542144,115.468747913837,0.0158823784440756,-89.625,-77.1948776245117,"Chrna2-Cre_OE25",80.8385454813639,7.04828666666667,-51.1354192097982,7.04527333333333,31.645835240682,150.625,7.04476666666667,-35.9479192097982,7.05559333333333,-55.1041692097982,3.8057969279817
"268",200.424128,162.950426340103,0.037679847329855,-100.156257629395,-69.2242050170898,"Pvalb-IRES-Cre",66.1328154802322,8.02693833333333,-57.9270871480306,8.02624,8.62500063578288,175.125,8.02595,-33.9375025431315,8.02697333333333,-58.0208346048991,1.10340018461691
"269",147.043344,106.40636831522,0.0415983870625496,-95.8437576293945,-79.3194808959961,"Pvalb-IRES-Cre",83.3046917915345,10.706405,-58.6041679382324,10.705705,21.6041679382324,242.124994913737,10.7054116666667,-34.1875012715658,10.7064683333333,-58.7291692097982,1.25661200501408
"271",278.638656,197.656199336052,0.0450279004871845,-82.3750076293945,-59.7773742675781,"Chrna2-Cre_OE25",88.2500045776368,2.02249333333333,-49.2916692097982,2.02053333333333,39.5208333333333,24.9999993642171,2.02002,-40.6666666666667,2.05300666666667,-57.1562525431315,2.92538093775308
"274",272.902624,219.218745827675,0.0653395056724548,-97.15625,-74.1142349243164,"Sst-IRES-Cre",95.7625015258789,6.20762666666667,-61.0729179382324,6.20605833333333,15.59375,129.624997456868,6.205535,-27.40625,6.20785333333333,-61.3020871480306,1.14006867345368
"280",131.534336,91.7188674211502,0.0427062027156353,-83.7187576293945,-72.9193115234375,"Pvalb-IRES-Cre",86.9062534332275,17.5103125,-58.0468769073486,17.5096275,3.82812523841858,412.25,17.5093075,-31.2187509536743,17.5104,-58.1250019073486,0.888078852064152
"281",225.293296,231.562420725822,0.0236294623464346,-96.0312576293945,-71.2807159423828,"Vip-IRES-Cre",98.1125030517579,3.90152666666667,-52.9583371480306,3.90035333333333,43.3020846048991,72.0833333333333,3.89995333333333,-43.0208358764648,3.90155333333333,-53.0729192097982,3.03679150966278
"282",213.602096,242.1875,0.19055113196373,-98.96875,-72.1569137573242,"Sst-IRES-Cre",64.7656292915345,4.15844666666667,-50.5208358764648,4.15730666666667,7.32291698455811,78.4583333333333,4.15696666666667,-33.8333346048991,4.16836,-51.5208371480306,1.5403400673035
"285",342.28384,344.68749165535,0.0512895882129669,-100.5,-62.6112518310547,"Htr3a-Cre_NO152",73.9531283378601,2.75953666666667,-48.9895858764648,2.75777666666667,15.3750006357829,43.4583320617676,2.75728,-34.6770846048991,2.76794166666667,-50.8854192097982,2.0362405380782
"286",337.48256,230.468943715096,0.0809965506196022,-98.4062576293945,-71.961540222168,"Chrna2-Cre_OE25",93.7083396911621,2.50259,-60.4843788146973,2.50162,33.7031288146973,36.9999990463257,2.50117,-51.1562519073486,2.50268,-60.5937519073486,1.99197047395634
"291",352.433632,150.000005960464,0.254479914903641,-101.968757629395,-69.6007308959961,"Sst-IRES-Cre",94.0703191757202,3.01721166666667,-58.7812525431315,3.01646166666667,34.4270833333333,49.875,3.01611666666667,-36,3.01724833333333,-58.9166704813639,1.32181360746462
