"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"190",103.000992,90.156249702,0.176212117076,-82.7812576294,-71.9120330811,"Rbp4-Cre_KL100",10.4571882712,1.02523833333,-50.1093769073,1.02338916667,45.4114615122,1.09744416667,-72.505212148,1170,1.02303916667,-48.3177108765,1.09744416667,-72.505212148,4.05831911336
"191",99.909832,101.562425494,0.0296605732292,-85.90625,-74.6041259766,"Ctgf-T2A-dgCre",11.1482720178,1.026608,-54.2937515259,1.023364,38.2375030518,1.57106,-75.0062530518,840,1.022944,-48.2250030518,1.57106,-75.0062530518,4.52125691308
"193",147.077856,151.093795896,0.0657483264804,-90.125,-73.7776107788,"Scnn1a-Tg3-Cre",9.98820143705,1.02448,-46.8312515259,1.023342,37.8125015259,1.236623,-75.2937545776,1030,1.02305,-45.3937522888,1.236623,-75.2937545776,3.30677019094
"194",169.12584,151.56288445,0.112007252872,-97.6875076294,-78.5200042725,"Ntsr1-Cre_GN220",22.1675656846,1.026102,-54.7187522888,1.023705,16.7187507629,1.121797,-79.4312530518,720,1.023187,-41.4875030518,1.121797,-79.4312530518,2.32978840263
"195",181.7188,150.468751788,0.0196336731315,-92.5625076294,-75.2881317139,"Cux2-CreERT2",11.88001188,1.025128,-53.6500030518,1.023336,44.9875015259,1.636216,-75.5937530518,680,1.023016,-47.2750038147,1.636216,-75.5937530518,4.25483504934
"200",136.608464,118.750378489,0.072341106832,-89.8750076294,-71.7197418213,"Rorb-IRES2-Cre",5.94802614752,1.027125,-49.3541679382,1.02358833333,28.7708346049,1.495545,-72.0520858765,393.333333333,1.02308833333,-40.9270858765,1.495545,-72.0520858765,4.17656173182
"203",151.260384,136.250004172,0.00724146328866,-84.0625,-69.0978317261,"Scnn1a-Tg2-Cre",10.667349377,1.02561,-48.648440361,1.02344,40.882815361,1.89403,-68.695318222,999.999938965,1.02303,-44.2578134537,1.89403,-68.695318222,4.29124756572
"206",374.962944,356.249958277,0.0765689760447,-98.0625076294,-59.0870780945,"Rbp4-Cre_KL100",11.1366015547,1.02554,-49.2343769073,1.023435,33.0000009537,1.07468,-59.890627861,340,1.02303,-40.0625009537,1.07468,-59.8906288147,3.41301858326
"208",180.567264,181.718721986,0.0295567587018,-100.562507629,-80.5188903809,"Scnn1a-Tg3-Cre",16.7167239679,1.024975,-51.9250030518,1.023232,37.6125022888,1.61256,-82.0750015259,910.000061035,1.022883,-46.2562522888,1.61256,-82.0750015259,3.87170453891
"210",459.790784,263.593733311,0.0127053381875,-101.250007629,-77.0944213867,"Scnn1a-Tg3-Cre",19.8050304777,1.024896,-54.6250015259,1.023352,43.9187507629,1.80228,-78.2437515259,489.999969482,1.022988,-45.0062522888,1.80228,-78.2437515259,4.01986657942
"215",204.612864,182.031333447,0.0285894460976,-93.5,-74.3327331543,"Cux2-CreERT2",6.83772372177,1.024465,-46.5000030518,1.023173,43.0500022888,1.801213,-75.1250045776,820,1.022869,-46.8187530518,1.801213,-75.1250045776,3.74238864489
"219",152.558272,251.874893904,0.15363804996,-97.7812576294,-69.9340515137,"Rbp4-Cre_KL100",17.5662990553,1.02492416667,-56.119793574,1.02345083333,36.1458358765,1.73394416667,-71.0572942098,61.6666666667,1.02301166667,-51.1614608765,1.73394416667,-71.0572942098,2.45313286739
