"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"152",227.508608,197.343707084656,0.0717815309762955,-91.03125,-72.4250030517578,"Cux2-CreERT2",93.1197973887125,0.0614919915793786,92.6515,0.202884624368339,0.055515,10.7931334085255,1.45727,-42.9375038146973,1.45519,40.6250038146973,90,1.454805,-33.1875,1.48496,-54.15625,2.96768904852914
"155",151.449984,156.874880194664,0.0137283848598599,-83.4687576293945,-67.0353393554688,"Ctgf-T2A-dgCre",89.4791692097982,0.0268691568528916,68.485,0.191269851801531,0.0640000000000001,14.6017376067752,1.14864,-48.4687538146973,1.14488,38.375,110,1.14444,-42.7187538146973,1.15974,-53.0625038146973,6.09655607293524
"156",135.071536,150.312572717667,0.0128363044932485,-97.3750076293945,-82.9683837890625,"Rorb-IRES2-Cre",94.9687519073486,0.0233147925123534,72.1273076923077,0.178253437476391,0.0601750000000001,13.8643744234287,1.19066,-48.8437538146973,1.18838,39.9062538146973,110,1.18798,-36.28125,1.21617,-57.40625,3.13302037984184
"159",171.60632,190.937504172325,0.0479762889444828,-90.2812576293945,-71.7251586914062,"Rorb-IRES2-Cre",102.92187945048,0.0489789939637175,74.37875,0.242635658914728,0.0470250000000001,13.4447002672134,1.17219,-51.6562538146973,1.17017,46.5,50,1.16972,-43.40625,1.213115,-56.0625,3.89097900341029
"166",296.814144,241.406247019768,0.0152476401999593,-98.3750076293945,-78.1602478027344,"Rorb-IRES2-Cre",93.9609432220459,0.0368844851294716,65.8692307692308,0.233664021164021,0.06385,15.1815952353147,1.21072,-48.8750038146973,1.2088,46.3750038146973,50,1.208385,-41.09375,1.240675,-55.8750038146973,4.02763322204473
"167",116.338568,137.968748807907,0.0681690126657486,-95.15625,-79.8806610107422,"Rbp4-Cre_KL100",88.9312553405762,0.0386690158050281,105.96125,0.165981021062662,0.0797600000000001,9.43741226155788,1.15895,-47.0000038146973,1.15591,34.8125038146973,130,1.15548,-38.03125,1.19906,-54.9687538146973,4.19580585904792
"168",173.020224,158.125042915344,0.0363949500024319,-89.28125,-72.2956085205078,"Scnn1a-Tg2-Cre",98.6484413146972,0.0273849560215546,71.7215384615385,0.172544649825716,0.0621100000000001,13.9428130161522,1.158605,-41.5937538146973,1.15489,35.71875,90,1.15435,-32.46875,1.19447,-47.9375,4.1500095692424
"170",248.194624,214.531287550926,0.0620325468480587,-97.5937576293945,-74.4105987548828,"Rorb-IRES2-Cre",94.3500038146973,0.0361283234429808,76.46125,0.222500015576681,0.0438500000000002,13.0785201654433,1.177535,-54.5937538146973,1.175845,41.9062538146973,70,1.1754,-42.59375,1.2241,-59.6875038146973,2.70989768297704
"172",181.365824,180.468738079071,0.0440940260887146,-97.3437576293945,-79.6418533325195,"Ctgf-T2A-dgCre",105.168754577637,0.0225671905205739,58.9066666666667,0.256476938174681,0.05304,16.9760072430964,1.32106,-57.4375,1.31756,49.1562538146973,70,1.31714,-49.0000038146973,1.34992,-61.96875,6.01165480830182
"178",114.021752,127.812504768372,0.106968931853771,-88.3437576293945,-74.2105255126953,"Cux2-CreERT2",94.7125053405762,0.194776278318071,143.756666666667,0.0336691217576919,0.0739050000000001,6.95619913279383,1.28197,-46.1250038146973,1.27858,39.46875,150,1.27816,-38.4375,1.32517,-55.7187538146973,3.81240136904405
"179",111.783512,96.4062511920929,0.128462821245193,-87.3750076293945,-77.0904159545898,"Rorb-IRES2-Cre",96.1125045776367,0.0522637766144736,124.382142857143,0.095920831925704,0.0674600000000001,8.03973928274039,1.219805,-45.6875,1.217015,42.90625,200,1.216545,-36.75,1.27502,-55.8750038146973,3.5949752773824
"180",237.443072,210.000112652779,0.067415326833725,-96.8437576293945,-76.3125610351562,"Rorb-IRES2-Cre",90.9687538146973,0.0207115104576534,52.4866666666667,0.234375,0.0413000000000001,19.0524577670519,1.14872,-50.96875,1.14634,38.625,50,1.1459,-41.21875,1.1694,-56.9062538146973,4.73045641379441
"181",130.625632,156.875044107437,0.0385764725506306,-97,-80.403678894043,"Cux2-CreERT2",99.8906307220458,0.261085381152892,199.75,0.13297492320377,0.059995,5.00625782227785,1.232035,-52.09375,1.22902,45,110,1.22858,-44.1875,1.89333,-61.5,4.58670600203569
