"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"258",199.163616,128.78613174,0.103579640388,-86.5625076294,-74.2342147827,89.6328163147,"Excitatory",4.03784,-52.0937512716,4.03606666667,37.3750012716,75.375,4.03561333333,-43.3958346049,4.08946666667,-57.895837148,3.0341228205
"262",200.542144,115.468747914,0.0158823784441,-89.625,-77.1948776245,80.8385454814,"Inhibitory",7.04828666667,-51.1354192098,7.04527333333,31.6458352407,150.625,7.04476666667,-35.9479192098,7.05559333333,-55.1041692098,3.80579692798
"263",184.926912,196.874961257,0.0152577310801,-94.7187576294,-73.4410629272,97.9479192098,"Excitatory",2.663435,-50.96875,2.66092666667,44.3645858765,41,2.66052333333,-36.9479166667,2.68478666667,-56.28125,4.39985141343
"264",370.4088,201.87497139,0.0250958018005,-100.625007629,-77.4324569702,98.5625030518,"Excitatory",2.98922666667,-49.4687512716,2.98661,47.3541692098,49.1666666667,2.986245,-37.625,3.01825333333,-56.3541704814,5.11827208903
"265",187.116976,182.81237781,0.117170937359,-89.4687576294,-69.3327636719,88.3750030518,"Inhibitory",7.3686,-52.2395858765,7.36690666667,31.2291679382,158.666666667,7.36648,-37.2291679382,7.3722,-53.0000012716,2.62899549632
"266",300.17504,216.562509537,0.0540811754763,-91.875,-71.4015350342,98.6484413147,"Excitatory",2.93398666667,-52.6458358765,2.92958,42.4270858765,47.75,2.92908,-36.0104179382,2.95373333333,-58.6979204814,4.36189328755
"279",232.153328,422.031313181,0.0748344138265,-98.96875,-66.7581329346,75.1250026703,"Inhibitory",2.956155,-50.3333358765,2.95476833333,20.7708339691,48.375,2.95426333333,-38.3750025431,2.95621833333,-50.4062538147,1.94100062964
"281",225.293296,231.562420726,0.0236294623464,-96.0312576294,-71.2807159424,98.1125030518,"Inhibitory",3.90152666667,-52.958337148,3.90035333333,43.3020846049,72.0833333333,3.89995333333,-43.0208358765,3.90155333333,-53.0729192098,3.03679150966
"284",116.738032,182.968750596,0.0105836531147,-95.0312576294,-76.0704803467,78.2291717529,"Excitatory",4.52297333333,-44.5104166667,4.52128333333,42.5520846049,87.5416666667,4.52090333333,-34.4375025431,4.556065,-52.2708358765,3.56738393853
"288",239.244688,174.375116825,0.0130160385743,-85.0312576294,-65.881477356,72.8242218494,"Inhibitory",7.03987333333,-53.0937512716,7.03884666667,15.1666676203,150.458333333,7.03841333333,-30.1770846049,7.0402,-53.4791679382,1.26325860379
