"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"215",204.612864,182.031333446503,0.0285894460976124,-93.5,-74.3327331542969,"Cux2-CreERT2",89.5500053405762,4.24120666666667,-44.5312525431315,4.23944166666667,41.0937512715658,80.4583333333333,4.23906166666667,-32.8333346048991,4.26410166666667,-51.9583358764648,2.98979930013861
"219",152.558272,251.874893903732,0.153638049960136,-97.7812576293945,-69.9340515136719,"Rbp4-Cre_KL100",92.2656294504801,3.12020166666667,-51.0104192097982,3.11860166666667,39.3541679382324,52.4583320617676,3.11809666666667,-42.5000038146973,3.15284666666667,-54.2812512715658,2.48287240918637
"224",186.281984,188.593819737434,0.0488955341279507,-94.9375,-74.1413345336914,"Rorb-IRES2-Cre",92.4437538146973,3.70585333333333,-51.8437525431315,3.70211333333333,37.8750012715658,67.0416666666667,3.70166,-35.9166666666667,3.72522666666667,-58.6562525431315,3.80291122902511
"231",158.781888,175.000041723251,0.03618074208498,-95.4062576293945,-78.551643371582,"Rorb-IRES2-Cre",96.0937553405762,4.6414,-50.4166679382324,4.63951833333333,49.4375038146973,90.5,4.63916666666667,-39.2395846048991,4.67083333333333,-57.8854166666667,4.37635019764487
"236",334.118944,278.794765472412,0.0985685810446739,-102.5,-74.1093292236328,"Ntsr1-Cre_GN220",103.512502288818,3.30201833333333,-51.6041704813639,3.29834,46.4062525431315,56.9166666666667,3.29779666666667,-34.4895846048991,3.32578833333333,-58.0520858764648,3.88030804594791
"239",354.501888,248.571425676346,0.103792816400528,-99.3437576293945,-75.8354644775391,"Scnn1a-Tg2-Cre",88.3250022888184,3.161575,-51.2812538146973,3.15939833333333,35.1250012715658,53.5000012715658,3.158965,-35.2083358764648,3.19225666666667,-60.6666679382324,3.01208642138553
"240",215.525728,180.468752980232,0.16572593152523,-98.1875076293945,-77.5682601928711,"Rbp4-Cre_KL100",83.0937538146972,5.02867,-47.1250012715658,5.026265,42.5729166666667,100.125,5.02579666666667,-37.2604192097982,5.06657,-57.5208371480306,3.18176261433339
"244",94.737656,160.312458872795,0.0773743540048599,-91.0000076293945,-74.1493377685547,"Rorb-IRES2-Cre",97.9062561035157,4.87002,-47.4062525431315,4.86752666666667,45.5416692097982,96.1666666666667,4.86709333333333,-36.3541679382324,4.91137333333333,-54.4270858764648,4.49389023800007
"245",205.579328,214.84375,0.0380297340452671,-94.625,-62.6768341064453,"Scnn1a-Tg3-Cre",85.8437530517579,1.78996666666667,-48.9270858764648,1.78655,38.5520833333333,19.1666666666667,1.78609,-34.4479166666667,1.830165,-59.6562512715658,3.80049897868256
"247",105.3152,155.781254172325,0.0507714226841927,-99.0625,-81.7539978027344,"Nr5a1-Cre",83.5416685740153,5.47531,-49.0729192097982,5.47343833333333,33.9791666666667,111.333333333333,5.473,-36.7083333333333,5.49510666666667,-53.9583346048991,2.77346932764719
"250",215.196992,254.062503576279,0.289511501789093,-95.28125,-77.1006546020508,"Rbp4-Cre_KL100",83.8203153610229,3.78902,-52.5729192097982,3.78628,30.5104173024495,69.125,3.78579833333333,-40.5833346048991,3.81499,-59.5833346048991,2.90896092118328
"251",134.68496,146.09383046627,0.0842964947223663,-89.21875,-73.2192153930664,"Ntsr1-Cre_GN220",77.5812545776367,8.14928,-44.1666692097982,8.14774666666667,33.1145839691162,178.208333333333,8.14725333333333,-30.9687525431315,8.171265,-48.0416692097982,2.14182345791176
"256",159.277248,268.359363079071,0.0222496464848518,-96.9375076293945,-66.9598922729492,"Nr5a1-Cre",92.2968788146972,1.97948,-54.7812519073486,1.97783,42.5937538146973,23.9375,1.9773975,-42.875,2.016675,-60.0156288146973,2.98105657598326
"258",199.163616,128.786131739616,0.103579640388489,-86.5625076293945,-74.2342147827148,"Rbp4-Cre_KL100",89.6328163146972,4.03784,-52.0937512715658,4.03606666666667,37.3750012715658,75.375,4.03561333333333,-43.3958346048991,4.08946666666667,-57.8958371480306,3.03412282049745
"259",201.29512,82.6562866568565,0.0443052984774113,-85.28125,-76.6352844238281,"Ndnf-IRES2-dgCre",89.848962465922,8.15948666666667,-51.9895858764648,8.15638,28.8229179382324,178.333333333333,8.15595333333333,-36.6562512715658,8.16589333333333,-54.7500012715658,4.13727140020726
"260",121.16748,115.468673408031,0.122788280248642,-90.3125,-75.919319152832,"Ntsr1-Cre_GN220",96.7312530517578,8.06260833333334,-47.2187525431315,8.06080666666667,42.8229179382324,176,8.06035666666667,-31.927085240682,8.08407833333333,-51.2291679382324,2.5102833191973
"263",184.926912,196.874961256981,0.0152577310800552,-94.7187576293945,-73.4410629272461,"Rorb-IRES2-Cre",97.9479192097982,2.663435,-50.96875,2.66092666666667,44.3645858764648,41,2.66052333333333,-36.9479166666667,2.68478666666667,-56.28125,4.39985141343124
"264",370.4088,201.874971389771,0.0250958018004894,-100.625007629395,-77.4324569702148,"Rorb-IRES2-Cre",98.5625030517578,2.98922666666667,-49.4687512715658,2.98661,47.3541692097982,49.1666666666667,2.986245,-37.625,3.01825333333333,-56.3541704813639,5.11827208902667
"265",187.116976,182.812377810478,0.117170937359333,-89.4687576293945,-69.332763671875,"Ndnf-IRES2-dgCre",88.3750030517579,7.3686,-52.2395858764648,7.36690666666667,31.2291679382324,158.666666666667,7.36648,-37.2291679382324,7.3722,-53.0000012715658,2.62899549631702
