"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"266",300.17504,216.562509537,0.0540811754763,-91.875,-71.4015350342,98.6484413147,"Excitatory",0.0144138953618,61.5,0.214845275827,0.03966,16.2601626016,1.1034,-50.34375,1.0995,40.6562538147,110,1.09902,-36.5625038147,1.11356,-54.875,4.24038494249
"279",232.153328,422.031313181,0.0748344138265,-98.96875,-66.7581329346,75.1250026703,"Inhibitory",0.0287926829891,45.1392857143,0.480027173913,0.03709,22.1536513965,1.14404,-52.40625,1.142755,15.1250009537,50,1.142305,-39.4375038147,1.14406,-52.4687538147,1.80530732554
"281",225.293296,231.562420726,0.0236294623464,-96.0312576294,-71.2807159424,98.1125030518,"Inhibitory",0.0496941836972,44.0027272727,0.311997012805,0.02326,22.7258640993,1.21438,-56.875,1.21322,40.4375,59.9999961853,1.21284,-47.0937538147,1.69132,-57.0937538147,2.99417042737
"284",116.738032,182.968750596,0.0105836531147,-95.0312576294,-76.0704803467,78.2291717529,"Excitatory",0.0200246041489,77.6227272727,0.275,0.078965,12.8828248521,1.330675,-40.90625,1.32797,23.25,90,1.32749,-32.0625,1.37091,-51.28125,2.93029720711
"288",239.244688,174.375116825,0.0130160385743,-85.0312576294,-65.881477356,72.8242218494,"Inhibitory",-7.72783694761e-05,10.1684536082,1.25743980703,0.00494,98.3433704402,1.02834,-56.625,1.0274,16.5625019073,160,1.02702,-45.8437538147,1.02842,-56.6875038147,1.50806366645
"294",168.499824,219.999998808,0.112370699644,-96.1875,-75.9695968628,87.7083346049,"Excitatory",0.00683330501294,93.3938888889,0.172619047619,0.089995,10.707338691,1.25013,-49.0625,1.2467,33.625,70,1.24616,-34.5,1.274825,-54.9375,3.29829897803
"299",228.0352,263.437449932,0.0362643152475,-97.9062576294,-73.1930770874,84.3625026703,"Excitatory",0.0649189348589,91.3371428571,0.186301381769,0.030765,10.9484484484,1.080395,-47.8125038147,1.078715,23.1562519073,90,1.078225,-33.59375,1.08042,-47.9062538147,2.39621090667
"304",233.527488,247.209787369,0.130555033684,-102.65625,-75.7673873901,91.8697967529,"Inhibitory",0.389809018147,126.19,0.147222222222,0.0499,7.92455820588,1.16698,-45.9062538147,1.16416,38.03125,90,1.1636,-33.8125,1.21302,-54.9375038147,2.97045489831
"310",194.35896,160.044744611,0.0414860658348,-97.625,-80.5922088623,92.421880722,"Excitatory",0.0714051949104,118.105,0.0890624996088,0.075645,8.46704203886,1.22873,-46.03125,1.22496,37,90,1.224445,-32.375,1.279525,-55.4062538147,3.80076772997
"323",126.105232,108.593635261,0.155113935471,-86.4687576294,-75.1248931885,91.0703163147,"Excitatory",0.00848211075351,71.6784615385,0.170570870384,0.05194,13.9511922904,1.18754,-48.4687538147,1.18554,31.34375,140,1.18504,-42.4687538147,1.24128,-57.5625038147,3.12803712498
