"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"88",160.389952,186.875000596,0.0202918145806,-95.6875,-75.2422332764,87.9140644073,"Excitatory",0.110505778976,90.435,0.12183908046,0.05537,11.0576657268,1.19673,-47.9375,1.19386,35.90625,90,1.19338,-33.5625,1.22511,-54.40625,3.14235662422
"89",116.282496,109.218865633,0.0487773641944,-82.3437576294,-69.3731918335,97.1354192098,"Excitatory",0.227778150963,72.46,0.0696428441264,0.024765,13.8007176373,1.10916,-50.2812538147,1.107395,41.1250038147,170,1.10697,-39.1250038147,1.129015,-53.84375,3.2390660332
"90",81.808176,82.5000405312,0.0312513895333,-86.0625076294,-69.6435470581,74.0104211171,"Inhibitory",0.00309000052684,14.2991304348,0.385887210436,0.008155,69.9343225493,1.03317,-54.46875,1.032375,16.6875019073,390,1.03208,-34.6875,1.033275,-54.6875038147,1.40031676764
"92",105.004096,106.25000298,0.0707838535309,-85.4375076294,-73.8230819702,86.1500019073,"Inhibitory",0.00430307808238,76.96625,0.120964568385,0.031065,12.9927078427,1.12592,-58.0937538147,1.120345,17,160,1.11998,-34.875,1.130915,-60.5937538147,3.34104255613
"93",182.719216,233.281329274,0.118305526674,-94.2812576294,-73.0314865112,94.2437545776,"Excitatory",0.075261353736,109.455,0.159665089188,0.064345,9.13617468366,1.202305,-46.0625038147,1.199685,46.03125,50,1.199225,-37.40625,1.275735,-55.6875038147,3.6236248733
"95",124.2884,121.562540531,0.192191585898,-84.34375,-70.8589324951,100.725003052,"Excitatory",0.0543448401758,77.4791666667,0.173876419927,0.048245,12.9066953482,1.17568,-46.5625038147,1.17384,44.1875,120.000007629,1.173435,-43,1.226765,-57.0000038147,3.7168961468
"96",137.701248,85.9374776483,0.108218982816,-78.21875,-70.4233016968,93.2656294505,"Excitatory",0.00837115840464,138.005,0.167996124449,0.05319,7.24611427122,1.107815,-50.34375,1.10579,37.7812538147,130,1.10539,-42.03125,1.139105,-58.21875,3.55809651982
"97",197.458272,148.437619209,0.0588746517897,-95.5000076294,-78.7241210938,89.7916704814,"Excitatory",0.0201171852255,65.7785714286,0.189066190314,0.05602,15.2025192746,1.55956,-52.6562538147,1.55656,37.0625038147,59.9999961853,1.55598,-41.0312538147,1.62666,-62.375,3.68525685395
"98",188.39744,248.125046492,0.178474470973,-99.8437576294,-72.4742507935,91.1937538147,"Excitatory",0.59575851654,293.97,0.203861264416,0.02812,3.40170765724,1.0839,-46.6875038147,1.08137,37.25,90,1.080745,-37,1.093475,-48.4687538147,2.75426103202
"99",272.356064,195.937529206,0.0292322263122,-100.8125,-78.8551330566,94.2604173024,"Excitatory",0.0187310267332,49.4557894737,0.245974814527,0.03755,20.2200796033,1.419255,-54.3125,1.417325,39.625,50,1.41683,-41.5000038147,1.460715,-61.1875038147,3.34823501509
"100",191.749056,134.843826294,0.0294129494578,-88.5312576294,-72.8857345581,84.5437541962,"Excitatory",0.00843448985921,36.0992592593,0.480000012677,0.01428,27.7013994337,1.04764,-47.4375038147,1.04602,25,190,1.04564,-31.5937519073,1.04916,-48.0625038147,2.7806876741
"101",148.17216,154.218822718,0.174613907933,-83.53125,-66.1993484497,87.3500061035,"Excitatory",0.186436397421,133.743333333,0.118261920504,0.04158,7.47700819979,1.116105,-42.0937538147,1.11444,37.8125,70,1.114035,-40.1562538147,1.116235,-42.28125,3.34548206295
"106",107.266272,91.2500023842,0.0420052446425,-88.5,-78.7921066284,83.3515663147,"Excitatory",0.0152264710262,85.318,0.159429313503,0.06217,11.7208560913,1.21119,-43.1250038147,1.207475,35.6875038147,209.999984741,1.207025,-39.71875,1.252915,-52.5312538147,3.9278155439
"107",282.708064,215.000107884,0.068071834743,-96.5,-72.8924713135,94.5125038147,"Excitatory",0.0202565351683,53.3344444444,0.227808988764,0.0383,18.7496093831,1.28144,-49.6562538147,1.27822,38.3125038147,40,1.27778,-40.53125,1.31686,-57.9375038147,4.59012616183
"108",197.70776,183.750033379,0.0408375635743,-98.96875,-78.2534942627,78.6484379768,"Excitatory",0.0506358445445,94.6985,0.194509345794,0.03979,10.5598293532,1.11824,-46.46875,1.115335,35.4375038147,70,1.11488,-36.7187538147,1.14744,-56.8125038147,3.79673689847
"109",211.051296,211.874991655,0.259266614914,-94.9062576294,-70.3972854614,91.2239602407,"Inhibitory",0.0306957107006,71.0076923077,0.300697674419,0.036845,14.0829812588,1.14794,-50.71875,1.14686,36.59375,90,1.14651,-42.4687538147,1.17504,-54.15625,2.20564036428
"110",130.90852,101.250037551,0.017625246197,-86.2812576294,-75.108543396,80.2083350817,"Inhibitory",-0.00230963312777,24.285,1.05921792844,0.006695,41.1776816965,1.029815,-59.90625,1.02886,-1,310,1.028585,-39.5,1.029835,-60.0000038147,1.54677352432
"113",110.029904,99.06257689,0.0279425401241,-86.1562576294,-75.1433410645,89.6041717529,"Excitatory",0.0278465493189,151.652,0.10744520285,0.08578,6.59404425923,1.2812,-49.4062538147,1.27704,40.03125,130,1.27648,-39.7500038147,1.327,-57.59375,4.06153700281
"114",117.547536,150.468826294,0.0630087703466,-90.3125,-74.7002639771,84.312505722,"Excitatory",0.0246543952305,73.405,0.173333345317,0.07042,13.6230502009,1.42986,-50.71875,1.42574,35.34375,110,1.42524,-43.9062538147,1.46778,-58.4062538147,4.76141683234
"115",112.069712,58.2812875509,0.0498790591955,-70.90625,-63.5755844116,97.78125,"Excitatory",0.288858288978,147.79,0.162138728324,0.01549,6.76635766967,1.051765,-49.1875,1.046835,33,190,1.046235,-40.34375,1.057575,-50.875,5.26116617726
"116",184.10248,189.107134938,0.0259323790669,-96,-77.3416595459,85.9375022888,"Excitatory",0.0127354027722,46.165,0.284980613222,0.05064,21.6614318206,1.22632,-48.5,1.22451,31.6875019073,59.9999961853,1.22404,-39.4375038147,1.263295,-55.15625,2.93783926901
"117",220.36152,181.874960661,0.124726444483,-100.53125,-79.635635376,67.4375025431,"Inhibitory",0.00312046281185,30.7588333333,0.41309525745,0.048925,32.510986004,1.155535,-58.15625,1.1539,0.84375,130,1.1535,-36.46875,1.15704,-58.6875,1.66391321202
"118",199.901376,210.624992847,0.283523201942,-91.1875,-68.5026245117,91.7937507629,"Excitatory",0.0145937568566,63.3460714286,0.182361658375,0.06211,15.7862986204,1.502145,-48.96875,1.49903,36.0625,59.9999961853,1.4984,-38.5625038147,1.549615,-54.71875,3.32915240764
"120",343.51312,174.374997616,0.0474362894893,-93.09375,-73.5498428345,94.382815361,"Inhibitory",0.274982113046,41.93,0.0192418887112,0.02564,23.8492725972,1.23458,-44.3750038147,1.23252,32.7500038147,50,1.23206,-37.0312538147,1.33142,-51.8750038147,3.36277863982
"123",202.347344,212.031289935,0.0468316674232,-97.84375,-73.9191589355,84.6666730245,"Excitatory",0.0180185395816,46.556,0.264264976307,0.035175,21.4795085488,1.23072,-47.5937538147,1.2286,38.4687538147,70,1.2282,-36.0937538147,1.25381,-55.4687538147,3.09871297335
"125",153.991008,250.468790531,0.154492259026,-89.28125,-66.1167221069,103.156253815,"Excitatory",0.0739083082789,84.3431818182,0.122235031175,0.03987,11.8563229231,1.145775,-44.8125,1.143875,47.125,80,1.143395,-35.3125,1.19079,-50.25,2.92694392633
"126",147.576528,160.000115633,0.0200274847448,-91.96875,-77.0050354004,82.4500045776,"Excitatory",0.0795338248995,110.256,0.112499989782,0.058305,9.06980118996,1.123885,-46.4375,1.119275,24.53125,209.999984741,1.118755,-33.6250038147,1.140605,-51.7812538147,4.15566216659
"129",146.92272,103.90625149,0.0919351428747,-84.6875,-72.3729629517,78.8437523842,"Excitatory",0.00275687376869,12.5740384615,0.824576145875,0.00759,79.5289439474,1.029555,-60.5,1.02866,13.03125,249.999984741,1.02832,-42.09375,1.02959,-60.53125,1.55732838004
"130",152.78832,122.187457979,0.0110582625493,-99.59375,-75.7397460938,101.088542302,"Inhibitory",-0.00123232957424,329.985,1.47443174632,0.004995,3.03044077761,1.028535,-68.5625,1.02785,27.28125,249.999984741,1.027515,-48.1250038147,1.02855,-68.65625,1.31631808573
"131",141.152544,136.718794703,0.0877228975296,-75.9687576294,-61.491153717,99.7187561035,"Excitatory",0.0233020464716,56.7364705882,0.186829278533,0.029705,17.625347323,1.15678,-47.2812538147,1.154755,46.03125,70,1.15435,-37.3750038147,1.18777,-53.7812538147,3.53909845229
"132",159.014672,180.625006557,0.0429490320385,-100.968757629,-78.7545089722,72.2000022888,"Excitatory",0.0229875044412,43.2695454545,0.27609375,0.03684,23.1109430315,1.249415,-48.8750038147,1.247485,20.2812519073,50,1.24701,-35.65625,1.349965,-58.0937538147,2.29730040649
"133",155.591856,92.3437848687,0.054768987,-84.78125,-74.0444335938,86.7437534332,"Inhibitory",0.00591471569951,15.7613541667,0.985833333333,0.009245,63.4463250699,1.034245,-60.59375,1.033355,13.25,270,1.03303,-37.5937538147,1.03427,-60.75,1.44779023654
