specimen_id,adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vrest,transgenic_line,binary_neuron,tau,layer_full,acronym,height_short,height_long,height_ramp
488420599,0.0423226332,83.7481818182,0.1900442562,186.21,4.4107816667,5.1316667,-44.28125,-42.7500038147,-50.9895846049,0.054805,182.2,4.4089666667,3.3966667,18.78125,32.5104179382,21.3697926203,187.343835831,0.0894831419,90.0,110.208333333,758.333384196,181.635,4.4084683333,2.9425,-36.46875,-34.0520833333,-41.8593775431,231.33,4.4494116667,513.8708333,-55.7812538147,-53.239587148,-79.255212148,2.6789959347,2.7594340109,2.6773210472,-78.4394836426,Rbp4-Cre_KL100,Excitatory,20.6980678321,Primary visual area layer 4,VISp4,72.3593772252,63.0625,75.2604217529
477127614,0.0311050608,62.4966666667,0.2859043901,249.505,1.3980525,5.11,-52.09375,-51.4375038147,-54.0437530518,0.041805,247.385,1.395935,3.375,39.6875038147,42.390625,38.1875022888,339.620679617,0.026388593,30.0000019073,34.8749990463,450.0,246.9,1.3954475,2.96,-42.8125038147,-42.1718769073,-48.4062507629,285.3,1.42975,699.038,-57.5,-55.9687519073,-74.9750045776,3.701594925,3.8797589127,3.6777654423,-72.08177948,Slc17a6-IRES-Cre,Excitatory,35.1773729723,Primary visual area layer 2/3,VISp2/3,92.2312553406,91.7812538147,93.8281288147
486235288,1.0,315.8,0.2418936446,214.845,2.1229016667,5.4583333,-49.8125038147,-45.364587148,-49.3958358765,0.139925,212.6,2.120345,3.555,45.5937538147,40.9687512716,46.8333358765,214.999929071,0.1055687144,40.0,52.9999987284,550.0,212.13,2.1198266667,3.125,-41.0312538147,-36.4583358765,-43.8958346049,273.445,2.175075,199.73,-57.7812538147,-54.0104204814,-69.0833358765,3.8059332009,3.5857822672,4.0439766439,-68.580871582,Cux2-CreERT2,Excitatory,28.2906596791,Primary visual area layer 5,VISp5,96.229171753,95.4062576294,86.3333384196
535708196,0.4103743748,24.8866666667,0.053163074,179.04,10.0009266667,4.4333333,-54.5937538147,-50.6354179382,-56.7500038147,0.02222,178.12,9.9996266667,3.48,32.84375,18.9791676203,35.3541692098,287.343800068,0.1550024748,40.0,250.0,300.0,177.72,9.9990333333,3.1,-40.0000038147,-38.71875,-47.4583333333,723.74,10.0010866667,910.8266667,-57.1875,-50.7916679382,-70.1562550863,1.7839550343,1.5811534012,1.8611079257,-69.8161087036,Vip-IRES-Cre,Inhibitory,20.2264349204,Primary visual area layer 4,VISp4,92.1041730245,87.4375038147,69.6145855585
519517188,1.0,1000.0,0.0459984166,27.94,9.9144666667,4.36,-53.4687538147,-45.1458346049,-55.2187522888,0.01672,27.0,9.9128533333,3.432,23.0000019073,15.583334287,29.9750011444,141.093716025,0.103318736,140.0,247.91666158,509.999969482,26.68,9.9124266667,3.144,-39.65625,-34.9375,-45.1625022888,27.96,9.9183066667,584.424,-53.53125,-46.0312538147,-73.8562515259,2.0757909451,2.3803840063,2.1651751688,-73.7110214233,Htr3a-Cre_NO152,Inhibitory,10.1983166376,Primary visual area layer 5,VISp5,85.1937534332,76.468755722,60.7291688919
577218602,1.0,1000.0,0.0,20.8,5.37712,5.204,-51.28125,-42.5,-55.5000038147,0.0092,19.16,5.37482,3.48,32.15625,18.5,37.3500015259,247.500106692,0.038181331,90.0,134.375,270.0,18.74,5.3737,3.096,-43.0,-30.5312519073,-47.3250038147,20.94,5.3781,677.7,-51.3437538147,-42.7812538147,-69.5375015259,3.1808620782,1.4977561897,3.3363243934,-68.6338882446,Chat-IRES-Cre-neo,Inhibitory,22.0690161542,Primary visual area layer 4,VISp4,92.8500053406,83.4375,61.0
329241587,0.1635187579,39.7716666667,0.065997437,72.85,5.858055,4.2358333,-55.5,-53.90625,-59.9270839691,0.02923,72.02,5.85723,3.4216667,18.75,22.0104179382,25.6927086512,143.74999702,0.0830477774,90.0,146.416666667,550.0,71.61,5.8567616667,2.9966667,-43.6562538147,-37.4583333333,-47.6406256358,72.93,5.8580916667,379.3441667,-55.65625,-54.0312512716,-71.5052083333,1.3965250593,1.2020338978,1.3385040586,-70.9986572266,Sst-IRES-Cre,Inhibitory,17.6747848717,Primary visual area layer 4,VISp4,85.6197926203,74.25,75.9166679382
322229594,0.0141153754,34.3007142857,0.4464864865,69.295,2.8176133333,4.60125,-53.75,-53.1458346049,-58.773440361,0.02504,68.2,2.8164416667,3.28875,12.8125,14.8333336512,10.8984382153,249.330356717,0.1250998527,70.0,70.375,440.0,67.8,2.8160233333,2.935,-39.625,-35.9375,-42.0859375,69.365,2.8176666667,316.69875,-53.84375,-53.2291666667,-65.5078144073,1.6605080463,1.5579662122,1.6310524952,-65.5227432251,Sst-IRES-Cre,Inhibitory,22.9317307203,Primary visual area layer 5,VISp5,69.6718785763,66.5625,67.9791682561
526951157,0.0091525921,55.5352941176,0.2783333333,199.02,2.0175333333,6.32,-51.5000038147,-50.3750012716,-51.7395858765,0.02666,195.4,2.0143,3.5933333,42.5625038147,46.4583346049,41.1458346049,150.156363845,0.0869927704,50.0,50.3333333333,300.0,194.86,2.0137533333,3.1333333,-46.0000038147,-45.4687525431,-47.0208346049,221.9,2.0552466667,820.5666667,-55.84375,-54.2916692098,-66.3125025431,4.0431381903,4.3652231808,4.1387199243,-66.0966186523,Ctgf-T2A-dgCre,Excitatory,10.1986055903,Primary visual area layer 6b,VISp6b,92.8854204814,94.0625076294,96.8333358765
481096407,0.0118933291,7.4411111111,0.9662500453,8.925,,3.87,-59.3125038147,,-59.3203163147,0.00525,8.155,,3.11375,7.8125,,10.0703132153,235.156059265,0.1042892784,150.0,,300.0,7.7,,2.875,-34.5625038147,,-40.367190361,8.97,,331.22625,-59.4375038147,,-67.5781269073,1.1339126314,,1.4094773924,-66.3197097778,Pvalb-IRES-Cre,Inhibitory,10.1719829998,Primary visual area layer 4,VISp4,69.39062953,67.1250038147,
