"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","binary_neuron"
"162",5.6783233333,-50.833337148,5.6768016667,28.3437519073,141.91666158,5.6764133333,-36.8229179382,5.6803583333,-51.208337148,2.8774647961,79.1770890553,"Inhibitory"
"163",9.7087266667,-54.3229204814,9.707695,20.9687519073,242.666666667,9.7072883333,-28.4270839691,9.7088433333,-54.4375012716,1.3680700865,75.2916723887,"Inhibitory"
"165",13.470275,-52.3125038147,13.46495,28.3958346049,336.625,13.4645016667,-34.7916666667,13.4751933333,-54.6770858765,4.089688043,80.7083384196,"Inhibitory"
"166",2.0337083333,-47.4166692098,2.031765,45.8229204814,50.7916666667,2.03135,-38.4687538147,2.0682466667,-53.7187512716,4.0003925983,93.2395896912,"Excitatory"
"167",5.840495,-46.864587148,5.8379583333,37.1041679382,145.958323161,5.8375266667,-36.739587148,5.8788766667,-55.6250038147,3.9715798597,83.9687550862,"Excitatory"
"168",3.5021133333,-43.2291692098,3.499095,46.2500012716,87.4583333333,3.4985966667,-33.3541679382,3.5437683333,-49.6354192098,4.2223572552,89.4791704814,"Excitatory"
"169",8.7775533333,-50.458337148,8.7739733333,32.9687512716,219.375,8.7735133333,-41.1250012716,8.78338,-53.5104204814,4.5496120244,83.4270884196,"Inhibitory"
"170",2.3145,-50.9687538147,2.3127125,44.828125,57.8124980927,2.3122875,-39.7500019073,2.36579,-55.875,3.0975564179,95.7968788147,"Excitatory"
"171",7.9186166667,-54.1145846049,7.9174716667,9.4062506358,197.958333333,7.9170483333,-30.0625006358,7.9189,-54.3854179382,1.337012958,63.5208352407,"Inhibitory"
"172",2.8735333333,-55.4270858765,2.87036,49.9791692098,71.7916641235,2.8699533333,-47.9687525431,2.9072066667,-60.5625025431,6.2967074082,105.406255086,"Excitatory"
"173",3.4510466667,-53.0937538147,3.4474333333,26.7604179382,86.1666666667,3.4469,-34.7708358765,3.4586533333,-57.2812538147,4.2248512375,79.8541717529,"Inhibitory"
"176",1.77136,-50.9791679382,1.7696533333,31.1041673024,44.25,1.76922,-35.7083346049,1.7763466667,-52.5000012716,2.7733222599,82.0833352406,"Inhibitory"
"178",4.4991583333,-46.2604192098,4.4967083333,42.5104179382,112.41666921,4.4963166667,-37.9791679382,4.5487866667,-54.9583358765,3.8152643876,88.770837148,"Excitatory"
"180",1.9301266667,-50.6770833333,1.9276466667,38.9895846049,48.1666666667,1.9271933333,-39.2812525431,1.9553066667,-56.4687525431,4.3830206539,89.6666679382,"Excitatory"
"182",2.6176,-39.2708346049,2.61566,41.9791666667,65.375,2.6152033333,-27.1250006358,2.644705,-46.5104166667,2.9337051575,81.2500012716,"Excitatory"
"183",13.4004516667,-55.7291692098,13.3998816667,17.3958339691,334.958333333,13.3996283333,-31.7291666667,13.4012116667,-55.9270858765,1.1702953954,73.1250031789,"Inhibitory"
"184",3.8737916667,-57.3854192098,3.8711683333,40.1979192098,96.7499974569,3.870665,-41.8020846049,3.91345,-62.1979192098,3.5995495951,97.5833384196,"Excitatory"
"185",1.96673,-61.5312538147,1.9651,41.0000019073,49.1249980927,1.96466,-43.3125038147,1.96724,-61.8281269073,2.8384464892,102.531255722,"Inhibitory"
"187",2.09643375,-48.0546913147,2.09495375,38.3671884537,52.3749980927,2.09456,-36.1640644073,2.09659625,-48.187502861,2.8084889299,86.4218797684,"Inhibitory"
"188",7.7898133333,-56.5312512716,7.7886866667,7.7291671435,194.749994914,7.7882533333,-28.3958333333,7.7899033333,-56.6354192098,1.0262489343,64.2604184151,"Inhibitory"
"189",4.287645,-49.0312519073,4.2851375,28.7031269073,107.124996185,4.284475,-33.015625,4.3014325,-52.0312519073,2.0680353757,77.7343788146,"Excitatory"
"191",9.2124866667,-47.020837148,9.2075533333,37.3229179382,230.166666667,9.2069133333,-34.7395846049,9.2259733333,-51.770837148,4.400859881,84.3437550862,"Excitatory"
"193",2.80100125,-41.828127861,2.79947875,35.8671898842,70,2.79913375,-31.8125019073,2.85448625,-56.0078144073,3.0973018281,77.6953177452,"Excitatory"
"194",5.664665,-48.6250038147,5.6624,30.3750019073,141.5,5.66176,-35,5.6893,-51.1875038147,2.2920066512,79.000005722,"Excitatory"
"196",8.71396,-54.4843769073,8.71326,12.5937509537,217.8125,8.71294,-35.015625,8.71403,-54.5625038147,1.2931437726,67.078127861,"Inhibitory"
"198",2.3479266667,-47.1458358765,2.3457133333,48.5520833333,58.625,2.3453,-38.6979179382,2.4106066667,-56.4062525431,4.1217453789,95.6979192098,"Excitatory"
"199",3.61894,-44.4791666667,3.61495,37.6562512716,90.3333333333,3.614375,-34.3541679382,3.648195,-54.4270858765,3.4954249927,82.1354179383,"Inhibitory"
"200",3.15222,-46.0312512716,3.1481466667,28.3541679382,78.7083333333,3.1475366667,-37.2083346049,3.1978,-54.0520858765,4.3875852558,74.3854192098,"Excitatory"
"201",2.2269133333,-46.5104204814,2.22442,31.635418574,55.5833333333,2.2240066667,-33.8958358765,2.2372466667,-49.8541679382,4.1162806325,78.1458390554,"Inhibitory"
