"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","L_tg"
"157",5.13875,-55.132815361,3.38875,31.7734384537,1060,3,-53.046877861,634.6175,-84.7187519073,3.4116822101,86.9062538147,"L4tg"
"158",4.66625,-55.703127861,3.23,39.7968759537,390,2.87,-46.234375,449.08875,-68.890630722,3.1164930618,95.5000038147,"L4tg"
"159",4.983,-52.8625022888,3.333,32.2437519073,740,2.981,-46.7937530518,574.477,-76.4000030518,3.1978955623,85.1062541961,"L4tg"
"160",5.765,-49.2890625,3.51,38.875002861,1110,3.125,-41.7890644073,195.695,-73.109380722,3.7031273258,88.164065361,"L4tg"
"161",4.88,-50.4000022888,3.4,43.2937522888,880,3.052,-45.6562515259,159.556,-72.1062530518,3.6875799159,93.6937545776,"L4tg"
"162",5.4775,-44.5156259537,3.54125,49.6250019073,0,3.11875,-41.1484394073,255.28125,-72.8984394073,3.6443050989,94.140627861,"L4tg"
"163",5.364,-50.3312522888,3.478,43.4062530518,880,3.108,-48.1375007629,570.603,-78.7312530518,3.6922732753,93.7375053406,"L4tg"
"164",5.156,-51.0562515259,3.235,38.25,1250,2.898,-47.325,601.77,-82.6250030518,3.7084293265,89.3062515259,"L4tg"
"165",5.1016667,-49.7239596049,3.36,42.9010448456,1080,2.9625,-48.2968762716,244.4266667,-79.3333384196,3.7042707948,92.6250044505,"L4tg"
"166",4.5675,-46.4375019073,3.395,43.5000019073,820,3.0525,-44.5156269073,228.6775,-71.4062538147,3.0932736673,89.9375038146,"L4tg"
"167",5.24,-53.3854192098,3.46,40.7395846049,1040,3.0866667,-49.3437538147,216.2733333,-76.3333358765,3.4829881306,94.1250038147,"L4tg"
"168",5.593,-48.3937522888,3.437,18.0000011444,690,3.044,-37.8937507629,846.04,-78.4375045776,2.7406857258,66.3937534332,"L4tg"
"169",4.848,-49.2562515259,3.392,40.8875022888,590,3.008,-44.2437515259,382.036,-68.4187561035,3.407371856,90.1437538147,"L4tg"
"170",5.095,-55.3515663147,3.34125,35.656252861,207.5,3.0125,-50.1953163147,402.44375,-75.1953144073,3.6942070171,91.0078191757,"L4tg"
"172",4.9378571,-50.3973241534,3.3507143,47.4375038147,830,2.9935714,-46.3303604126,782.965,-74.8973257882,3.308108344,97.8348279681,"L4tg"
"173",5.135,-52.0703144073,3.54375,38.5078125,0,3.1225,-44.6562519073,652.44375,-78.9453144073,3.0755379678,90.5781269073,"L4tg"
"176",5.275,-48.8515634537,3.51875,29.9531259537,0,3.1025,-39.3984375,348.71,-70,2.6824267003,78.8046894074,"L4tg"
"177",5.629,-50.9375022888,3.314,41.925,750,2.959,-51.8812538147,414.218,-76.2250045776,4.529074786,92.8625022888,"L4tg"
"178",5.16625,-55.867190361,3.505,46.640627861,620,3.14875,-46.4062519073,514.6525,-79.1093788147,4.1359269985,102.507818222,"L4tg"
"181",5.109,-52.6500022888,3.405,44.3125015259,900,3.031,-47.4500030518,718.543,-79.8875045776,3.9429725903,96.9625038147,"L4tg"
"184",5.928,-48.3375022888,3.575,18.7875007629,296,3.073,-37.4312515259,551.08,-73.2500030518,2.581672054,67.1250030517,"L4tg"
"185",6.475,-56.1406288147,3.5025,38.0625019073,660,3.0775,-51.4609384537,702.00125,-79.476568222,4.6015669833,94.203130722,"L4tg"
"186",4.7808333,-56.1250019073,3.3183333,45.9114596049,570,2.9941667,-47.8750019073,381.79,-80.3072929382,4.2920565473,102.036461512,"L4tg"
"187",7.96,-55.4296884537,3.705,32.9609375,0,3.235,-45.7265644073,374.33,-77.8359394073,3.6406464542,88.3906259537,"L4tg"
"188",5.6366667,-61.1875025431,3.5466667,28.385418574,610,3.11,-53.427087148,461.6783333,-82.5000050863,3.949913102,89.5729211171,"L4tg"
"189",5.205,-55.1687522888,3.3,43.0750015259,600,2.956,-45.2625007629,556.434,-72.1250030518,3.6730329503,98.2437538147,"L4tg"
"190",4.92,-51.5062522888,3.332,40.9687507629,720,2.968,-45.5500007629,523.88,-75.7375030518,3.7606988746,92.4750030517,"L4tg"
"192",4.884,-54.3000022888,3.424,41.4875007629,730,3.044,-43.9812530518,719.848,-76.0500045776,3.2652631937,95.7875030517,"L4tg"
"194",5.0525,-49.1953125,3.40625,44.5000009537,840,3.0225,-45.6250019073,489.79625,-77.6015644073,3.7133648132,93.6953134537,"L4tg"
"195",5.514,-51.3375015259,3.357,51.0687522888,780,3.014,-46.7687522888,572.185,-79.2312545776,4.7674416812,102.406253815,"L4tg"
"196",5.1416667,-49.0937512716,3.475,26.2395833333,730,3.0683333,-40.15625,639.73,-78.5416692098,2.8104909214,75.3333346049,"L4tg"
"197",5.34,-55.3312522888,3.416,42.70625,540,3.024,-46.2375038147,627.548,-72.63125,4.2272054758,98.0375022888,"L4tg"
"198",6.432,-53.3687538147,3.62,40.4625022888,0,3.144,-48.0125015259,806.864,-76.9875030518,4.0335379486,93.8312561035,"L4tg"
"202",4.335,-50.9609394073,3.1475,50.921877861,290,2.82375,-38.9218769073,436.7075,-63.8515644073,2.8500059942,101.882817268,"L4tg"
"203",4.836,-52.7500030518,3.464,40.7750015259,870,3.092,-46.5250030518,478.96,-80.9562515259,3.2735434442,93.5250045777,"L4tg"
"204",5.801,-54.4500022888,3.41,36.2312507629,610,2.932,-41.6812507629,307.289,-74.74375,3.3846832252,90.6812530517,"L4tg"
"205",4.64,-51.4812530518,3.282,34.1187507629,680,2.924,-43.1062522888,583.381,-75.9250045776,2.8032402475,85.6000038147,"L4tg"
"206",5.29,-53.6562519073,3.46,43.5520846049,949.999938965,3.0766667,-48.8177102407,766.2566667,-80.161462148,4.3009785492,97.2083365122,"L4tg"
"207",4.871,-52.1687522888,3.327,51.2000038147,630,3.002,-46.4937522888,358.858,-74.9125030518,4.6282097544,103.368756104,"L4tg"
"209",4.7933333,-49.5937538147,3.4366667,41.9166679382,0,3.0916667,-46.177087148,783.3783333,-71.0833409627,3.214567952,91.5104217529,"L4tg"
"210",4.815,-53.4843769073,3.43,42.7343756358,670,3.055,-51.9322948456,669.315,-77.4843775431,3.868559353,96.2187525431,"L4tg"
"211",5.0066667,-49.8020846049,3.365,30.1770846049,700,2.9483333,-42.6458358765,689.9633333,-74.2916717529,2.9893910612,79.9791692098,"L4tg"
"212",5.0325,-49.5156269073,3.42,49.2812519073,0,3.0925,-42.3593788147,446.345,-75.4218826294,3.8581020591,98.7968788146,"L4tg"
"213",4.921,-50.5812507629,3.373,33.9312507629,730,3.033,-47.64375,510.155,-74.2812515259,3.4063507306,84.5125015258,"L4tg"
"214",5.3525,-53.5260423024,3.41,33.8177083333,560,3.025,-47.9843756358,66.2133333,-68.21875,3.3447446885,87.3437506357,"L4tg"
"215",7.092,-55.1875007629,3.515,32.1625,1380,3.114,-46.0875007629,589.005,-76.8062515259,4.055968084,87.3500007629,"L4tg"
"216",5.352,-54.6312522888,3.524,41.9062515259,900,3.144,-50.8250022888,124.844,-76.3187561035,4.3153353408,96.5375038147,"L4tg"
"217",5.36,-52.8875022888,3.576,41.5125007629,939.999938965,3.132,-46.6312522888,711.604,-82.0312545776,3.5309010468,94.4000030517,"L4tg"
"218",4.965,-48.492190361,3.445,40.7031259537,860,3.065,-42.0546884537,722.64,-79.390625,3.3784238083,89.1953163147,"L4tg"
"219",5.553,-53.7437522888,3.58,25.9437511444,830,3.103,-47.6625015259,426.244,-68.3312515259,2.8722062142,79.6875034332,"L5tg"
"220",5.4583333,-49.3958358765,3.555,46.8333358765,550,3.125,-43.8958346049,199.73,-69.0833358765,4.0439766439,96.229171753,"L5tg"
"221",5.356,-55.8750015259,3.528,35.4687515259,780,3.136,-47.4312507629,240.108,-77.0750015259,3.5400513279,91.3437530518,"L5tg"
"222",5.33,-50.2812538147,3.385,38.4062519073,225,2.98,-41.5781288147,59.095,-58.6718769073,3.2697515634,88.687505722,"L5tg"
"223",5.401,-48.7375015259,3.547,23.7625015259,630,3.114,-47.4000022888,662.607,-68.5937545776,3.0140318107,72.5000030518,"L5tg"
"224",5.69125,-51.7734384537,3.49375,36.0937519073,820,3.105,-42.8437519073,606.94375,-79.8984394073,3.6195365115,87.867190361,"L5tg"
"225",5.515,-52.1375038147,3.38,38.2437522888,780,2.979,-49.8625022888,90.434,-69.3875061035,3.9722071505,90.3812561035,"L5tg"
