"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","binary_neuron","tau","firing_rate","height_short","height_long","height_ramp"
"151",1,1000,-3.86004028867e-19,22.4,9.400175,4.9825,-48.34375,-47.6562525431,-51.8177115122,0.0136,20.985,9.3987666667,3.3625,34.78125,33.2395852407,36.9166692098,89.5832106471,0.1518599391,290,234.958323161,850,20.53,9.3982416667,2.9491667,-40.53125,-32.1875025431,-49.6197954814,29.805,9.4136416667,415.9641667,-49.1875038147,-53.239587148,-77.4166717529,2.4712835169,1.8575177708,2.7292945654,-76.8494796753,"Excitatory",9.7215596407,1,88.734380722,83.125,80.8958377838
"174",1,6.59,1.2544359508,10.905,14.6699275,3.8408333,-59.2812538147,-50.8281269073,-61.9114583333,0.00724,10.32,14.6691425,3.3091667,14.5625009537,5.9375002384,23.1822919846,91.4062485099,0.0249765068,330,366.75,0,10.065,14.6687825,3.0758333,-37.65625,-27.2500009537,-43.541668574,10.925,14.669965,95.0658333,-59.3750038147,-50.9218769073,-76.0833333333,1.2114172389,0.9554650342,1.2379829704,-74.9956359863,"Inhibitory",6.41411470808,151.745068285,85.0937503179,73.8437547684,56.7656271457
"175",0.0148346836,66.7942857143,0.1880999158,134.76,2.21129,5.08,-51.5000038147,-52.0625038147,-54.0625038147,0.04922,132.44,2.20909,3.4333333,44.7812538147,46.6562538147,45.989587148,188.90632689,0.0176209826,70,55.1875,760,132.04,2.20869,3.08,-39.09375,-37.8593769073,-47.1666704814,151.28,2.2331,397.6666667,-58.0937538147,-59.4375038147,-76.1875050863,3.8918089684,4.1014939556,4.1138618197,-75.0912857056,"Excitatory",30.6946340788,14.9713405766,100.052090963,96.2812576294,98.7187576294
"179",0.0522637766,124.382142857,0.0959208319,199.805,6.5548383333,5.618,-45.6875,-51.1666704814,-52.4000030518,0.06746,197.015,6.55237,3.623,42.90625,41.8333346049,43.7125015259,96.4062511921,0.1284628212,200,163.791666667,1180,196.545,6.5518683333,3.198,-36.75,-40.0625025431,-48.0125030518,255.02,6.6061416667,131.585,-55.8750038147,-57.0208358765,-77.7000015259,3.5949752774,3.3476937506,3.5305166621,-77.0904159546,"Excitatory",15.7911016595,8.03973928274,96.1125045777,88.59375,93.0000050863
"181",0.2610853812,199.75,0.1329749232,212.035,3.24101,5.73125,-52.09375,-49.9687512716,-53.945315361,0.059995,209.02,3.2384716667,3.45875,45,47.2291692098,45.945315361,156.875044107,0.0385764726,110,80.9583307902,870,208.58,3.2380233333,3.055,-44.1875,-41.6250012716,-48.6953163147,873.33,3.293415,662.41875,-61.5,-58.7812525431,-80.8281269073,4.586706002,4.6265673789,4.8540207025,-80.403678894,"Excitatory",19.0657315164,5.00625782228,99.890630722,97.09375,97.1979204814
"186",0.2519843334,23.65,0.3839149022,48.24,2.2961,4.7533333,-59.7812538147,-55.8437538147,-60.2812538147,0.0208,47.06,2.29482,3.6,25,25.7916673024,20.9687506358,340.624958277,0.0928596333,50,57.3333320618,380,46.48,2.2942333333,3.07,-46.75,-40.2708346049,-46.9791704814,48.28,2.29622,560.0966667,-59.8125,-55.9791704814,-72.3229204814,1.6251155415,1.5888202516,1.5507288459,-71.0309524536,"Inhibitory",23.755904472,42.2832980973,81.2500044505,84.7812538147,81.6354211171
"190",0.0690320929,95.628,0.1322485217,194.5,5.7213533333,5.2383333,-43.1875038147,-45.6875012716,-50.1093769073,0.038815,192.11,5.7192083333,3.3891667,45,47.71875,45.4114615122,90.156249702,0.1762121171,160,142.958328247,1170,191.72,5.7188333333,3.0391667,-40.6250038147,-40.8958346049,-48.3177108765,247.68,5.7901166667,77.4441667,-55.5000038147,-53.6979204814,-72.505212148,4.4891410803,4.2980526995,4.0583191134,-71.9120330811,"Excitatory",15.4935912138,10.4571882712,95.5208384195,88.1875038147,93.4062512716
"192",0.2510615424,140.15,0.1743303571,55.16,4.2015333333,4.228,-60.5625038147,-61.7812538147,-64.2562515259,0.01648,54.14,4.2007,3.384,18.1875,37.3333358765,35.6875015259,153.281241655,0.0320168957,90,105,340,53.8,4.2003333333,3.064,-47.7187538147,-46.6041692098,-49.7875030518,55.32,4.20156,217.532,-60.7187538147,-61.8125,-71.3500045776,1.9411185053,1.7599099007,1.8892988359,-70.6198348999,"Inhibitory",10.4043408288,7.13521227257,99.9437530518,78.7500038147,99.1145896912
"195",0.0629883953,84.175,0.1113235431,130.56,3.84926,5.128,-47.53125,-48.7395858765,-53.6500030518,0.04478,127.72,3.84726,3.336,38.4062538147,40.2708346049,44.9875015259,150.468751788,0.0196336731,130,96.1666666667,680,127.3,3.8468533333,3.016,-33.8437538147,-34.1250038147,-47.2750038147,145.7,3.8739666667,616.216,-54.875,-55.7916704814,-75.5937530518,3.8019869287,3.5790734756,4.2548350493,-75.2881317139,"Excitatory",17.2733130739,11.88001188,98.6375045777,85.9375038147,89.0104204814
"204",-0.003719553,45.859,0.2743009089,999.02,3.4387933333,4.54,-50.2812538147,-50.7291666667,-53.8359394073,0.07866,997.52,3.43732,3.455,37.5,35.0104192098,40.5703144073,194.375008345,0.0493998341,100,85.9166641235,420,997.16,3.4369266667,3.13,-32.375,-31.5,-37.953127861,999.84,3.4461,407.565,-50.9375038147,-54.9895858765,-69.5625019073,2.4590675468,2.3848120611,2.2861824246,-68.5249328613,"Inhibitory",9.0625842235,21.8059704747,94.4062538146,87.7812538147,85.7395858765
