"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","binary_neuron","tau","firing_rate","height_short","height_long","height_ramp"
"785",1,22.75,0.0133561645,39.345,1.79735,5.0675,-52.4375038147,-45.4270858765,-54.3906288147,0.01512,37.81,1.7957016667,3.395,30.8750019073,23.4791666667,30.125002861,230.468943715,0.1119156256,30.0000019073,44.8750012716,200,37.435,1.7951633333,3.065,-43.5000038147,-34.8750038147,-45.6718769073,39.555,1.7973983333,950.2075,-52.5937538147,-45.5312525431,-68.4843826294,3.1851266479,2.350335595,3.146448231,-68.6468887329,"Inhibitory",17.3561416343,43.956043956,84.5156316757,83.312505722,68.9062525432
"791",0.0015468202,10.8505494505,1.2329136528,13.65,6.654715,4.0641667,-56.9687538147,-52.9895858765,-58.6927108765,0.00812,12.77,6.6533583333,3.225,13.4062509537,6.2187504768,17.6197926203,221.093714237,0.0425620899,170,166.291666667,349.999974569,12.46,6.6529166667,2.9516667,-33.8125,-26.0520852407,-43.2031275431,13.75,6.6556216667,266.0916667,-57.03125,-53.4895858765,-74.833337148,1.4238245387,1.1066169869,1.59107339,-74.0521774292,"Inhibitory",9.39791620982,92.1612315175,76.3125034968,70.3750047684,59.2083363533
"793",0.0483089979,69.9879166667,0.1825000093,88.285,3.0091733333,4.784,-53.4062538147,-51.0520858765,-53.6125022888,0.041235,86.26,3.0073283333,3.286,43.6562538147,47.8541692098,48.3062515259,148.749962449,0.0189885516,110,75.2083307902,880,85.93,3.006995,2.996,-43.1250038147,-38.7812525431,-51.3500022888,106.49,3.0446716667,662.696,-59.8437538147,-59.8958358765,-84.1375076294,4.4122934809,4.3307576358,4.913151028,-83.5632095337,"Excitatory",20.1432456387,14.2881806979,101.918753815,97.0625076294,98.9062550863
"796",0.032339618,55.895,0.25,92.495,1.8333766667,5.1616667,-49.0000038147,-51.9895858765,-56.5885448456,0.038685,89.795,1.8313116667,3.4216667,17.2500019073,42.8958346049,35.1093765895,213.124960661,0.0295581277,70,45.7499987284,180,89.235,1.8308916667,3.0475,-40.6250038147,-38.9687525431,-47.6197942098,119.07,1.8681333333,500.1933333,-54.0312538147,-57.3854192098,-77.7500050863,3.0429334796,3.5176844004,3.2741808662,-76.9283905029,"Excitatory",20.5677674593,17.8906878969,91.6979214351,66.250005722,94.8854204814
"801",0.0593433997,25.06,0.0339241404,59.28,1.23154,5.78,-55.5312538147,-54.2187538147,-56.9375038147,0.0126,56.98,1.22914,3.25,27.7812519073,26.5000019073,33.0781269073,259.375393391,0.0696748644,40,30.75,239.999984741,56.52,1.22862,2.87,-40.21875,-38.2500038147,-43.1718769073,60.62,1.23328,684.08,-56.0312538147,-55.03125,-65.2343788147,2.9985858268,2.828300996,3.3017953836,-63.4668731689,"Inhibitory",15.5210912775,39.9042298484,90.015630722,83.312505722,80.718755722
"806",0.1541085383,19.5716666667,0.0372807018,71.48,2.3338983333,4.079,-55.8125038147,-53.7500038147,-57.7250022888,0.015685,70.5,2.3328366667,3.063,19.46875,20.7291673024,17.6187515259,251.562505961,0.0083176335,50,58.3333333333,370,70.175,2.332475,2.771,-43.4375038147,-41.4062538147,-44.5812522888,71.545,2.3385316667,660.035,-55.9375038147,-53.9375012716,-67.2750030518,1.8425482915,1.8379418725,1.8640136704,-65.2991027832,"Inhibitory",32.8608329126,51.0942689261,75.3437538147,75.2812538147,74.4791711171
"825",0.2721965112,35.1125,0.1401442364,53.89,3.3436216667,4.7808333,-55.4687538147,-54.7395858765,-56.1250019073,0.01915,52.35,3.3419383333,3.3183333,41.0312538147,43.2604192098,45.9114596049,195.3125,0.0442003123,130,83.5,570,51.965,3.3415366667,2.9941667,-40.8750038147,-34.7916666667,-47.8750019073,861.865,3.3612533333,381.79,-58.0937538147,-57.3437512716,-80.3072929382,3.6236678518,3.2178108599,4.2920565473,-79.6588592529,"Excitatory",15.2172669601,28.4798860805,102.036461512,96.5000076294,98.0000050863
"828",0.1354922007,60.6128571429,0.1279761863,41.195,3.891585,5.205,-51.9375,-50.4375038147,-55.1687522888,0.014835,38.88,3.88893,3.3,42.75,45.84375,43.0750015259,130.31257689,0.008927308,210,97.25,600,38.485,3.88854,2.956,-39.21875,-36.375,-45.2625007629,46.395,3.905565,556.434,-54.5937538147,-56.46875,-72.1250030518,3.7668851033,3.6081792418,3.6730329503,-71.0000686646,"Excitatory",11.6207900929,16.4981498503,98.2437538147,94.6875,96.2812538147
"835",0.0319736718,47.196,0.3361510791,78.78,1.6131666667,4.884,-59.65625,-60.645837148,-61.4625030518,0.02868,77.26,1.6116933333,3.5,29.8125019073,42.9062512716,38.7312507629,259.218871594,0.2042537034,50,40.2083333333,400,76.74,1.61118,3.052,-43.8437538147,-41.4895846049,-44.3687507629,78.88,1.61326,599.344,-59.7812538147,-60.7500025431,-67.3750030518,2.1535239513,2.2665390517,2.3265251738,-66.9698791504,"Inhibitory",37.2623553598,21.1882362912,100.193753815,89.4687519073,103.55208842
"840",0.0085012037,12.7682,1.0517855796,18.155,10.07721,4.0025,-59.0625038147,-52.1770846049,-59.1406288147,0.01155,17.59,10.0764583333,3.475,17.15625,13.458334287,27.0937519073,105.223104358,0.0324520804,249.999984741,251.91666158,0,17.31,10.0761183333,3.1975,-33.90625,-29.7187519073,-43.4375038147,18.18,10.0772316667,71.1675,-59.1250038147,-52.3020858765,-76.9843826294,1.1211803599,1.0818019591,1.1946383215,-75.937713623,"Inhibitory",5.49145403001,78.3195751946,86.234380722,76.2187538147,65.6354188919
"848",0.0198464248,137.9125,0.0997193035,268.115,4.6236833333,6.1641667,-47.0000038147,-47.8020833333,-50.8072942098,0.120345,264.295,4.6202483333,3.4366667,49.0937538147,52.1041692098,49.3750025431,105.000078678,0.0216580909,130,115.54166921,1460,263.9,4.6198883333,3.0975,-37.1250038147,-36.2916692098,-45.510418574,314.06,4.6697766667,564.1383333,-58.15625,-57.7604179382,-77.692712148,4.6772020823,4.9898331605,4.1873739375,-77.271156311,"Excitatory",22.5945108648,7.25097434968,100.182296753,96.0937576294,99.9062525431
"851",0.0162060766,45.2861904762,0.5670498429,71.49,4.6887066667,4.1933333,-60.6875038147,-59.0208358765,-62.9739602407,0.03231,70.725,4.687885,3.45,27,25.5937512716,32.0260416667,203.124970198,0.2050630152,110,117.208333333,0,70.41,4.6875383333,3.1533333,-33.5,-31.135418574,-44.4843762716,71.52,4.6887766667,127.9875,-60.8125038147,-59.1250012716,-77.3593775431,1.3134160082,1.2956576997,1.4896069397,-75.6729660034,"Inhibitory",15.8790916575,22.081786732,95.0000019074,87.6875038147,84.6145871481
"857",0.1522093407,34.03,0.0998417691,44.22,6.10058,4.853,-47.5000038147,-47.145837148,-50.9125022888,0.0229,42.235,6.098565,3.36,28.1250019073,30.6354179382,32.9500022888,183.593720198,0.0271508954,230,152.41666158,300,41.78,6.0980616667,3.005,-33.9375038147,-30.7187506358,-46.28125,900.24,6.1114933333,702.456,-49.6875,-50.6041679382,-76.4250076294,2.3012501323,2.0287061504,2.9874014727,-76.0058441162,"Excitatory",16.2883755047,29.385836027,83.8625045776,75.625005722,77.7812550862
"860",0.1264895631,57.3463636364,0.6750451321,53.2,5.4582966667,4.4083333,-62.1875,-59.7916704814,-63.1927096049,0.01989,52.29,5.45727,3.5083333,35.71875,29.9791673024,38.7500006358,195.624992251,0.0780669972,100,136.416666667,183.333333333,51.91,5.456795,3.1291667,-37.5625,-30.8020839691,-46.5260416667,53.275,5.4583733333,503.5208333,-62.3125038147,-59.9479192098,-74.2812550863,1.4219780516,1.2005860138,1.4500093305,-73.6294555664,"Inhibitory",14.1630844546,17.4378973066,101.942710241,97.90625,89.7708377838
"868",0.0970207861,97.561875,0.1654017921,103.39,4.1624933333,5.283,-45.6562538147,-47.1458333333,-47.6750022888,0.047135,101.01,4.16047,3.457,43.5937538147,54.4687525431,53.9062522888,141.718834639,0.0218500663,90,104.000002543,144,100.515,4.160025,3.061,-39.96875,-38.0000012716,-46.4250030518,148.58,4.195715,602.193,-51.2500038147,-51.5104179382,-74.3875030518,3.5274473833,4.1260827885,4.573775093,-73.443939209,"Excitatory",19.6543592461,10.2499055087,101.581254578,89.2500076294,101.614585876
"869",0.0319918128,55.9603125,0.2246212253,135.34,2.734175,4.819,-44.3125038147,-46.2708346049,-49.3000030518,0.054435,133.115,2.7320533333,3.111,49.625,50.2812538147,49.2500022888,233.437612653,0.0222372673,70,68.2916666667,680,132.73,2.7316616667,2.781,-32.3125,-32.6041679382,-40.2625015259,154.98,2.754555,601.257,-48.03125,-48.1562525431,-72.5687515259,3.9758365021,3.9902997022,3.9502430441,-72.7411804199,"Excitatory",25.4114754757,17.8698072853,98.5500053406,93.9375038147,96.5520884196
"871",0.0437500288,25.2041666667,0.1492857143,12.64,4.543755,4.7083333,-55.8750038147,-51.4375,-58.5312525431,0.007535,11.47,4.54171,3.4133333,28.2500019073,20.1562519073,30.4687512716,159.37499702,0.0676599666,110,113.5,0,11.12,4.5412,3.09,-47.9062538147,-36.46875,-49.0104179382,12.845,4.54502,723.4483333,-56.15625,-51.7812538147,-73.34375,2.7542417082,2.3309182977,2.737122068,-72.2003326416,"Inhibitory",9.28812188297,39.6759795007,89.0000038147,84.125005722,71.5937519073
"872",0.0431775031,92.508,0.1472222299,261.135,4.2440783333,5.524,-45.3125,-45.8958333333,-48.5687530518,0.073575,258.155,4.240745,3.523,42,36.2500025431,37.2500015259,124.955430627,0.0801045448,100,106.041666667,1400,257.745,4.2403,3.129,-38.4687538147,-38.2500012716,-47.6250015259,341.32,4.310135,242.254,-58.84375,-56.53125,-76.1375030518,3.9346611077,3.8463316037,3.6790200483,-75.4485092163,"Excitatory",25.5832807237,10.8098759026,85.8187545777,87.3125,82.1458358764
"876",1,1000,0.223126011,121.3,3.1926733333,5.092,-50.2812538147,-52.3958358765,-52.7500038147,0.06884,118.98,3.1906466667,3.476,36.8750038147,37.8437512716,40.6812522888,167.031243444,0.0475235619,110,79.7916666667,760,118.54,3.19022,3.116,-33.3125038147,-34.0312512716,-46.3375022888,134.68,3.20926,448.34,-55.7812538147,-58.8750038147,-76.2625045776,3.2212039613,3.0071412807,3.67449489,-75.7844924927,"Excitatory",15.6347206335,1,93.4312561035,87.1562576294,90.2395871481
"877",0.0426828602,55.8046875,0.2607229663,67.275,2.7702833333,5.7183333,-51.59375,-50.1041704814,-53.958337148,0.01994,63.995,2.7668666667,3.3591667,21.34375,25.7395846049,24.145834287,206.875070929,0.0038701426,80,69.1666666667,375,63.43,2.7663033333,2.9408333,-37.9375038147,-36.1875012716,-46.7656269073,74.58,2.7839483333,441.0325,-55.0000038147,-55.0625025431,-67.6406300863,2.9241470097,2.9118285076,3.3333466474,-67.1831893921,"Excitatory",24.5760341135,17.9196416072,78.104171435,72.9375,75.8437550863
"881",0.0566028652,81.5690909091,0.1693527988,97.555,2.7235233333,5.10625,-46.5,-47.5416704814,-49.3984384537,0.03303,95.465,2.7216366667,3.44125,33.8125,35.6562538147,30.6328144073,122.187539935,0.2755068839,90,68.0416666667,720,94.935,2.7211366667,3.0025,-38.4062538147,-38.6875025431,-43.6718759537,151.09,2.787675,105.3275,-56,-54.4166692098,-66.8046875,2.9008821514,2.8924134475,2.8530810489,-66.0431060791,"Excitatory",17.3801509965,12.2595457281,80.031252861,80.3125,83.1979242961
"882",0.3934929405,44.7975,0.0872159141,101.01,5.2831566667,4.2116667,-59.3750038147,-57.5729192098,-60.2187512716,0.032155,100.045,5.282125,3.3208333,34.28125,36.7083333333,34.6718762716,183.906212449,0.0880968869,130,132.041666667,650,99.68,5.281745,2.9958333,-45.3125,-42.0729179382,-45.6406256358,101.075,5.283235,510.6041667,-59.5312538147,-57.6979179382,-78.5364646912,2.0097338744,1.9804836621,1.9574085769,-77.7048721313,"Inhibitory",14.1900348151,22.3226742564,94.8906275432,93.6562538147,94.2812525431
"883",0.0080974189,35.6355769231,0.4694767442,80.975,2.27512,4.112,-53.53125,-53.5625038147,-56.9812538147,0.03555,80.235,2.2743933333,3.411,20.65625,24.1770833333,25.4062511444,230.000048876,0.0200302023,70,56.8333320618,0,79.9,2.274065,3.114,-36.0000038147,-34.7812512716,-41.3437515259,89.055,2.2838033333,344.709,-53.9687538147,-53.8437538147,-65.7312545776,1.4843015862,1.4653361287,1.5127062863,-64.2822341919,"Inhibitory",21.7676962447,28.0618439869,82.3875049591,74.1875,77.739587148
"887",0.0841486554,84.399,0.1478943594,81.93,6.5634116667,4.4666667,-44.9375038147,-43.0208346049,-52.2083358765,0.03683,80.725,6.56233,3.2283333,25.28125,22.1458352407,31.2812519073,145.625084639,0.0313746855,150,164.041666667,440,80.32,6.5617883333,2.89,-29.7812519073,-27.53125,-43.96875,98.125,6.5803366667,754.205,-49.0000038147,-47.8854204814,-69.1875050863,1.946830806,1.5886530659,2.2294494128,-67.9644393921,"Excitatory",15.8406459227,11.8484816171,83.4895877838,70.2187538147,65.1666698456
"888",0.0182141186,75.7933333333,0.2107569721,98.6,3.0882866667,5.616,-54.9062538147,-55.6458358765,-60.3687515259,0.02552,96.34,3.08588,3.316,47.4375038147,48.7291692098,46.9187522888,212.812498212,0.148680374,90,77.1666666667,509.999969482,95.86,3.0853933333,2.9,-42.5,-39.6666692098,-48.6375022888,129.04,3.11582,647.028,-56.3125,-57.2604179382,-73.0562530518,3.6307743099,3.6744936919,3.922286591,-72.1645965576,"Inhibitory",16.7056171225,13.1937725394,107.287503815,102.343757629,104.375005086
"889",0.0044407136,44.7261904762,0.341699611,228.495,4.805435,4.3325,-52.3437538147,-53.9270846049,-58.8437509537,0.05139,227.54,4.8046216667,3.4625,16.8125,24.5208333333,24.2500009537,185.937494039,0.1151659265,119.999992371,120.08333079,780,227.165,4.80428,3.15875,-32.5000038147,-31.6145846049,-42.2578125,240.315,4.8183116667,265.40625,-55.3125,-55.0625012716,-72.7265663147,1.5258010764,1.482283202,1.6511191513,-71.8150558472,"Inhibitory",19.8981590321,22.3582645728,83.0937519074,69.1562538147,78.4479179382
"904",0.0010703921,14.3442647059,0.4646626269,17.38,15.8089266667,4.0733333,-56.3125,-50.3437538147,-58.416668574,0.01797,16.495,15.8076733333,3.2275,6.5625004768,3.2291667461,14.9583338102,75.7812857628,0.0207272395,400,395.208343506,808.333282471,16.16,15.8072533333,2.9508333,-34.84375,-27.6979179382,-43.8697954814,17.435,15.8106566667,431.8675,-56.3750038147,-50.9479192098,-79.9010442098,1.3303669765,1.0488659247,1.4899443945,-79.4327468872,"Inhibitory",6.41302121313,69.7142739975,73.3750023842,62.8750004768,53.5729205608
"905",1,7.84,1.0844520762,8,8.49872,3.9225,-59.90625,-52.1875038147,-61.0625,0.00529,7.295,8.49767,3.1775,17,4.0625004768,19.9062509537,126.339152455,0.0530460924,270,212.375,420,7.005,8.49724,2.9075,-42.71875,-28.46875,-46.4218769073,8.065,8.49887,854.9225,-59.96875,-52.28125,-69.9375038147,1.4269806409,1.0755691579,1.5356278085,-68.3156356812,"Inhibitory",11.0827220961,127.551020408,80.9687509537,76.90625,56.2500042915
"906",0.3828773828,264.316666667,0.1535714353,114.2,5.4341433333,5.127,-39,-42.3333358765,-44.9187530518,0.046585,111.835,5.432355,3.526,22.0625,31.0416666667,20.9062511444,189.687535167,0.1462532878,110,135.833333333,0,111.37,5.4319116667,3.164,-30.90625,-33.2604166667,-31.0687511444,143.735,5.4562716667,413.224,-50.9062538147,-52.1979179382,-75.7437530518,2.5174069656,2.0590229177,2.2013278628,-75.4081039429,"Excitatory",17.773785589,3.78334068983,65.8250041962,61.0625,73.3750025432
"911",1,1000,0.0161211133,17.06,10.13738,4.548,-52.4375038147,-41.96875,-53.6812515259,0.00806,16.02,10.13544,3.468,38.0000038147,16.0937519073,38.8812522888,133.214190602,0.0375020355,190,253.374984741,390,15.64,10.13446,3.072,-45.8437538147,-29.90625,-50.2687530518,17.1,32.30416,690.168,-52.4687538147,-75.625,-76.2062530518,2.4603316323,1.3308395681,2.4065540544,-75.3700561523,"Inhibitory",7.83915055974,1,92.5625038147,90.4375076294,58.0625019073
"912",0.0601191739,43.5109090909,0.3830826055,181.78,1.95068,20.6914286,-53.8750038147,-50.2500025431,-50.1026812962,0.03288,180.82,1.9495066667,19.54,37.8125,29.3750019073,21.1696436746,267.187476158,0.1509155333,29.9999980927,48.7083333333,509.999969482,180.36,1.9490266667,19.0914286,-39.2187538147,-39.0937512716,-40.2098230634,181.82,1.9507466667,20.78,-53.9375038147,-50.3541704814,-50.1741098676,1.5632390997,1.7564811009,1.8217883341,-69.3536453247,"Inhibitory",20.8669719179,22.9827420501,71.2723249708,91.6875038147,79.6250044504
"914",0.0103034531,63.6757142857,0.2048841115,114.56,4.19642,4.836,-46.1562538147,-48.8750012716,-52.7500030518,0.05394,112.66,4.1948266667,3.464,36.7187538147,41.2708358765,40.7750015259,159.374848008,0.0329797305,110,104.833333333,870,112.2,4.19438,3.092,-32.875,-33.2708333333,-46.5250030518,133.44,4.21824,478.96,-53.5000038147,-55.7604204814,-80.9562515259,2.7994870989,2.754781675,3.2735434442,-80.3756484985,"Excitatory",19.6820768478,15.7045745182,93.5250045777,82.8750076294,90.1458371481
"929",0.1392882149,116.774375,0.2044702178,83.5,3.97063,5.0483333,-47.2500038147,-50.2604192098,-50.8229204814,0.0344,81.63,3.9688933333,3.4933333,27.5625,35.1979192098,27.0833339691,225.937500596,0.0250830818,90,99.2083333333,0,81.135,3.968405,3.0466667,-37.9375038147,-36.8854179382,-49.4062512716,101.35,3.9901483333,488.1766667,-51.8750038147,-54.7395858765,-77.2708384196,2.6512243171,2.633821389,2.8644186471,-77.0405426025,"Excitatory",17.3646342039,8.56352260502,77.9062544505,74.8125038147,85.4583384196
"931",0.1045711904,132.15625,0.0993485342,197.805,3.0629433333,5.374,-47,-43.8020858765,-51.2062507629,0.069205,195.375,3.0603666667,3.154,38.1875,43.2604166667,38.58125,122.343711555,0.0597714335,110,76.5,840,194.805,3.059835,2.722,-40.03125,-36.2604166667,-42.9062507629,238.855,3.10704,415.666,-55.03125,-51.1666666667,-72.8875,3.4543557908,3.8178296593,3.7949986076,-71.6550292969,"Excitatory",23.335452725,7.5668006621,89.7875007629,85.1875,87.0625025432
"932",0.0151029032,50.3936842105,0.2903225787,234.52,1.5047533333,4.952,-53.125,-52.114587148,-53.5000038147,0.03358,232.44,1.5028733333,3.46,42.1562538147,42.3645846049,40.1750015259,353.749871254,0.0400684588,29.9999980927,37.5833333333,380,231.98,1.5024333333,3.092,-38.5625038147,-37.6875038147,-44.0687522888,249.62,1.5209866667,763.352,-58.5937538147,-56.7187538147,-71.8062515259,3.2747147897,3.262995793,3.4140915405,-69.7652435303,"Excitatory",25.8046260965,19.8437565276,93.6750053406,95.2812538147,94.4791717529
"940",0.0733398426,95.125,0.2787744362,114.365,3.6533183333,4.815,-50.875,-48.6041679382,-53.4843769073,0.041875,112.53,3.6515466667,3.43,39.1250038147,42.5937525431,42.7343756358,168.43739152,0.0177898649,130,91.2916666667,670,112.095,3.6511366667,3.055,-36.4062538147,-35.6770846049,-51.9322948456,128.46,3.675095,669.315,-54.6875038147,-54.552087148,-77.4843775431,3.318061105,3.2110325622,3.868559353,-75.8291931152,"Excitatory",17.4383435205,10.5124835742,96.2187525431,90.0000038147,91.1979204813
"943",0.0551576636,128.938333333,0.1557242991,230.68,3.357055,6.266,-47.125,-49.5625012716,-51.3187507629,0.09216,226.78,3.3539533333,3.735,37.625,39.4375012716,40.5562507629,140.937611461,0.0726220906,90,83.7916666667,0,226.275,3.3534633333,3.289,-35.59375,-35.8229166667,-48.4562507629,282.39,3.3945166667,338.333,-55.09375,-55.7187512716,-77.4125045776,4.1983029988,3.9556167881,4.1117489067,-76.5253677368,"Excitatory",20.2817158561,7.7556454636,91.8750015258,84.75,89.0000025432
"950",1,72.635,0.0557142857,94.82,3.9335733333,7.092,-48.7500038147,-48.6979166667,-55.1875007629,0.05712,90.45,3.9294016667,3.515,29.1250019073,33.3958333333,32.1625,96.093788743,0.0138095831,270,98.2499974569,1380,89.965,3.9289283333,3.114,-37.90625,-37.4791666667,-46.0875007629,106.19,3.970635,589.005,-53.1562538147,-57.6666679382,-76.8062515259,4.4120144009,4.0699266598,4.055968084,-77.2543792725,"Excitatory",18.0701405821,13.7674674744,87.3500007629,77.875005722,82.09375
"956",0.1993933428,151.493333333,0.1363793097,98.815,4.448805,5.1325,-43.2500038147,-43.4479179382,-48.0781259537,0.0501,96.31,4.4465166667,3.44875,36.25,36.65625,41.3046875,135.312497616,0.1140901595,210,111.124997457,1180,95.85,4.4460333333,3.09,-27.3750019073,-26.2812519073,-40.7265644073,118.07,4.4734716667,619.25875,-48.90625,-52.1666692098,-69.5234375,3.1363951811,2.8161600974,3.406289055,-69.0844650269,"Excitatory",16.338332716,6.60095053688,89.3828134537,79.5000038147,80.1041679382
"957",0.0015247615,9.5168446602,1.4416856242,17.14,8.13767,3.969,-58.8125038147,-53.0104192098,-62.2687538147,0.008925,16.365,8.1367566667,3.315,5.1875004768,2.3333333333,17.4062511444,109.843865037,0.0344318971,240.000015259,203.416666667,187.999987793,15.98,8.13633,3.053,-34.2500038147,-31.7604166667,-48.71875,17.185,8.1377233333,561.903,-58.9687538147,-53.0625025431,-75.2375030518,1.0911319561,1.0069444955,1.3749244462,-75.1213531494,"Inhibitory",7.32614121378,105.076843818,79.6750049591,64.0000042915,55.3437525431
"959",0.0085102866,109.7325,0.1625048468,367.94,3.2999933333,5.352,-51.6250038147,-51.5520846049,-54.6312522888,0.0922,365.38,3.2973333333,3.524,41.3125,43.833337148,41.9062515259,137.500077486,0.0892390981,70,82.4166666667,900,364.96,3.2969066667,3.144,-44.3750038147,-44.1562538147,-50.8250022888,426.96,3.3492,124.844,-62.2812538147,-59.4062525431,-76.3187561035,4.6748068812,4.8688714678,4.3153353408,-75.5594406128,"Excitatory",21.5385469129,9.11307042125,96.5375038147,92.9375038147,95.3854217529
"960",0.0244104559,68.6076923077,0.2027891169,98.235,2.392525,5.05625,-55.84375,-52.7500038147,-57.242190361,0.038125,96.26,2.39061,3.34375,38.53125,41.4687519073,37.5468769073,243.750065565,0.1118249819,50,59.7499980927,285,95.845,2.39016,2.98375,-44.9375038147,-41.515625,-50.078127861,133.875,2.4405375,682.15375,-56.2812538147,-56.3437538147,-81.9062538147,3.5641927196,3.2254217781,3.6171888016,-81.1754684448,"Excitatory",24.9293147075,14.5756250701,94.7890672683,94.375,94.218755722
"964",0.0027583272,12.5706410256,0.5422101449,13.565,8.849315,4.2925,-65.8125,-61.7343769073,-67.6718788147,0.006735,12.785,8.8482575,3.49375,27.4062519073,17.5312509537,32.984375,104.68788445,0.0233173259,270,221.187492371,0,12.47,8.84785,3.1925,-32.53125,-26.53125,-40.6562509537,13.66,8.849345,26.29125,-65.875,-61.828125,-73.7109394073,1.2636773215,1.0959920691,1.3487040284,-72.1359558105,"Inhibitory",9.88004989303,79.5504380376,100.656253815,93.2187519073,79.265627861
