"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","L_tg"
"101",0.0209838679,92.3588888889,0.1479910773,0.08169,161.250039935,0.0677762702,23.5228038619,-76.4173431396,10.8273281763,266.835,-43.0937538147,263.345,38.7187538147,90,262.69,-36.5625038147,343.635,-53.84375,3.455637882,81.8125076294,"L4tg"
"102",0.2167476362,73.2266666667,0.2524082679,0.03554,242.031246424,0.0318112709,23.4798486095,-73.0221557617,13.6562272396,65.56,-45.0937538147,63.76,37.5,130,63.3,-33.40625,80.56,-45.9062538147,3.441285679,82.5937538147,"L4tg"
"104",0.1172673005,67.9033333333,0.2026515146,0.033955,136.250078678,0.0068409266,21.2313732994,-70.2135238647,14.7268175347,68.835,-48.78125,66.475,32.1875,210,66.03,-33.9375,78.495,-51.21875,3.2667529774,80.96875,"L4tg"
"105",0.022481032,68.2214285714,0.195202952,0.04422,170.156210661,0.0559369773,46.923182351,-72.9973297119,14.658150979,138.84,-50.0312538147,136.62,41.3750038147,50,136.2,-36.1875038147,164.34,-58.0625,3.8346319324,91.4062576294,"L4tg"
"106",0.1227994256,127.0975,0.0742187545,0.056675,162.343755364,0.0750596449,20.2702571347,-72.1620178223,7.86797537324,163.94,-43.5000038147,159.605,40.375,150,159.155,-29.1875,193.53,-52.6875038147,3.6789367382,83.8750038147,"L4tg"
"108",0.0239902802,68.4515384615,0.1756286253,0.060385,150.624990463,0.0503459089,22.8166202229,-72.6047592163,14.6088754537,418.16,-46.5,415.68,41.40625,59.9999961853,415.225,-38.59375,508.61,-58.0937538147,3.5026686266,87.90625,"L4tg"
"109",0.0309422389,186.84,0.2858452959,0.07432,162.968754768,0.0657943487,13.6846137598,-66.1220245361,5.35217298223,198.48,-51.5000038147,196.5,47.6875,70,195.96,-44.125,222.42,-55.0000038147,3.4285926674,99.1875038147,"L4tg"
"110",0.0121176655,49.1368421053,0.2073033708,0.05534,187.656283379,0.0240895767,21.236039382,-80.8980407715,20.3513281919,170.36,-51.7187538147,168.76,39.2187538147,70,168.3,-41.3125,192.4,-54.2812538147,3.1652918675,90.9375076294,"L4tg"
"112",1,1000,0.1140822799,0.07998,124.687425792,0.0178513993,17.4071186295,-76.0608215332,1,161.9,-47.0000038147,159.195,39.5312538147,150,158.765,-34.0312538147,192.6,-54.71875,3.2145150956,86.5312576294,"L4tg"
"113",0.0219615695,61.05,0.1930487805,0.03964,225.000008941,0.1173092648,35.6840241891,-69.0845108032,16.38001638,111.76,-47.5625038147,109.945,33.3125038147,50,109.42,-41.0625,143.305,-53.7812538147,2.9597040117,80.8750076294,"L4tg"
