"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"89",0.227778151,72.46,0.0696428441,89.16,4.2767183333,4.6983333,-50.2812538147,-49.9062525431,-52.9375012716,0.024765,87.395,4.2748983333,3.2066667,41.1250038147,44.1666692098,44.1979179382,109.218865633,0.0487773642,170,106.916671753,610,86.97,4.27447,2.8616667,-39.1250038147,-37.1145833333,-48.1666679382,109.015,4.3158516667,368.025,-53.84375,-56.6354192098,-70.28125,3.2390660332,3.3374489963,3.804037551,-69.3731918335,"Cux_Slc17",13.2480858952,13.8007176373,97.1354192098,91.4062576294,94.0729217529
"91",1,1000,0.1299973091,15.295,7.741275,5.5125,-51.9687538147,-46.2916679382,-52.932293574,0.00522,13.185,7.7392533333,3.4708333,31.0000019073,26.9687519073,34.2708339691,100.000038743,0.0120830201,140,193.41666158,260,12.705,7.7385966667,3.0283333,-42.65625,-34.2604179382,-46.4427102407,15.605,7.755585,29.555,-52.25,-47.895837148,-59.4322948456,2.7462963644,1.99134582,3.0003606778,-57.3023872375,"Rorb-IRES2-Cre",8.48381375018,1,87.2031275431,82.968755722,73.2604198455
"93",0.0752613537,109.455,0.1596650892,182.305,2.2078466667,5.206,-46.0625038147,-47.2291692098,-49.1562522888,0.064345,179.685,2.2055733333,3.385,46.03125,47.7812525431,45.0875022888,233.281329274,0.1183055267,50,55.125,800,179.225,2.2050966667,2.991,-37.40625,-37.7916679382,-44.7500022888,255.735,2.2528216667,548.509,-55.6875038147,-56.145837148,-74.4437561035,3.6236248733,3.513540135,3.9519837346,-73.0314865112,"Rorb-IRES2-Cre",30.4840765486,9.13617468366,94.2437545776,92.0937538147,95.0104217529
"94",1,49.28,0.0707386364,67.56,4.8708866667,4.8533333,-48.5,-44.8541666667,-50.9062519073,0.03072,65.86,4.8692533333,3.3566667,36.1562538147,31.0416673024,37.8906262716,220.156252384,0.1936496496,70,121.66666158,650,65.42,4.8686533333,2.9566667,-40.9687538147,-32.1770846049,-47.8541692098,97.84,4.89192,492.96,-56.2187538147,-53.958337148,-76.1354230245,2.8178060899,1.8692291679,3.2438825818,-75.2548217773,"Nr5a1_Scnn1a",24.715286411,20.2922077922,88.7968781789,84.6562538147,75.8958339691
"95",0.0543448402,77.4791666667,0.1738764199,155.68,4.78178,5.108,-46.5625038147,-47.2916704814,-50.5125015259,0.048245,153.84,4.7801866667,3.416,44.1875,50.1562538147,50.2125015259,121.562540531,0.1921915859,120.000007629,119.499992371,979.999938965,153.435,4.7798,3.054,-43,-39.2916679382,-46.2500022888,206.765,4.8251033333,93.651,-57.0000038147,-54.1250025431,-72.2250030518,3.7168961468,3.8413954768,3.5774376865,-70.8589324951,"Rbp4-Cre_KL100",17.6999565475,12.9066953482,100.725003052,90.7500038147,97.4479242961
"97",0.0201171852,65.7785714286,0.1890661903,539.56,3.33376,6.1266667,-52.6562538147,-51.8437525431,-55.1979192098,0.05602,536.56,3.3306933333,3.5933333,37.0625038147,35.3750012716,34.5937512716,148.437619209,0.0588746518,59.9999961853,83.25,0,535.98,3.3301133333,3.1066667,-41.0312538147,-40.2083333333,-42.8750012716,606.66,3.3786666667,504.4666667,-62.375,-56.9479192098,-79.1875050863,3.685256854,3.6073560039,3.7050475115,-78.7241210938,"Rorb-IRES2-Cre",18.8904002954,15.2025192746,89.7916704814,89.7187576294,87.2187538147
"98",0.5957585165,293.97,0.2038612644,63.9,3.5237666667,5.698,-46.6875038147,-45.78125,-52.0937522888,0.02812,61.37,3.5213916667,3.52,37.25,37.8854192098,39.1000015259,248.125046492,0.178474471,90,88.0416666667,530,60.745,3.520735,3.013,-37,-36.5520846049,-48.7562522888,73.475,3.5520966667,556.521,-48.4687538147,-50.5104192098,-72.9187561035,2.754261032,2.6133343996,3.1924265565,-72.4742507935,"Rorb-IRES2-Cre",22.1116708312,3.40170765724,91.1937538147,83.9375038147,83.6666692098
"99",0.0187310267,49.4557894737,0.2459748145,399.255,1.96699,5.2766667,-54.3125,-49.0937512716,-54.4010416667,0.03755,397.325,1.9649716667,3.4383333,39.625,45.3229179382,39.8593756358,195.937529206,0.0292322263,50,49.125,105,396.83,1.9645383333,3.0325,-41.5000038147,-36.3854179382,-42.651043574,440.715,2.0046166667,452.04,-61.1875038147,-52.4062512716,-80.1718762716,3.3482350151,3.7882966343,3.4824437894,-78.8551330566,"Nr5a1_Scnn1a",21.92828359,20.2200796033,94.2604173025,93.9375,94.4166692098
"101",0.1864363974,133.743333333,0.1182619205,96.105,2.7646833333,4.762,-42.0937538147,-43.5729192098,-47.3062530518,0.04158,94.44,2.76313,3.28,37.8125,41.9270858765,40.0437530518,154.218822718,0.1746139079,70,69.0833333333,568,94.035,2.76272,2.93,-40.1562538147,-41.0000025431,-43.2062507629,96.235,2.7647566667,170.634,-42.28125,-43.7083346049,-67.4312515259,3.345482063,3.3462739757,3.4425334928,-66.1993484497,"Rbp4-Cre_KL100",22.5543011985,7.47700819979,87.3500061036,79.9062538147,85.5000050863
"106",0.015226471,85.318,0.1594293135,191.19,7.653895,5.255,-43.1250038147,-43.6770858765,-45.0937519073,0.06217,187.475,7.6497116667,3.3925,35.6875038147,41.4166704814,38.2578144073,91.2500023842,0.0420052446,209.999984741,191.25,1330,187.025,7.64929,3.0275,-39.71875,-38.7604192098,-47.0000019073,232.915,7.697475,533.97875,-52.5312538147,-52.4687538147,-78.8359413147,3.9278155439,4.1849655377,3.8818498907,-78.7921066284,"Rbp4-Cre_KL100",14.5823818029,11.7208560913,83.3515663146,78.8125076294,85.0937563579
