"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"281",4.332,-56.4375022888,3.336,41.6750007629,499.999969482,3.008,-45.3687515259,586.36,-71.5125045776,2.8815340149,98.1125030517,"Vip"
"282",4.465,-55.2656288147,3.405,9.5000004768,0,3.1525,-32.0000019073,160.2575,-73.4218826294,1.4910164839,64.7656292915,"Sst-IRES-Cre"
"285",4.87,-52.5234394073,3.57,21.4296889305,230,3.21875,-39.8125009537,520.01375,-63.679690361,2.3201498741,73.9531283378,"Htr3a-Cre_NO152"
"288",4.1575,-57.2343773842,3.145,15.5898444653,340,2.78,-46.0703139305,646.695,-66.7929697037,1.4856222126,72.8242218495,"Nkx2-1-CreERT2"
"291",3.91375,-59.7500038147,3.22625,34.320315361,419.999969482,2.9325,-42.0625009537,219.08375,-70.0546951294,1.4283511002,94.0703191757,"Sst-IRES-Cre"
"293",4.517,-59.0937507629,3.631,40.3625007629,340,3.288,-48.5062538147,697.196,-74.15,2.1209102208,99.4562515258,"Sst-IRES-Cre"
"296",5.43,-60.2812538147,3.44,29.9843759537,320,3.1,-46.1875038147,463.35,-74.296875,2.980521937,90.2656297684,"Htr3a-Cre_NO152"
"301",4.625,-58.0375022888,3.568,28.1875003815,469.999969482,3.17,-46.7250007629,619.1,-65.1875,1.7755238402,86.2250026703,"Sst-IRES-Cre"
"302",4.96,-57.3750019073,3.84,27.3906259537,200,3.41,-47.140625,449.9,-61.3593769073,1.9287412534,84.765627861,"Chrna2-Cre_OE25"
"305",3.35,-57.5468769073,2.8125,27.5468759537,270,2.5725,-44.046875,270.815,-69.1093788147,1.3691713595,85.093752861,"Pvalb-IRES-Cre"
"306",4.88125,-53.570315361,3.4075,29.7031264305,509.999969482,3.10625,-40.3906259537,223.85125,-73.5781269073,2.8573581664,83.2734417915,"Htr3a-Cre_NO152"
"313",5.415,-62.9375,3.645,5.375,0,3.355,-44.9375038147,929.235,-76.96875,1.6523301883,68.3125,"Pvalb-IRES-Cre"
"314",4.539,-58.5750022888,3.361,29.2437515259,730,3.068,-44.4187530518,297.778,-74.2937545776,2.2473212048,87.8187538147,"Htr3a-Cre_NO152"
"318",4.535,-61.0104204814,3.295,6.3125001589,213.333333333,3.08,-45.7083346049,354.6816667,-71,1.4009520607,67.3229206403,"Pvalb-IRES-Cre"
"322",3.738,-69.1937530518,3.214,25.7750011444,498,2.966,-50.1875022888,347.656,-76.8062515259,1.1619352186,94.9687541962,"Pvalb-IRES-Cre"
"325",8.951,-68.7312515259,3.318,22.7000003815,1140,2.966,-45.0812507629,380.833,-81.6125015259,2.1202070549,91.4312519074,"Htr3a-Cre_NO152"
"327",4.6,-63.8437515259,3.416,12.8000003815,0,3.118,-46.8187515259,244.444,-80.9812515259,1.4204635159,76.6437519074,"Pvalb-IRES-Cre"
"330",4.659,-61.9687530518,3.472,36.2562515259,0,3.097,-43.3250015259,520.459,-73.6375030518,2.1384345354,98.2250045777,"Sst-IRES-Cre"
"332",4.004,-66.00625,3.42,29.1500007629,0,3.124,-52.4062538147,535.728,-81.5937530518,1.2821422778,95.1562507629,"Pvalb-IRES-Cre"
"335",4.2766667,-56.0520852407,3.3233333,31.7500012716,410,3.0441667,-48.9531275431,537.9033333,-72.2447967529,2.5279192467,87.8020865123,"Htr3a-Cre_NO152"
