"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","binary_neuron"
"117",6,-67.0104192098,3.4916667,0.4270833333,670,3.1816667,-38.9739596049,191.21,-81.1145858765,1.7151178265,67.4375025431,"Inhibitory"
"118",5.906,-55.9562507629,3.721,35.8375,660,3.236,-44.7125,124.104,-69.18125,2.9863353572,91.7937507629,"Excitatory"
"119",4.584,-55.5375030518,2.812,43.5625030518,600,2.44,-44.6812515259,538.484,-69.5125045776,4.1729680404,99.1000061036,"Excitatory"
"120",5.54,-53.5937519073,3.5075,40.7890634537,360,3.1275,-44.7500009537,643.965,-74.3789100647,3.5367902517,94.382815361,"Inhibitory"
"121",5.46,-49.1250038147,3.57,22.5625009537,340,3.14,-39.3437519073,685.17,-73.6093788147,2.8718069181,71.6875047684,"Inhibitory"
"123",4.9066667,-50.6875038147,3.3616667,33.9791692098,690,3.0083333,-44.1979179382,770.3016667,-75.9791692098,3.2360009211,84.6666730245,"Excitatory"
"124",4.631,-53.7062530518,3.265,40.5125015259,378,2.924,-46.3312522888,784.775,-75.0187515259,2.8539876664,94.2187545777,"Excitatory"
"125",4.991,-51.2812515259,3.265,51.8750022888,530,2.887,-41.4687515259,156.302,-66.8750015259,3.0481075254,103.156253815,"Excitatory"
"126",7.921,-53.3000030518,3.456,29.1500015259,852,3.021,-40.8875030518,735.804,-77.8250030518,3.7094576554,82.4500045777,"Excitatory"
"127",6.565,-58.8875022888,3.256,23.9187515259,660,2.983,-38.8937507629,793.225,-68.13125,2.3681034504,82.8062538147,"Inhibitory"
"129",4.2125,-61.1875009537,3.12625,17.6562514305,397.5,2.81875,-42.3515625,534.08875,-72.3828163147,1.6480689355,78.8437523842,"Excitatory"
"130",4.1416667,-69.4791666667,3.4375,31.6093756358,370,3.1191667,-51.2552102407,538.17,-75.7552108765,1.3466681407,101.088542303,"Inhibitory"
"131",5.062,-52.8125038147,3.392,46.9062522888,540,3.055,-45.2312522888,61.81,-61.9750015259,3.5661698237,99.7187561035,"Excitatory"
"132",5.061,-51.2125015259,3.392,20.9875007629,670,2.978,-44.8187507629,332.554,-78.8250061035,2.5704095827,72.2000022888,"Excitatory"
"135",4.076,-66.6125030518,3.409,23.3875007629,530,3.139,-50.11875,204.035,-75.7250015259,1.3972365615,90.0000038147,"Inhibitory"
"137",5.22375,-52.9687519073,3.49125,35.9218759537,840,3.0625,-46.2031259537,705.51,-84.7109375,3.549037004,88.890627861,"Excitatory"
"138",5.0025,-48.5703144073,3.3175,41.5078144073,900,2.955,-43.828125,520.85,-77.4843769073,4.1758505252,90.0781288146,"Excitatory"
"139",5.055,-51.0312530518,3.398,49.5187522888,680,3.013,-45.5750030518,532.211,-70.0812530518,3.3719861112,100.550005341,"Excitatory"
"140",4.84,-51.4166666667,3.465,44.46875,900,3.1016667,-47.1770833333,511.2883333,-79.2604192098,3.2485834109,95.8854166667,"Excitatory"
"141",3.945,-61.1015644073,3.31,18.0546884537,122.499992371,3.0525,-47.2812519073,87.5925,-77.359380722,1.2703708777,79.156252861,"Inhibitory"
"143",4.957,-52.2437522888,3.349,30.1375015259,889.999938965,2.934,-42.2312522888,600.229,-77.6437515259,2.4388730822,82.3812538147,"Excitatory"
"144",4.946,-57.9750007629,3.571,16.1000001907,47.9999969482,3.144,-41.4000015259,539.341,-60.8437507629,1.6364464655,74.0750009536,"Inhibitory"
"145",4.4116667,-60.9895846049,3.3983333,4.7395833333,0,3.135,-45.8750012716,505.6833333,-72.1666666667,1.4944817953,65.7291679382,"Inhibitory"
"146",6.192,-56.6062522888,3.54,26.0875011444,800,3.036,-45.5375030518,292.492,-76.1250061035,3.4921580779,82.6937534332,"Excitatory"
"147",4.93125,-52.468752861,3.46375,45.2812538147,610,3.10875,-45.609377861,80.9775,-70.6718769073,3.4714127284,97.7500066757,"Excitatory"
"148",6.0533333,-55.6041692098,3.6466667,34.5625012716,300,3.1333333,-47.5416692098,649.6933333,-72.9479217529,2.8353108266,90.1666704814,"Inhibitory"
"149",8.17,-68.1375045776,3.142,34.3875015259,830,2.886,-40.2187515259,130.79,-79.8437561035,2.7611000357,102.525006104,"Inhibitory"
"150",6.71,-57.5062522888,3.252,35.9250022888,360,2.87,-38.1000022888,22.814,-66.7750015259,2.6312543475,93.4312545776,"Inhibitory"
"152",4.6133333,-50.9010454814,3.2708333,42.2187519073,575,2.955,-45.2031275431,426.1258333,-73.4531300863,3.4502545596,93.1197973887,"Excitatory"
"153",5.11375,-52.546875,3.38875,41,1170,3.01625,-46.1718769073,419.22,-79.3359413147,3.4545708803,93.546875,"Excitatory"
