"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"173",3.4510466667,-53.0937538147,3.4474333333,26.7604179382,86.1666666667,3.4469,-34.7708358765,3.4586533333,-57.2812538147,4.2248512375,79.8541717529,"Htr3a-Cre_NO152"
"174",14.6699275,-50.8281269073,14.6691425,5.9375002384,366.75,14.6687825,-27.2500009537,14.669965,-50.9218769073,0.9554650342,56.7656271457,"Gad2-IRES-Cre"
"176",1.77136,-50.9791679382,1.7696533333,31.1041673024,44.25,1.76922,-35.7083346049,1.7763466667,-52.5000012716,2.7733222599,82.0833352406,"Vip"
"185",1.96673,-61.5312538147,1.9651,41.0000019073,49.1249980927,1.96466,-43.3125038147,1.96724,-61.8281269073,2.8384464892,102.531255722,"Chrna2-Cre_OE25"
"186",2.2961,-55.8437538147,2.29482,25.7916673024,57.3333320618,2.2942333333,-40.2708346049,2.29622,-55.9791704814,1.5888202516,81.6354211171,"Chrna2-Cre_OE25"
"188",7.7898133333,-56.5312512716,7.7886866667,7.7291671435,194.749994914,7.7882533333,-28.3958333333,7.7899033333,-56.6354192098,1.0262489343,64.2604184151,"Pvalb-IRES-Cre"
"199",3.61894,-44.4791666667,3.61495,37.6562512716,90.3333333333,3.614375,-34.3541679382,3.648195,-54.4270858765,3.4954249927,82.1354179383,"Chrna2-Cre_OE25"
"201",2.2269133333,-46.5104204814,2.22442,31.635418574,55.5833333333,2.2240066667,-33.8958358765,2.2372466667,-49.8541679382,4.1162806325,78.1458390554,"Vip"
"202",14.1203283333,-60.7812538147,14.11984,19.4583346049,353,14.1196,-34.9895833333,14.1203516667,-60.9166704814,1.1047164502,80.2395884196,"Pvalb-IRES-Cre"
"204",3.4387933333,-50.7291666667,3.43732,35.0104192098,85.9166641235,3.4369266667,-31.5,3.4461,-54.9895858765,2.3848120611,85.7395858765,"Nkx2-1-CreERT2"
"207",5.22154,-51.1979192098,5.2177066667,16.5104166667,130.416666667,5.2171733333,-35.4687512716,5.2278066667,-54.833337148,3.0868987066,67.7083358765,"Nkx2-1-CreERT2"
"213",5.405225,-56.5104204814,5.4038683333,26.8854179382,135.08333079,5.403395,-24.7812512716,5.4053983333,-56.6875025431,1.3665787576,83.3958384196,"Sst-IRES-Cre"
"216",13.8527,-61.2500038147,13.852115,21.4583333333,346.333333333,13.851845,-34.3750025431,13.8527616667,-61.3645858765,1.1896249229,82.708337148,"Pvalb-IRES-Cre"
"217",2.1656166667,-52.0833358765,2.16425,16.0312503179,54.0833320618,2.1638833333,-36.864587148,2.1657383333,-52.2916666667,2.189018505,68.1145861944,"Htr3a-Cre_NO152"
"222",3.251255,-53.2187538147,3.247035,31.5,81.125,3.24659,-38.28125,3.26027,-59.4375038147,2.9690248501,84.7187538147,"Htr3a-Cre_NO152"
"223",9.8859033333,-58.0937538147,9.8850516667,10.2500003179,247.124994914,9.8846816667,-30.479168574,9.8859266667,-58.1770846049,1.0548192101,68.3437541326,"Pvalb-IRES-Cre"
"225",14.8507716667,-56.3229166667,14.8500666667,9.4895833333,371.25,14.84973,-32.2500006358,14.8508083333,-56.4062525431,1.0870592944,65.8125,"Pvalb-IRES-Cre"
"227",4.9474,-46.3229192098,4.9457333333,33.9375012716,123.624997457,4.9452666667,-34.8333358765,4.94764,-46.4791692098,3.0332147217,80.2604204814,"Vip"
"230",2.6112133333,-55.3958346049,2.61023,32.7291692098,65.25,2.609745,-41.9166704814,2.6112483333,-55.4791704814,1.6559390308,88.1250038147,"Htr3a-Cre_NO152"
"232",13.1025525,-54.6875019073,13.101235,3.484375,327.5,13.10075,-29.7968759537,13.10267,-54.859375,1.0931257668,58.1718769073,"Pvalb-IRES-Cre"
"233",12.72519,-59.895837148,12.7245,27.9062512716,318.125,12.724195,-32.59375,12.7252733333,-60.0520858765,1.2223093677,87.8020884196,"Pvalb-IRES-Cre"
"235",13.63401,-57.1666692098,13.6334,23.0625012716,340.875,13.633135,-33.9166679382,13.6340533333,-57.2500025431,1.2655867939,80.2291704814,"Pvalb-IRES-Cre"
"237",3.4327133333,-55.7812525431,3.4314666667,27.979168574,85.7916641235,3.43102,-33.9375012716,3.4327433333,-55.8645846049,1.7462005483,83.7604211171,"Sst-IRES-Cre"
"241",3.3246066667,-56.0208358765,3.3233266667,9.7604169846,83.0416666667,3.32292,-34.7291692098,3.32502,-56.2812525431,1.4383912282,65.7812528611,"Nkx2-1-CreERT2"
"243",0.732475,-54.7395846049,0.7314683333,37.8958346049,18.25,0.7310666667,-43.2500025431,0.753645,-55.6666666667,1.8611704786,92.6354192098,"Sst-IRES-Cre"
"248",11.2412966667,-62.7187525431,11.24076,25.4895846049,281,11.240485,-33.8229179382,11.2413366667,-62.833337148,1.1284611973,88.208337148,"Gad2-IRES-Cre"
