"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","tau","firing_rate","height_short","height_long","height_ramp","L_tg"
"174",0.0259653067,99.8333333333,0.1604166667,198.78,2.72834,5.775,-49.5000038147,-52.1458346049,-54.703127861,0.0742,195.16,2.7255933333,3.575,31.65625,30.3229179382,31.9843764305,178.437530994,0.0934729278,90,68.0833333333,920,194.66,2.7250733333,3.14,-39.3125,-41.90625,-47.9765644073,241.1,2.76814,455.325,-57.8437538147,-58.8541704814,-78.3515663147,4.0592770969,3.7350314414,3.955491428,-77.0473403931,24.4105386199,10.0166944908,86.6875042915,81.1562538147,82.4687525431,"L4tg"
"175",0.0241194554,83.4018181818,0.2095982255,201.745,2.964205,5.298,-43.375,-44.5000012716,-48.4250015259,0.06478,198.805,2.9616033333,3.506,39.5,41.2395833333,38.4187522888,174.375072122,0.0902883187,70,74,920,198.37,2.9611683333,3.118,-36.84375,-37.5208346049,-46.4625015259,279.73,3.0108,172.304,-57.0000038147,-55.770837148,-75.23125,3.4605600153,3.558670806,3.5752138168,-74.5719604492,24.721293018,11.9901462798,86.8437538147,82.875,85.7395846049,"L4tg"
"179",0.0483089979,69.9879166667,0.1825000093,88.285,3.0091733333,4.784,-53.4062538147,-51.0520858765,-53.6125022888,0.041235,86.26,3.0073283333,3.286,43.6562538147,47.8541692098,48.3062515259,148.749962449,0.0189885516,110,75.2083307902,880,85.93,3.006995,2.996,-43.1250038147,-38.7812525431,-51.3500022888,106.49,3.0446716667,662.696,-59.8437538147,-59.8958358765,-84.1375076294,4.4122934809,4.3307576358,4.913151028,-83.5632095337,20.1432456387,14.2881806979,101.918753815,97.0625076294,98.9062550863,"L4tg"
"180",0.015070633,40.7922916667,0.3083420229,74.485,1.4711766667,4.7614286,-49.84375,-49.2187512716,-53.6562516349,0.02068,72.62,1.469345,3.335,32.5000038147,35.4791679382,33.0848219735,301.562488079,0.0205476955,70,36.7083333333,350,72.12,1.4688716667,2.9585714,-36.78125,-35.4583346049,-44.5625016349,83.575,1.4864583333,723.5285714,-52.125,-54.2604179382,-66.0312521798,2.6240514987,2.7454538084,2.9864809094,-66.1851959229,24.7832392958,24.5144354274,86.7410736084,82.3437538147,84.6979192098,"L4tg"
"182",0.0165394608,77.6472727273,0.1828125095,183.31,2.1120033333,4.9858333,-44.28125,-43.3750038147,-49.1041679382,0.06025,180.985,2.1101683333,3.3816667,36.75,43.9270858765,40.4114596049,197.968706489,0.1251424104,70,52.7500012716,800,180.535,2.1097483333,3.0133333,-36.6875,-35.7812512716,-43.4218781789,223.58,2.16764,253.1691667,-54.8125038147,-56.6041692098,-72.0833358765,3.0920751173,3.3021391552,3.1320482404,-70.4693603516,27.1697639624,12.8787524001,89.5156275431,81.03125,87.3020896912,"L4tg"
"183",0.0375035551,69.6015384615,0.156308658,130.76,2.8102533333,5.06375,-46.15625,-44.28125,-52.265625,0.05263,128.475,2.8080083333,3.3725,43,45.0000025431,47.171877861,164.531290531,0.0583837293,90,70.2083333333,900,128.04,2.8075666667,3.0175,-34.125,-32.9062512716,-46.6875009537,153.395,2.8476216667,659.8075,-52.9062538147,-52.7812525431,-82.5390625,3.3615732663,3.6179400134,4.2204334246,-82.5241928101,19.3078718473,14.367498508,99.437502861,89.15625,89.2812525431,"L4tg"
"191",0.1311896986,93.3492857143,0.1115079483,80.99,4.3006266667,5.6025,-48.1250038147,-45.6666692098,-50.6093769073,0.03046,78.64,4.2981016667,3.48625,44.3125038147,47.7187525431,48.289065361,152.500003576,0.0536783263,130,107.416664123,760,78.195,4.2976283333,3.09625,-40.4375,-36.7604166667,-47.085940361,100.73,4.3363866667,794.965,-54.2187538147,-54.7187525431,-75.179693222,3.2993565023,3.4002443894,3.9405825236,-74.0730209351,22.2336101831,10.712454759,98.8984422683,92.4375076294,93.3854217529,"L4tg"
"193",0.1458048422,93.6733333333,0.1948598131,98.39,2.4424516667,5.242,-46.03125,-47.1979179382,-50.31875,0.03298,96.06,2.439965,3.414,33.1250038147,34.59375,38.0250015259,256.562560797,0.0209606458,70,60.9583358765,600,95.56,2.439445,3.014,-34.1875,-31.8958339691,-44.94375,117.935,2.4586283333,353.304,-50.34375,-52.6979166667,-73.4750030518,2.6330407995,2.4594017443,3.1396114155,-72.633605957,26.3317405565,10.6753967689,88.3437515259,79.1562538147,81.7916679382,"L4tg"
"199",0.0431775031,92.508,0.1472222299,261.135,4.2440783333,5.524,-45.3125,-45.8958333333,-48.5687530518,0.073575,258.155,4.240745,3.523,42,36.2500025431,37.2500015259,124.955430627,0.0801045448,100,106.041666667,1400,257.745,4.2403,3.129,-38.4687538147,-38.2500012716,-47.6250015259,341.32,4.310135,242.254,-58.84375,-56.53125,-76.1375030518,3.9346611077,3.8463316037,3.6790200483,-75.4485092163,25.5832807237,10.8098759026,85.8187545777,87.3125,82.1458358764,"L4tg"
"200",0.0312285179,62.092,0.0404191617,121.46,2.0837266667,5.088,-54.40625,-57.2083346049,-57.7500030518,0.03548,118.76,2.0813333333,3.292,41.8437538147,37.3333358765,36.9437522888,174.99999702,0.059799172,70,51.9999987284,620,118.34,2.0808933333,2.912,-36.9375,-43.3229192098,-50.8312522888,135.54,2.1047933333,688.472,-59.3125038147,-63.9166692098,-79.2750045776,4.1402373115,4.0344185616,4.0277412686,-77.4748916626,23.8389264038,16.1051343168,94.6937553406,96.2500038147,94.5416704814,"L4tg"
