"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"703",4.983,-52.8625022888,3.333,32.2437519073,740,2.981,-46.7937530518,574.477,-76.4000030518,3.1978955623,85.1062541961,"Rorb-IRES2-Cre"
"723",4.88625,-51.4921884537,3.3975,32.2812519073,760,3.05375,-46.2656259537,490.30375,-70.5937538147,2.8708313483,83.773440361,"Rbp4-Cre_KL100"
"726",5.156,-51.0562515259,3.235,38.25,1250,2.898,-47.325,601.77,-82.6250030518,3.7084293265,89.3062515259,"Rorb-IRES2-Cre"
"732",4.5675,-46.4375019073,3.395,43.5000019073,820,3.0525,-44.5156269073,228.6775,-71.4062538147,3.0932736673,89.9375038146,"Nr5a1_Scnn1a"
"734",5.24,-53.3854192098,3.46,40.7395846049,1040,3.0866667,-49.3437538147,216.2733333,-76.3333358765,3.4829881306,94.1250038147,"Nr5a1_Scnn1a"
"736",5.225,-51.640625,3.53,40.804690361,850,3.125,-44.8046884537,587.28,-80.7421913147,3.7829078428,92.445315361,"Cux_Slc17"
"737",6.5933333,-46.1458358765,3.5866667,39.1562525431,390,3.0866667,-44.8854179382,406.16,-66.9687550863,4.0352812301,85.3020884196,"Ctgf-T2A-dgCre"
"750",4.928,-52.0937530518,3.256,43.8437538147,560,2.912,-46.7687515259,643.292,-75.9187545776,4.5223532312,95.9375068665,"Nr5a1_Scnn1a"
"753",4.8775,-49.6458352407,3.34,39.6302102407,610,2.9316667,-44.8281269073,646.5075,-76.6197967529,3.0380372892,89.2760454814,"Rbp4-Cre_KL100"
"758",5.134,-49.9187522888,3.422,41.3187507629,436,3.04,-50.3937522888,437.823,-83.0875030518,3.5401610228,91.2375030517,"Rorb-IRES2-Cre"
"763",4.7478571,-53.276788984,3.3092857,30.6696439471,1120,2.9464286,-49.5758955819,303.8978571,-76.4687532697,2.9326231699,83.9464329311,"Rorb-IRES2-Cre"
"776",5.135,-52.0703144073,3.54375,38.5078125,0,3.1225,-44.6562519073,652.44375,-78.9453144073,3.0755379678,90.5781269073,"Nr5a1_Scnn1a"
"784",5.275,-48.8515634537,3.51875,29.9531259537,0,3.1025,-39.3984375,348.71,-70,2.6824267003,78.8046894074,"Nr5a1_Scnn1a"
"786",5.629,-50.9375022888,3.314,41.925,750,2.959,-51.8812538147,414.218,-76.2250045776,4.529074786,92.8625022888,"Rorb-IRES2-Cre"
"789",5.16625,-55.867190361,3.505,46.640627861,620,3.14875,-46.4062519073,514.6525,-79.1093788147,4.1359269985,102.507818222,"Rorb-IRES2-Cre"
"794",4.98125,-49.2500038147,3.48,35.9062519073,365,3.0225,-46.296877861,547.70375,-77.851568222,2.30170615,85.156255722,"Ntsr1-Cre_GN220"
"795",4.7614286,-53.6562516349,3.335,33.0848219735,350,2.9585714,-44.5625016349,723.5285714,-66.0312521798,2.9864809094,86.7410736084,"Rorb-IRES2-Cre"
"809",5.06375,-52.265625,3.3725,47.171877861,900,3.0175,-46.6875009537,659.8075,-82.5390625,4.2204334246,99.437502861,"Rorb-IRES2-Cre"
