"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"509",0.0273401063,54.8355882353,0.3026515066,0.034195,171.093717217,0.0406936817,17.5577359319,-76.9504776001,18.2363321372,68.855,-44.25,67.045,38.0625,190,66.595,-31.4687519073,84.55,-46.25,3.1491299754,82.3125,"Rorb-IRES2-Cre"
"517",0.0157644677,53.7608823529,0.2291005291,0.03667,233.750000596,0.1304496378,22.1629151974,-67.0954437256,18.6008851833,166.39,-49.0000038147,164.695,34.6875,50,164.19,-35.5312538147,202.395,-53.1562538147,2.4433285124,83.6875038147,"Nr5a1_Scnn1a"
"549",0.0348404831,74.0158333333,0.2006329292,0.04909,119.55357343,0.1685982794,18.696578849,-68.143371582,13.5106227271,192.375,-46.40625,190.835,47.5937538147,90,190.46,-39.625,263.16,-53.2187538147,3.3749299734,94.0000038147,"Rbp4-Cre_KL100"
"550",0.0284554053,102.525,0.1368804665,0.06842,226.562425494,0.0979147926,32.807554557,-73.26587677,9.75371860522,176.555,-45.5000038147,174.405,23.7500019073,50,173.845,-36.4062538147,227.725,-57.65625,2.5873784261,69.250005722,"Rbp4-Cre_KL100"
"598",0.008942715,52.1844444444,0.2190346219,0.01946,315.156310797,0.0342812911,13.0876496174,-72.1856307983,19.1627986203,63.92,-44.5,61.7,28,110,61.04,-35,64.2,-44.7187538147,2.2413271124,72.5,"Ntsr1-Cre_GN220"
"615",1,505.87,0.1372812787,0.045935,70.0000375509,0.1693059802,10.621334108,-77.3865509033,1.97679245656,100.37,-46.09375,97.6,36.375,330,97.05,-39.1250038147,128.435,-56.0625,3.4821824155,82.46875,"Rbp4-Cre_KL100"
"628",0.0388419782,81.5077272727,0.2666666789,0.03919,160.624995828,0.029907519,15.6231131756,-80.7081985474,12.2687754089,150.48,-48.7500038147,148.185,30.53125,130,147.565,-36.78125,182.6,-54,2.6878557105,79.2812538147,"Nr5a1_Scnn1a"
"653",0.1241685733,100.997777778,0.0801075269,0.0409,215.312495828,0.0222956389,21.4727478129,-75.3039245605,9.90120794737,86.405,-50.9375,84.25,45.34375,70,83.785,-40.5,101.575,-55.34375,3.9629500572,96.28125,"Nr5a1_Scnn1a"
"655",0.0259065092,93.429,0.1622663618,0.051735,172.343745828,0.1668581814,17.8252477273,-72.852104187,10.7033148166,108.77,-49.4375,106.46,30.375,130,105.92,-33.9375,139.6,-53.40625,2.4558143506,79.8125,"Ntsr1-Cre_GN220"
"665",0.0794005506,45.055625,0.1673579137,0.018035,181.25012517,0.0314755552,15.655497418,-75.177406311,22.1947869994,45.605,-52,42.905,47.0312538147,180,42.475,-40.125,54.1,-53.7812538147,4.435970622,99.0312538147,"Nr5a1_Scnn1a"
"672",0.1091188607,95.111,0.2014610442,0.03914,191.406175494,0.0643628687,15.4400532291,-71.1436080933,10.5140309743,100.885,-41.8125,99.08,29.3125,150,98.62,-28.4687519073,130.67,-43.9687538147,2.7143383539,71.125,"Ntsr1-Cre_GN220"
"703",0.0596814016,52.473,0.079268303,0.03283,190.156295896,0.0252655018,20.1760337929,-75.3656616211,19.0574200065,76.21,-48.65625,74.005,30.7187519073,130,73.565,-39.0312538147,89.705,-53.5625038147,2.94862077,79.3750019073,"Rorb-IRES2-Cre"
"723",0.014279348,59.558125,0.2306994948,0.0368,127.34374404,0.1781907529,13.1647589759,-69.2325592041,16.7903203803,73.855,-47.625,72.11,34.6562538147,110,71.725,-38.6562538147,111.42,-53.5000038147,3.0076412738,82.2812538147,"Rbp4-Cre_KL100"
"726",0.1264561791,98.48625,0.1074941431,0.0545,126.406282186,0.0134337107,19.0448100312,-83.3443069458,10.1537016589,92.19,-48.7500038147,89.175,36.78125,190,88.785,-36.0000038147,106.11,-54.84375,3.72470463,85.5312538147,"Rorb-IRES2-Cre"
"732",0.0392018113,94.5194444444,0.2026180055,0.06665,178.571432829,0.1305298954,20.9199814758,-70.2577819824,10.5798336615,298.48,-38.4062538147,297.175,37.65625,70,296.745,-30.8750019073,357.61,-53.6250038147,2.5208940115,76.0625038147,"Nr5a1_Scnn1a"
"734",1,87.54,0.1175862008,0.05352,138.750001788,0.0841244981,19.6778754594,-76.1048126221,11.423349326,92.28,-48.34375,88.4,35.71875,230,87.98,-34.21875,105.54,-53.84375,3.6282732238,84.0625,"Nr5a1_Scnn1a"
"736",0.0197051634,61.6253333333,0.2004716981,0.05464,166.56242311,0.0347785614,21.2613101947,-79.3605117798,16.2270927541,100.56,-48.0625038147,98.08,37.46875,90,97.62,-31.96875,109.64,-52.2812538147,3.5639551468,85.5312538147,"Cux_Slc17"
"737",0.0453230754,61.0826666667,0.2399553571,0.05336,183.906242251,0.051998876,15.3347965836,-66.8875732422,16.3712564394,235.14,-44.90625,231.78,36.1875038147,50,231.14,-42.7812538147,287.14,-50.6875038147,3.9327894378,81.0937538147,"Ctgf-T2A-dgCre"
"750",0.0160230598,45.709,0.2720472385,0.03448,218.437537551,0.0321931913,23.3630925517,-75.7922058105,21.8775295894,261.16,-49.5000038147,258.5,38.0000038147,59.9999961853,258.02,-35.8125,289.22,-56.46875,3.4050395621,87.5000076294,"Nr5a1_Scnn1a"
"753",0.0500393597,45.90425,0.2827127858,0.046195,237.6562953,0.1138931736,24.8947147944,-75.7492904663,21.7844752937,305.82,-47.5000038147,304.045,27.5312519073,60.0000038147,303.52,-42.28125,363.85,-54.3437538147,2.4694016135,75.031255722,"Rbp4-Cre_KL100"
"758",1,1000,0.0158742936,0.071675,107.968866825,0.0309457462,11.4596946592,-82.7531585693,1,62.46,-47.84375,60.6,39.78125,249.999984741,60.17,-38.5625038147,786.795,-53.0937538147,3.1272173036,87.625,"Rorb-IRES2-Cre"
